Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	9a437fb2-3b44-434f-875c-a44afb0c7c6a
Plate Name	P102925
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Cell Selected - Number of Objects	Cell Selected - Total Spot Area - Mean per Well	Cell Selected - Number of Spots - Mean per Well	Cell Selected - Relative Spot Intensity - Mean per Well	Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cell Selected - Intensity Cytoplasm Mean - Mean per Well	Spots Selected - Number of Objects	Spots Selected - Relative Spot  Intensity - Mean per Well	Spots Selected - Corrected Spot  Intensity - Mean per Well	Spots Selected - Spot Area [px²] - Mean per Well	Spots Selected - Intensity Spot Mean - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	1830	126.742622951	4.56994535519	0.0558263613416	0.00681621920986	2137.92623379	9124	0.150060268287	596.010252232	27.9325953529	3698.96838147	4	0	0					
1	2	1	0	2088	10.2073754789	0.25622605364	0.00484854330257	0.000329871184725	1031.67542378	578	0.132074423091	578.153882782	40.3356401384	3221.49542948	4	0	0					
1	3	1	0	2004	10.8512974052	0.273952095808	0.00379377136771	0.000342943698386	1022.23481345	601	0.129016673026	343.452186361	39.2811980033	2166.06285269	4	0	0					
1	4	1	0	2225	9.25752808989	0.224719101124	0.00299061482105	0.000282580984503	981.301918469	532	0.126307042757	292.332592782	41.3458646617	1928.00357326	4	0	0					
1	5	1	0	2194	7.67684594348	0.222880583409	0.00333265520935	0.000314272322847	1050.24468173	519	0.129460150521	369.885324108	35.0944123314	2332.91359166	4	0	0					
1	6	1	0	2282	7.93032427695	0.220420683611	0.00305789882298	0.000293978089394	1075.21144036	539	0.12846732421	403.689149503	36.185528757	2563.4644654	4	0	0					
1	7	1	0	2209	9.00769578995	0.217292892712	0.00349108142187	0.000292618712547	1073.43254428	509	0.130541963394	423.293517989	41.9194499018	2574.89862665	4	0	0					
1	8	1	0	2403	11.7224302955	0.374115688722	0.00378071399628	0.000496185464021	1075.73404271	976	0.122840495146	293.300627351	31.8268442623	2058.32477513	4	0	0					
1	9	1	0	2448	9.09191176471	0.260620915033	0.00384523696547	0.000333826904681	1121.84667528	681	0.13108619319	499.25584383	35.4140969163	2950.48162513	4	0	0					
1	10	1	0	2001	8.67466266867	0.223388305847	0.00342356832961	0.000280440408577	1165.20625393	479	0.135969817723	443.549679869	38.6513569937	2634.01902558	4	0	0					
1	11	1	0	2109	9.11901375059	0.253674727359	0.00375662642468	0.000324943373704	1122.65348933	581	0.135201577029	519.538048614	35.9896729776	2876.00534926	4	0	0					
1	12	1	0	1791	7.98436627582	0.201005025126	0.00276915438241	0.000248276732222	1020.90632093	393	0.124419055192	315.93378731	40.7048346056	2160.77522515	4	0	0					
1	13	1	0	1991	9.22601707685	0.231541938724	0.00366475019248	0.000302217223459	1049.81429265	496	0.136350532463	397.381083948	40.2721774194	2403.50583628	4	0	0					
1	14	1	0	1950	8.94769230769	0.225128205128	0.00335909431379	0.000276743057669	1094.4729805	489	0.129253906545	437.114140458	40.3108384458	2549.04944311	4	0	0					
1	15	1	0	2091	7.4806312769	0.201339072214	0.0021849687964	0.000266406275961	1093.48731194	463	0.121595609064	303.473767386	38.0388768898	2205.0694082	4	0	0					
1	16	1	0	2268	8.91798941799	0.238536155203	0.00301284888676	0.00030992365602	1043.69027395	579	0.127920175086	330.905019153	37.4507772021	2137.24834837	4	0	0					
1	17	1	0	2721	8.65417126057	0.24954061007	0.00327179751626	0.000340451460226	1061.72010576	725	0.129028494252	379.101694832	34.8882758621	2493.71460118	4	0	0					
1	18	1	0	2470	7.26720647773	0.204858299595	0.00263933296323	0.000272262752237	1226.13968411	557	0.131127203285	420.260544691	35.3482944345	2590.58783232	4	0	0					
1	19	1	0	2021	9.94062345374	0.288471053934	0.00362369122899	0.000380131570701	1075.93436205	632	0.126046378495	321.191971992	34.7405063291	2092.36380406	4	0	0					
1	20	1	0	2368	8.10810810811	0.207347972973	0.00290047771747	0.000280335177781	1070.06127423	538	0.124652834089	324.05385286	39.7453531599	2223.59820982	4	0	0					
1	21	1	0	2243	10.329915292	0.296032099866	0.00313087147663	0.000349141207145	1124.26072491	726	0.125143930925	310.745937792	34.6473829201	2153.89948076	4	0	0					
1	22	1	0	2489	7.95861791884	0.278023302531	0.0025744123578	0.000382812631856	977.276246116	740	0.123982352104	298.480067088	28.8054054054	2084.94450789	4	0	0					
1	23	1	0	2094	104.077841452	4.23782234957	0.0387240569442	0.00581592686253	1597.92169838	9677	0.14309470764	433.589192934	24.7066239537	2816.65198725	4	0	0					
1	24	1	0	2154	7.68291550604	0.198235840297	0.0034876450702	0.000292793886047	1228.39506738	476	0.135869713166	504.692026612	39.4054621849	2956.57537136	4	0	0					
2	1	1	0	2285	128.367177243	4.62407002188	0.0598569282837	0.00707159777631	1768.18572225	11386	0.153513384719	521.184291987	28.0002634815	3153.0968387	4	0	0					
