Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	c2369576-2d02-44d5-b1a3-4e4d4eb66a39
Plate Name	P103828
Plate Name	231204_123305-V
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	GFP induced - Number of Objects	Ave GFP pos per cell	GFP Total  per well	percentage of induction	GFP induced - Intensity Cytoplasm EGFP Mean - Sum per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	4	395.747633122	1617.88548057	0.0081799591002	2298.64600655	1	0	0	0	37					
1	2	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	3	1	0	1	409.102873139	582.164274322	0.00159489633174	573.926100629	1	0	0	0	37					
1	4	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	5	1	0	1	379.942619035	561.587939698	0.00167504187605	533.017488076	1	0	0	0	37					
1	6	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	7	1	0	3	428.047384808	1048.75275591	0.00472440944882	1864.6197714	1	0	0	0	37					
1	8	1	0	2	515.330564605	297.545454545	0.00330578512397	1465.14914816	1	0	0	0	37					
1	9	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	10	1	0	1	384.376480082	358.838181818	0.00181818181818	539.237704918	1	0	0	0	37					
1	11	1	0	3	382.608099694	897.527868852	0.00491803278689	1620.83481063	1	0	0	0	37					
1	12	1	0	2	397.978803954	264.87751938	0.0031007751938	1260.16835017	1	0	0	0	37					
1	13	1	0	1	373.08835212	263.956896552	0.0014367816092	523.401709402	1	0	0	0	37					
1	14	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	15	1	0	1	417.77428962	423.228519196	0.0018281535649	586.091139241	1	0	0	0	37					
1	16	1	0	2	1571.73863612	1131.91051805	0.00313971742543	4410.6114106	1	0	0	0	37					
1	17	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	18	1	0	2	430.563485461	411.429640719	0.00299401197605	1492.30821918	1	0	0	0	37					
1	19	1	0	1	381.236293229	540.035019455	0.00194552529183	534.832369942	1	0	0	0	37					
1	20	1	0	2	436.662615374	386.0152207	0.00304414003044	1307.8622293	1	0	0	0	37					
1	21	1	0	3	374.819938037	1825.54782609	0.00652173913043	1569.3895359	1	0	0	0	37					
1	22	1	0	1	515.651894398	231.128630705	0.00207468879668	723.402597403	1	0	0	0	37					
1	23	1	0	1	385.7079228	372.761616162	0.0020202020202	541.105571848	1	0	0	0	37					
1	24	1	0	214	516.605804214	138753.515291	0.327217125382	166082.679324	1	0	0	0	37					
2	1	1	0	77	491.412019278	82677.6968326	0.174208144796	54908.9591032	1	0	0	0	37					
2	2	1	0															
2	3	1	0	1	513.554368165	144.092	0.004	720.46	1	0	0	0	37					
2	4	1	0	2	499.545968046	631.895	0.00333333333333	1402.80982475	1	0	0	0	37					
2	5	1	0	2	492.119646826	714.698943662	0.00352112676056	1431.23033589	1	0	0	0	37					
2	6	1	0	3	362.28550958	959.649671053	0.00493421052632	1524.85960455	1	0	0	0	37					
2	7	1	0	1	357.668752616	266.433835846	0.00167504187605	501.769716088	1	0	0	0	37					
2	8	1	0	1	598.861161831	173.581818182	0.00165289256198	840.136	1	0	0	0	37					
2	9	1	0	4	426.536351653	1395.94285714	0.00571428571429	2632.96323091	1	0	0	0	37					
2	10	1	0	1	397.210476004	838.185416667	0.00208333333333	557.242382271	1	0	0	0	37					
2	11	1	0	3	378.922547633	1015.00323625	0.00485436893204	1592.33714003	1	0	0	0	37					
2	12	1	0	2	391.691897139	1174.06921676	0.00364298724954	1166.01546409	1	0	0	0	37					
2	13	1	0	3	409.504759505	1121.30364964	0.0043795620438	1876.71283842	1	0	0	0	37					
2	14	1	0	0	NaN	0	0	0	1	0	0	0	37					
2	15	1	0	2	416.014035128	580.392807746	0.00276625172891	1177.2718358	1	0	0	0	37					
2	16	1	0	2	397.39950497	970.668217054	0.0031007751938	1112.88752928	1	0	0	0	37					
2	17	1	0	1	361.063789801	480.661290323	0.00268817204301	506.532577904	1	0	0	0	37					
2	18	1	0	1	367.86456512	396.353603604	0.00225225225225	516.073313783	1	0	0	0	37					
2	19	1	0	1	355.936583205	276.326315789	0.0015037593985	499.339673913	1	0	0	0	37					
2	20	1	0	0	NaN	0	0	0	1	0	0	0	37					
2	21	1	0	0	NaN	0	0	0	1	0	0	0	37					
2	22	1	0	0	NaN	0	0	0	1	0	0	0	37					
2	23	1	0	1	505.042640642	96.1735395189	0.00171821305842	708.518987342	1	0	0	0	37					
2	24	1	0	3	438.633757651	741.987138264	0.0048231511254	1888.4617649	1	0	0	0	37					
3	1	1	0	4	382.716581672	1845.92900302	0.00604229607251	2254.95942161	1	0	0	0	37					
3	2	1	0	2	372.555860881	818.438518519	0.00296296296296	1278.56625892	1	0	0	0	37					
3	3	1	0	2	373.785849887	883.761494253	0.00287356321839	1057.47018549	1	0	0	0	37					
3	4	1	0	1	475.192725886	281.813499112	0.00177619893428	666.642857143	1	0	0	0	37					
3	5	1	0	1	409.793194698	312.442687747	0.00197628458498	574.894545455	1	0	0	0	37					
3	6	1	0	1	490.6033238	299.53384913	0.00193423597679	688.262222222	1	0	0	0	37					
3	7	1	0	1	386.965863941	364.641541039	0.00167504187605	542.87032419	1	0	0	0	37					
3	8	1	0	2	405.900433554	549.12553495	0.00285306704708	1254.76794872	1	0	0	0	37					
3	9	1	0	1	425.996241094	363.69266055	0.00152905198777	597.625628141	1	0	0	0	37					
3	10	1	0	3	384.504500064	1006.28639241	0.00474683544304	1611.80276318	1	0	0	0	37					
3	11	1	0	2	402.340459479	875.398998331	0.00333889816361	1117.6371774	1	0	0	0	37					
3	12	1	0	2	413.966413698	593.42	0.00363636363636	1227.65701961	1	0	0	0	37					
3	13	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	14	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	15	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	16	1	0	3	395.862750834	1317.3686067	0.00529100529101	1638.78331724	1	0	0	0	37					
3	17	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	18	1	0	2	439.049403149	788.172222222	0.0037037037037	1299.9071763	1	0	0	0	37					
3	19	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	20	1	0	83	415.005144369	49228.5461121	0.150090415913	48989.6812008	1	0	0	0	37					
3	21	1	0	5	396.346775101	3257.78119935	0.00810372771475	2733.52621783	1	0	0	0	37					
3	22	1	0	1	377.163979058	407.097959184	0.00204081632653	529.119363395	1	0	0	0	37					
3	23	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	24	1	0	3	424.909396662	625.218453189	0.00407055630936	1820.52569639	1	0	0	0	37					
4	1	1	0	1	369.092419687	320.54029304	0.0018315018315	517.795857988	1	0	0	0	37					
4	2	1	0	0	NaN	0	0	0	1	0	0	0	37					
4	3	1	0	3	387.981978044	1376.22764228	0.00487804878049	1686.18538207	1	0	0	0	37					
4	4	1	0	2	356.023150809	649.122340426	0.00354609929078	998.773702948	1	0	0	0	37					
4	5	1	0	162	498.482028491	125559.555556	0.295081967213	114676.937376	1	0	0	0	37					
4	6	1	0	1	371.516696546	334.866779089	0.00168634064081	521.196850394	1	0	0	0	37					
4	7	1	0	0	NaN	0	0	0	1	0	0	0	37					
4	8	1	0	1	373.546503008	263.275917065	0.00159489633174	524.044444444	1	0	0	0	37					
4	9	1	0	0	NaN	0	0	0	1	0	0	0	37					
4	10	1	0	3	453.666858033	394.530612245	0.00382653061224	2175.00281743	1	0	0	0	37					
4	11	1	0	104	489.262070824	88585.7287785	0.215320910973	77796.2903661	1	0	0	0	37					
4	12	1	0	0	NaN	0	0	0	1	0	0	0	37					
4	13	1	0	1	506.599385932	299.57319224	0.00176366843034	710.70292887	1	0	0	0	37					
4	14	1	0	2	453.332093062	491.261976048	0.00299401197605	1298.14089912	1	0	0	0	37					
4	15	1	0	5	433.273984731	1842.65091864	0.00656167979003	3263.74540408	1	0	0	0	37					
4	16	1	0	1	355.171248022	398.881401617	0.00134770889488	498.265993266	1	0	0	0	37					
4	17	1	0	2	445.022674083	350.765017668	0.00353356890459	1320.03339695	1	0	0	0	37					
4	18	1	0	3	462.706870362	479.261682243	0.00400534045394	2137.02604587	1	0	0	0	37					
4	19	1	0	0	NaN	0	0	0	1	0	0	0	37					
4	20	1	0	0	NaN	0	0	0	1	0	0	0	37					
4	21	1	0	0	NaN	0	0	0	1	0	0	0	37					
4	22	1	0	2	474.896428355	506.057522124	0.00294985250737	1337.04109672	1	0	0	0	37					
4	23	1	0	3	378.934398717	912.429824561	0.00292397660819	1583.53883081	1	0	0	0	37					
4	24	1	0	4	479.465739552	1091.63292547	0.00444938820912	3175.72529808	1	0	0	0	37					
5	1	1	0	0	NaN	0	0	0	1	0	0	0	37					
5	2	1	0	2	456.137948461	741.283168317	0.0039603960396	1440.92086724	1	0	0	0	37					
5	3	1	0	2	589.750956783	1575.67479675	0.00406504065041	1586.53532518	1	0	0	0	37					
5	4	1	0	1	400.165986235	421.520477816	0.00170648464164	561.388636364	1	0	0	0	37					
5	5	1	0	0	NaN	0	0	0	1	0	0	0	37					
5	6	1	0	2	378.058705499	1372.67805755	0.00359712230216	1063.21227317	1	0	0	0	37					
5	7	1	0	1	3875.7161488	2748.85532591	0.00158982511924	5437.20125786	1	0	0	0	37					
5	8	1	0	0	NaN	0	0	0	1	0	0	0	37					
5	9	1	0	2	375.460123137	558.5	0.0031746031746	1053.65872294	1	0	0	0	37					
5	10	1	0	0	NaN	0	0	0	1	0	0	0	37					
5	11	1	0	0	NaN	0	0	0	1	0	0	0	37					
5	12	1	0	1	493.712913968	488.995859213	0.00207039337474	692.624633431	1	0	0	0	37					
5	13	1	0	1	358.713822316	1312.78913043	0.00217391304348	503.235833333	1	0	0	0	37					
5	14	1	0	1	384.936917155	358.111111111	0.00176366843034	540.02393617	1	0	0	0	37					
5	15	1	0	1	369.04168229	543.300898204	0.00149700598802	517.72467903	1	0	0	0	37					
5	16	1	0	5	501.917810071	3437.46	0.00909090909091	3877.03473007	1	0	0	0	37					
