Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	b09cc584-e478-4410-be42-bad46e6a8932
Plate Name	P103829
Plate Name	231204_124642-V
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	GFP induced - Number of Objects	Ave GFP pos per cell	GFP Total  per well	percentage of induction	GFP induced - Intensity Cytoplasm EGFP Mean - Sum per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	2	433.082140476	896.981418919	0.00337837837838	1189.96476061	1	0	0	0	37					
1	2	1	0	14	428.203900149	7387.30176211	0.0308370044053	8896.77679674	1	0	0	0	37					
1	3	1	0	3	460.986605013	1653.07823129	0.00510204081633	1846.90923221	1	0	0	0	37					
1	4	1	0	2	356.983265671	496.806924101	0.00266311584554	1001.26228261	1	0	0	0	37					
1	5	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	6	1	0	1	395.210803575	245.462848297	0.0015479876161	554.437062937	1	0	0	0	37					
1	7	1	0	1	390.791253693	286.919484702	0.00161030595813	548.236923077	1	0	0	0	37					
1	8	1	0	1	446.756041804	873.721189591	0.00185873605948	626.749333333	1	0	0	0	37					
1	9	1	0	2	481.513012279	1187.34136546	0.00267737617135	1353.8653371	1	0	0	0	37					
1	10	1	0	5	458.427656533	3361.32421875	0.009765625	3218.67500416	1	0	0	0	37					
1	11	1	0	2	438.003135771	353.897744361	0.00300751879699	1646.46279632	1	0	0	0	37					
1	12	1	0	2	425.203811679	482.932299013	0.00282087447109	1193.65083089	1	0	0	0	37					
1	13	1	0	1	357.376132041	296.736220472	0.00131233595801	501.359201774	1	0	0	0	37					
1	14	1	0	1	365.165954737	233.963687151	0.00139664804469	512.287461774	1	0	0	0	37					
1	15	1	0	3	504.227553505	571.02800659	0.00494233937397	2132.82592293	1	0	0	0	37					
1	16	1	0	1	809.436558268	219.783870968	0.00161290322581	1135.55	1	0	0	0	37					
1	17	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	18	1	0	2	603.420005326	547.521193093	0.00313971742543	1752.05651404	1	0	0	0	37					
1	19	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	20	1	0	3	387.234792174	1195.90985915	0.00422535211268	1857.78498926	1	0	0	0	37					
1	21	1	0	2	449.603606693	654.672230653	0.00303490136571	1249.12104281	1	0	0	0	37					
1	22	1	0	2	359.313140275	1212.908646	0.00326264274062	1001.8873349	1	0	0	0	37					
1	23	1	0	2	366.572137695	1014.74553571	0.00297619047619	1031.18840244	1	0	0	0	37					
1	24	1	0	152	471.748387019	98905.7195513	0.24358974359	112233.247741	1	0	0	0	37					
2	1	1	0	115	474.062233442	79873.5423197	0.180250783699	77462.5044771	1	0	0	0	37					
2	2	1	0	1	370.14888791	367.354916067	0.00239808153477	519.277966102	1	0	0	0	37					
2	3	1	0	1	443.803489522	412.092503987	0.00159489633174	622.607228916	1	0	0	0	37					
2	4	1	0	2	417.082481475	727.355167394	0.00291120815138	1149.52443555	1	0	0	0	37					
2	5	1	0	2	386.466245883	511.495049505	0.002828854314	1088.35260818	1	0	0	0	37					
2	6	1	0	3	433.688827038	741.621301775	0.00443786982249	2071.76668794	1	0	0	0	37					
2	7	1	0	6	376.875398347	3146.02083333	0.00961538461538	3196.69045916	1	0	0	0	37					
2	8	1	0	0	NaN	0	0	0	1	0	0	0	37					
2	9	1	0	3	985.060005025	1003.94934877	0.00434153400868	4409.36722992	1	0	0	0	37					
2	10	1	0	3	434.403893503	898.093567251	0.00584795321637	1900.13251916	1	0	0	0	37					
2	11	1	0	0	NaN	0	0	0	1	0	0	0	37					
2	12	1	0	2	466.587160668	802.970123023	0.00351493848858	1321.6657893	1	0	0	0	37					
2	13	1	0	2	388.849910232	593.334415584	0.00324675324675	1096.39650843	1	0	0	0	37					
2	14	1	0	0	NaN	0	0	0	1	0	0	0	37					
2	15	1	0	3	371.654208014	2046.87789799	0.00463678516229	1568.63393687	1	0	0	0	37					
2	16	1	0	1	516.717944724	107.539835165	0.00137362637363	724.898148148	1	0	0	0	37					
2	17	1	0	1	429.629014594	255.073529412	0.0016339869281	602.722007722	1	0	0	0	37					
2	18	1	0	0	NaN	0	0	0	1	0	0	0	37					
2	19	1	0	1	572.695572781	77.3944954128	0.00152905198777	803.428571429	1	0	0	0	37					
2	20	1	0	1	367.863661504	329.791896869	0.00184162062615	516.07204611	1	0	0	0	37					
2	21	1	0	1	363.279190779	288.328746177	0.00152905198777	509.640540541	1	0	0	0	37					
2	22	1	0	1	357.187422065	238.13622291	0.0015479876161	501.094462541	1	0	0	0	37					
2	23	1	0	1	540.274779668	197.20846395	0.00156739811912	757.945783133	1	0	0	0	37					
2	24	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	1	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	2	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	3	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	4	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	5	1	0	1	395.669709309	2494.41614907	0.00155279503106	555.080856945	1	0	0	0	37					
3	6	1	0	1	357.283842485	400.057010786	0.00154083204931	501.22972973	1	0	0	0	37					
3	7	1	0	1	357.382869314	747.105263158	0.00164473684211	501.368653422	1	0	0	0	37					
3	8	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	9	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	10	1	0	1	376.658023303	385.098484848	0.00151515151515	528.40956341	1	0	0	0	37					
3	11	1	0	1	613.285449902	370.604828463	0.0012706480305	860.371681416	1	0	0	0	37					
3	12	1	0	2	461.733055582	1037.08219178	0.00342465753425	1295.51252388	1	0	0	0	37					
3	13	1	0	3	404.663851046	839.348137536	0.00429799426934	1959.67154104	1	0	0	0	37					
3	14	1	0	1	405.04454782	390.210443038	0.00158227848101	568.232718894	1	0	0	0	37					
3	15	1	0	3	417.340086309	782.729946524	0.00401069518717	1839.71724354	1	0	0	0	37					
3	16	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	17	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	18	1	0	4	498.001622825	2229.59491779	0.00597907324365	2523.27335063	1	0	0	0	37					
3	19	1	0	3	515.100379725	1225.9985755	0.0042735042735	2179.14251658	1	0	0	0	37					
3	20	1	0	89	469.285284216	70420.5584158	0.176237623762	63121.8309371	1	0	0	0	37					
3	21	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	22	1	0	3	378.054449547	468.427737226	0.0043795620438	1888.00867226	1	0	0	0	37					
3	23	1	0	3	398.553600579	2116.36363636	0.0123966942149	1696.46810983	1	0	0	0	37					
3	24	1	0	6	530.877248942	1125.73653846	0.0115384615385	6033.89411351	1	0	0	0	37					
4	1	1	0	2	368.895336258	768.632970451	0.00311041990669	1037.68856546	1	0	0	0	37					
4	2	1	0	1	524.197028779	369.454545455	0.00159489633174	735.39047619	1	0	0	0	37					
4	3	1	0	0	NaN	0	0	0	1	0	0	0	37					
4	4	1	0	12	506.822433352	5938.50389105	0.0233463035019	9428.74710319	1	0	0	0	37					
4	5	1	0	201	503.657746059	188545.083885	0.443708609272	148342.699934	1	0	0	0	37					
4	6	1	0	3	388.046170695	755.490056818	0.00426136363636	1634.36340272	1	0	0	0	37					
4	7	1	0	0	NaN	0	0	0	1	0	0	0	37					
4	8	1	0	0	NaN	0	0	0	1	0	0	0	37					
4	9	1	0	1	555.619000121	589.759259259	0.00132275132275	779.472027972	1	0	0	0	37					
4	10	1	0	1	521.11392139	44.7789613848	0.00133155792277	731.065217391	1	0	0	0	37					
4	11	1	0	191	504.870484271	188346.752101	0.401260504202	139711.028074	1	0	0	0	37					
4	12	1	0	2	400.295167227	1279.08268331	0.00312012480499	1110.4768785	1	0	0	0	37					
4	13	1	0	2	411.293993325	548.348965517	0.00275862068966	1193.05801887	1	0	0	0	37					
4	14	1	0	0	NaN	0	0	0	1	0	0	0	37					
4	15	1	0	0	NaN	0	0	0	1	0	0	0	37					
4	16	1	0	3	435.190830991	779.581620314	0.00362756952842	2412.92652028	1	0	0	0	37					
4	17	1	0	1	389.002125255	237.001428571	0.00142857142857	545.726973684	1	0	0	0	37					
4	18	1	0	0	NaN	0	0	0	1	0	0	0	37					
4	19	1	0	1	396.942752195	435.078431373	0.00150829562594	556.866795367	1	0	0	0	37					
4	20	1	0	1	385.092967209	500.887417219	0.00165562913907	540.242857143	1	0	0	0	37					
4	21	1	0	3	385.592939005	1157.81052632	0.00526315789474	1808.50348274	1	0	0	0	37					
4	22	1	0	1	402.686623689	280.878504673	0.0018691588785	564.92481203	1	0	0	0	37					
4	23	1	0	5	443.137461341	2747.85083714	0.0076103500761	3213.62749416	1	0	0	0	37					
4	24	1	0	1	369.600060119	999.597938144	0.00171821305842	518.50802139	1	0	0	0	37					
5	1	1	0	0	NaN	0	0	0	1	0	0	0	37					
5	2	1	0	1	537.025968108	99.756916996	0.00197628458498	753.388059701	1	0	0	0	37					
5	3	1	0	1	377.616992995	855.893510815	0.00166389351082	529.754891864	1	0	0	0	37					
5	4	1	0	5	498.012846951	3418.39050536	0.00765696784074	3526.71866708	1	0	0	0	37					
5	5	1	0	1	454.191568741	276.784313725	0.00150829562594	637.180555556	1	0	0	0	37					
5	6	1	0	1	566.420259005	412.108965517	0.00137931034483	794.625	1	0	0	0	37					
5	7	1	0	4	458.033193292	1091.30047506	0.00475059382423	2532.73828966	1	0	0	0	37					
5	8	1	0	3	474.563221865	2248.37583001	0.00398406374502	2238.6678068	1	0	0	0	37					
5	9	1	0	1	600.763090613	200.868333333	0.00166666666667	842.804195804	1	0	0	0	37					
5	10	1	0	0	NaN	0	0	0	1	0	0	0	37					
5	11	1	0	5	419.099953692	1661.28434066	0.00686813186813	3865.54689409	1	0	0	0	37					
5	12	1	0	0	NaN	0	0	0	1	0	0	0	37					
5	13	1	0	1	377.37323672	710.256637168	0.00176991150442	529.41292876	1	0	0	0	37					
5	14	1	0	1	531.89941924	138.385454545	0.00181818181818	746.196078431	1	0	0	0	37					
5	15	1	0	3	412.286031404	529.489795918	0.00437317784257	1914.2626287	1	0	0	0	37					
5	16	1	0	2	404.622676075	1094.29042386	0.00313971742543	1102.30591632	1	0	0	0	37					
5	17	1	0	147	471.647059144	158423.961905	0.35	106157.255289	1	0	0	0	37					
5	18	1	0	2	395.181971176	730.073248408	0.0031847133758	1107.74021098	1	0	0	0	37					
5	19	1	0	2	451.370011161	2599.70616883	0.00324675324675	1206.66928555	1	0	0	0	37					
5	20	1	0	2	421.172954926	760.169590643	0.00389863547758	1327.08601018	1	0	0	0	37					
5	21	1	0	1	367.216133823	701.603809524	0.00190476190476	515.163636364	1	0	0	0	37					
5	22	1	0	2	450.171979493	288.199341021	0.00329489291598	1471.97571429	1	0	0	0	37					
5	23	1	0	1	386.651249151	325.282958199	0.0016077170418	542.428954424	1	0	0	0	37					
5	24	1	0	2	401.936327525	873.717171717	0.0040404040404	1123.00215132	1	0	0	0	37					
6	1	1	0	2	408.276528792	714.784836066	0.00409836065574	1149.38939545	1	0	0	0	37					
6	2	1	0	151	497.776739772	177217.655257	0.369193154034	104267.955541	1	0	0	0	37					
6	3	1	0	1	616.676558785	195.402550091	0.00182149362477	865.129032258	1	0	0	0	37					
6	4	1	0	1	548.982509034	86.4207920792	0.0016501650165	770.161764706	1	0	0	0	37					
6	5	1	0	0	NaN	0	0	0	1	0	0	0	37					
6	6	1	0	2	389.45498049	737.489010989	0.003663003663	1228.84966959	1	0	0	0	37					
6	7	1	0	3	398.165155299	803.426666667	0.005	1911.22014487	1	0	0	0	37					
6	8	1	0	6	481.334365359	2418.22610015	0.00910470409712	3926.28848138	1	0	0	0	37					
6	9	1	0	0	NaN	0	0	0	1	0	0	0	37					
6	10	1	0	1	371.374822358	423.079787234	0.00177304964539	520.997816594	1	0	0	0	37					
6	11	1	0	0	NaN	0	0	0	1	0	0	0	37					
6	12	1	0	1	424.555517379	463.159786951	0.00133155792277	595.604452055	1	0	0	0	37					
6	13	1	0	4	392.022407495	1347.14332248	0.00651465798046	2280.65190304	1	0	0	0	37					
6	14	1	0	5	411.980581443	2865.94148021	0.00860585197935	2853.91072385	1	0	0	0	37					
6	15	1	0	1	608.40293928	339.909224012	0.00146412884334	853.522058824	1	0	0	0	37					
6	16	1	0	1	397.3295258	242.493430657	0.0014598540146	557.409395973	1	0	0	0	37					
6	17	1	0	1	355.367653359	237.438291139	0.00158227848101	498.541528239	1	0	0	0	37					
6	18	1	0	2	766.945838111	1695.70021413	0.00428265524625	1817.76939836	1	0	0	0	37					
6	19	1	0	2	483.922481895	755.221465077	0.00340715502555	1353.98533341	1	0	0	0	37					
6	20	1	0	4	405.477636792	1210.02439024	0.00696864111498	2673.90985477	1	0	0	0	37					
6	21	1	0	1	422.897634702	265.707692308	0.0017094017094	593.278625954	1	0	0	0	37					
6	22	1	0	2	496.048987836	865.79342723	0.00312989045383	1347.50460239	1	0	0	0	37					
6	23	1	0	22	1350.11510291	20402.5276292	0.0392156862745	100237.737121	1	0	0	0	37					
6	24	1	0	0	NaN	0	0	0	1	0	0	0	37					
7	1	1	0	3	446.276339214	939.114545455	0.00545454545455	2369.26654102	1	0	0	0	37					
7	2	1	0	10	390.843093671	19093.7085714	0.0571428571429	5669.71474898	1	0	0	0	37					
7	3	1	0	0	NaN	0	0	0	1	0	0	0	37					
7	4	1	0	1	396.840182472	1226.38958707	0.00179533213645	556.722901385	1	0	0	0	37					
7	5	1	0	2	621.20060643	268.4192673	0.00271370420624	1704.12801932	1	0	0	0	37					
7	6	1	0	33	412.514672022	32080.4692982	0.144736842105	20153.2496076	1	0	0	0	37					
7	7	1	0	140	492.644440146	146068.146597	0.366492146597	99533.3092134	1	0	0	0	37					
7	8	1	0	1	384.904960473	288.046178344	0.0015923566879	539.979104478	1	0	0	0	37					
7	9	1	0	0	NaN	0	0	0	1	0	0	0	37					
7	10	1	0	4	382.028933153	2709.87942122	0.0064308681672	2223.61159317	1	0	0	0	37					
7	11	1	0	1	357.185504317	283.772401434	0.00179211469534	501.091772152	1	0	0	0	37					
7	12	1	0	2	387.969072986	840.899653979	0.00346020761246	1083.26242448	1	0	0	0	37					
7	13	1	0	0	NaN	0	0	0	1	0	0	0	37					
7	14	1	0	0	NaN	0	0	0	1	0	0	0	37					
7	15	1	0	1	380.966532108	213.927595628	0.00136612021858	534.453924915	1	0	0	0	37					
7	16	1	0	3	372.710304484	1099.93666027	0.00575815738964	1563.15259176	1	0	0	0	37					
7	17	1	0	0	NaN	0	0	0	1	0	0	0	37					
7	18	1	0	2	360.854550423	761.512765957	0.00425531914894	1013.09413009	1	0	0	0	37					
7	19	1	0	1	366.263228567	250.954979536	0.00136425648022	513.826815642	1	0	0	0	37					
7	20	1	0	1	496.293167914	406.896103896	0.00162337662338	696.244444444	1	0	0	0	37					
7	21	1	0	2	442.903213247	1603.73986486	0.00337837837838	1259.77444644	1	0	0	0	37					
7	22	1	0	0	NaN	0	0	0	1	0	0	0	37					
7	23	1	0	1	475.551831851	749.216269841	0.00198412698413	667.14664311	1	0	0	0	37					
7	24	1	0	3	487.689969713	842.718360071	0.00534759358289	2139.23075441	1	0	0	0	37					
8	1	1	0	0	NaN	0	0	0	1	0	0	0	37					
8	2	1	0	2	384.428839076	799.106518283	0.00317965023847	1293.40610777	1	0	0	0	37					
8	3	1	0	0	NaN	0	0	0	1	0	0	0	37					
8	4	1	0	0	NaN	0	0	0	1	0	0	0	37					
8	5	1	0	4	442.911096992	1052.68446602	0.00647249190939	2742.28537554	1	0	0	0	37					
8	6	1	0	0	NaN	0	0	0	1	0	0	0	37					
8	7	1	0	0	NaN	0	0	0	1	0	0	0	37					
8	8	1	0	0	NaN	0	0	0	1	0	0	0	37					
8	9	1	0	0	NaN	0	0	0	1	0	0	0	37					
8	10	1	0	0	NaN	0	0	0	1	0	0	0	37					
8	11	1	0	0	NaN	0	0	0	1	0	0	0	37					
8	12	1	0	3	425.301487874	877.490230906	0.00532859680284	2338.04819244	1	0	0	0	37					
8	13	1	0	7	513.336114997	2391.4541779	0.00943396226415	5200.03163059	1	0	0	0	37					
8	14	1	0	112	465.381292131	102258.117794	0.280701754386	78462.7877895	1	0	0	0	37					
8	15	1	0	2	433.786603154	348.0171875	0.003125	1618.81606437	1	0	0	0	37					
8	16	1	0	1	377.846433592	785.069970845	0.00291545189504	530.076771654	1	0	0	0	37					
8	17	1	0	0	NaN	0	0	0	1	0	0	0	37					
8	18	1	0	4	440.754888494	3552.53703704	0.00617283950617	2345.70009933	1	0	0	0	37					
8	19	1	0	0	NaN	0	0	0	1	0	0	0	37					
8	20	1	0	2	539.864409203	1424.97777778	0.00740740740741	1500.36287385	1	0	0	0	37					
8	21	1	0	1	370.53510643	806.813528336	0.0018281535649	519.819787986	1	0	0	0	37					
8	22	1	0	0	NaN	0	0	0	1	0	0	0	37					
8	23	1	0	0	NaN	0	0	0	1	0	0	0	37					
8	24	1	0	1	367.385369572	350.066308244	0.00179211469534	515.401055409	1	0	0	0	37					
9	1	1	0	1	522.493062578	170.883435583	0.00204498977505	733	1	0	0	0	37					
9	2	1	0	1	357.203521556	548.576601671	0.00278551532033	501.117048346	1	0	0	0	37					
