Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	32c9eb97-1e59-4397-abb0-06a017d19f0d
Plate Name	P103831
Plate Name	231204_131331-V
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	GFP induced - Number of Objects	Ave GFP pos per cell	GFP Total  per well	percentage of induction	GFP induced - Intensity Cytoplasm EGFP Mean - Sum per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	3	381.858911128	1211.81040892	0.00557620817844	1591.08793367	1	0	0	0	37					
1	2	1	0	1	358.322192323	328.367741935	0.00161290322581	502.686419753	1	0	0	0	37					
1	3	1	0	3	467.634814406	633.449035813	0.00413223140496	2077.5617594	1	0	0	0	37					
1	4	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	5	1	0	4	517.013924326	881.619092628	0.00378071833648	2827.27534828	1	0	0	0	37					
1	6	1	0	4	396.960849075	519.766037736	0.00503144654088	2734.28645794	1	0	0	0	37					
1	7	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	8	1	0	4	396.405889502	1579.77761836	0.00573888091822	2271.65527314	1	0	0	0	37					
1	9	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	10	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	11	1	0	41	417.162886727	15353.7123519	0.0693739424704	25509.8528114	1	0	0	0	37					
1	12	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	13	1	0	2	444.603872056	341.253164557	0.0028129395218	1349.38447909	1	0	0	0	37					
1	14	1	0	2	492.350195886	518.541055718	0.00293255131965	1392.29644934	1	0	0	0	37					
1	15	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	16	1	0	4	435.394642963	1274.73505435	0.0054347826087	2514.16929123	1	0	0	0	37					
1	17	1	0	3	406.563547258	971.282493369	0.00397877984085	1868.92099452	1	0	0	0	37					
1	18	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	19	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	20	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	21	1	0	1	411.402203726	296.800495663	0.00123915737299	577.151807229	1	0	0	0	37					
1	22	1	0	2	615.674066424	574.353637902	0.00338409475465	1804.25897539	1	0	0	0	37					
1	23	1	0	0	NaN	0	0	0	1	0	0	0	37					
