Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	15cca8e6-05d1-4e3a-85f4-fff103defb51
Plate Name	P103838
Plate Name	231204_144748-V
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	GFP induced - Number of Objects	Ave GFP pos per cell	GFP Total  per well	percentage of induction	GFP induced - Intensity Cytoplasm EGFP Mean - Sum per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	9	421.735993278	8810.42490119	0.0177865612648	5277.40203072	1	0	0	0	37					
1	2	1	0	4	376.75319063	2070.60653188	0.00622083981337	2106.28459241	1	0	0	0	37					
1	3	1	0	620	587.364064156	567588.924149	0.959752321981	570129.707133	1	0	0	0	37					
1	4	1	0	1	677.043653032	146.028074866	0.00133689839572	949.817391304	1	0	0	0	37					
1	5	1	0	3	417.86331543	498.791907514	0.00346820809249	1856.42057655	1	0	0	0	37					
1	6	1	0	4	430.377631357	730.54855643	0.00524934383202	2562.70425421	1	0	0	0	37					
1	7	1	0	3	498.832131119	709.688061617	0.00385109114249	2249.24183804	1	0	0	0	37					
1	8	1	0	2	369.365299844	526.880916031	0.0030534351145	1039.61005948	1	0	0	0	37					
1	9	1	0	7	359.31144874	5245.39810427	0.0110584518167	3583.24254336	1	0	0	0	37					
1	10	1	0	4	391.984825335	1537.28955224	0.00597014925373	2223.09704906	1	0	0	0	37					
1	11	1	0	5	373.620200783	1669.10044978	0.00749625187406	3086.49885366	1	0	0	0	37					
1	12	1	0	7	407.106493697	3084.07716535	0.0110236220472	4118.39338662	1	0	0	0	37					
1	13	1	0	5	418.528036159	1413.67307692	0.00641025641026	3112.3042909	1	0	0	0	37					
1	14	1	0	5	403.511516315	1254.47957839	0.00658761528327	2900.3171907	1	0	0	0	37					
1	15	1	0	13	383.589370179	8378.40350877	0.0207336523126	7742.9270554	1	0	0	0	37					
1	16	1	0	4	407.146428772	1098.85180055	0.00554016620499	2289.67751417	1	0	0	0	37					
