Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	84b3a766-7cea-42e4-b047-863c8d655292
Plate Name	P103839
Plate Name	231204_150124-V
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	GFP induced - Number of Objects	Ave GFP pos per cell	GFP Total  per well	percentage of induction	GFP induced - Intensity Cytoplasm EGFP Mean - Sum per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	9	368.629909016	4106.22007042	0.0158450704225	4703.55295372	1	0	0	0	37					
1	2	1	0	4	523.528728221	1896.32228361	0.0073664825046	2900.21610079	1	0	0	0	37					
1	3	1	0	4	439.466339969	1289.29744526	0.00729927007299	2612.68679778	1	0	0	0	37					
1	4	1	0	9	404.673139973	5387.73451327	0.0159292035398	4956.02361525	1	0	0	0	37					
1	5	1	0	6	435.401470482	2711.92824074	0.0138888888889	3985.39976291	1	0	0	0	37					
1	6	1	0	10	383.85862126	3791.53900709	0.0177304964539	5715.98507167	1	0	0	0	37					
1	7	1	0	17	421.332393719	9187.66970803	0.0310218978102	10196.9285754	1	0	0	0	37					
1	8	1	0	4	447.78384768	1074.03668262	0.00637958532695	2529.11568516	1	0	0	0	37					
1	9	1	0	11	431.264267644	4098.78350515	0.0162002945508	6759.56369883	1	0	0	0	37					
1	10	1	0	7	394.447241669	3817.28659476	0.0107858243451	4005.55231306	1	0	0	0	37					
1	11	1	0	14	378.318916231	8123.89775051	0.0286298568507	7533.00698409	1	0	0	0	37					
1	12	1	0	183	362.706740065	183990.998106	0.346590909091	93659.3324628	1	0	0	0	37					
1	13	1	0	1	409.874627981	642.78978389	0.00196463654224	575.008787346	1	0	0	0	37					
1	14	1	0	1	361.937486763	268.551663748	0.00175131348511	507.758278146	1	0	0	0	37					
1	15	1	0	4	379.814070738	1808.67741935	0.0058651026393	2178.95449052	1	0	0	0	37					
1	16	1	0	4	462.502229045	1117.18363636	0.00727272727273	2828.67313531	1	0	0	0	37					
1	17	1	0	1	570.693846217	330.657743786	0.0019120458891	800.62037037	1	0	0	0	37					
1	18	1	0	3	402.327385472	1326.65629229	0.00405953991881	1767.3347112	1	0	0	0	37					
1	19	1	0	11	448.108499477	4346.81329114	0.0174050632911	7066.9923962	1	0	0	0	37					
1	20	1	0	1	353.193747577	508.411042945	0.00153374233129	495.491778774	1	0	0	0	37					
1	21	1	0	4	464.955677972	1406.90174326	0.00633914421553	2763.50989562	1	0	0	0	37					
1	22	1	0	1	359.821359495	689.41509434	0.00145137880987	504.789585547	1	0	0	0	37					
1	23	1	0	2	575.359354672	199.806557377	0.00327868852459	1627.21027479	1	0	0	0	37					
1	24	1	0	178	501.835098415	166846.793878	0.363265306122	146140.450862	1	0	0	0	37					
2	1	1	0	195	467.681832834	156706.317829	0.377906976744	134778.161797	1	0	0	0	37					
2	2	1	0	5	372.509053032	1953.65231788	0.00827814569536	2653.62895059	1	0	0	0	37					
2	3	1	0	15	457.384518907	6518.90712074	0.0232198142415	9587.34189854	1	0	0	0	37					
2	4	1	0	7	382.182597137	3357.74371069	0.0110062893082	4125.5692644	1	0	0	0	37					
2	5	1	0	5	471.655240337	2288.54300169	0.00843170320405	3477.45075259	1	0	0	0	37					
2	6	1	0	35	379.716507361	15066.6094488	0.0551181102362	18607.9563242	1	0	0	0	37					
2	7	1	0	8	374.514894508	2465.70701754	0.0140350877193	4538.74394944	1	0	0	0	37					
2	8	1	0	2	362.708681942	1400.6590106	0.00353356890459	1046.71857494	1	0	0	0	37					
2	9	1	0	11	377.155411909	4071.82608696	0.0170807453416	6212.98256846	1	0	0	0	37					
2	10	1	0	4	380.423751947	4078.49027237	0.0155642023346	2211.06264107	1	0	0	0	37					
2	11	1	0	4	508.974855839	848.073684211	0.00701754385965	2987.18166653	1	0	0	0	37					
2	12	1	0	1	391.399383607	325.611418048	0.00184162062615	549.090062112	1	0	0	0	37					
2	13	1	0	1	863.668801111	505.265560166	0.00207468879668	1211.6318408	1	0	0	0	37					
2	14	1	0	1	365.877128574	1403.70557029	0.0026525198939	513.285160039	1	0	0	0	37					
2	15	1	0	4	382.614036927	1926.92146597	0.00698080279232	2442.65674349	1	0	0	0	37					
2	16	1	0	2	366.293259605	637.342756184	0.00353356890459	1028.28788814	1	0	0	0	37					
2	17	1	0	0	NaN	0	0	0	1	0	0	0	37					
2	18	1	0	2	455.695618357	1663.86310518	0.00333889816361	1264.11856267	1	0	0	0	37					
2	19	1	0	4	391.465499469	2097.05410122	0.00698080279232	2176.69210282	1	0	0	0	37					
2	20	1	0	5	476.563479573	1645.29882813	0.009765625	4514.72194261	1	0	0	0	37					
2	21	1	0	3	434.011292526	1539.52136752	0.0042735042735	1779.34160659	1	0	0	0	37					
2	22	1	0	5	520.200232494	1979.15372168	0.00809061488673	3895.5491887	1	0	0	0	37					
2	23	1	0	2	769.300409731	303.787037037	0.0037037037037	2443.77059713	1	0	0	0	37					
2	24	1	0	2	376.009334161	997.125899281	0.00359712230216	1053.56021855	1	0	0	0	37					
3	1	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	2	1	0	1	460.887238292	226.34859675	0.00147710487445	646.573839662	1	0	0	0	37					
3	3	1	0	11	478.373481481	9003.87526427	0.0232558139535	7369.72585023	1	0	0	0	37					
3	4	1	0	2	377.937021697	645.852348993	0.00335570469799	1057.55470469	1	0	0	0	37					
3	5	1	0	2	443.888598369	1241.04716981	0.00471698113208	1258.93813149	1	0	0	0	37					
3	6	1	0	48	361.538888702	25714.8177083	0.0833333333333	24346.203546	1	0	0	0	37					
3	7	1	0	12	364.491835898	4455.85448393	0.0203045685279	6389.32197444	1	0	0	0	37					
3	8	1	0	4	397.907081566	1568.24247492	0.0066889632107	2342.83909117	1	0	0	0	37					
3	9	1	0	10	454.937088885	4476.23898305	0.0169491525424	8581.66228919	1	0	0	0	37					
3	10	1	0	31	378.66682962	21264.7864583	0.0538194444444	16649.3702972	1	0	0	0	37					
3	11	1	0	2	415.793944962	649.229102167	0.0030959752322	1163.36460621	1	0	0	0	37					
3	12	1	0	8	387.630142237	3842.92412747	0.0121396054628	4915.15965239	1	0	0	0	37					
3	13	1	0	144	1380.99295441	301340.806754	0.270168855535	276679.258694	1	0	0	0	37					
3	14	1	0	7	401.831632793	3565.39442231	0.0139442231076	4424.17474819	1	0	0	0	37					
3	15	1	0	1	433.086036364	779.300536673	0.00178890876565	607.571827057	1	0	0	0	37					
3	16	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	17	1	0	135	534.787989495	243047.974318	0.216693418941	102691.748548	1	0	0	0	37					
3	18	1	0	1	389.911548033	338.801038062	0.00173010380623	547.002793296	1	0	0	0	37					
3	19	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	20	1	0	24	419.587652905	16496.0131868	0.0527472527473	14855.9794054	1	0	0	0	37					
3	21	1	0	3	534.991483572	2358.6409396	0.00503355704698	2314.25010854	1	0	0	0	37					
3	22	1	0	9	427.941345218	5259.59681093	0.0205011389522	5438.80908302	1	0	0	0	37					
3	23	1	0	1	444.962668879	396.71978022	0.0018315018315	624.233429395	1	0	0	0	37					
3	24	1	0	1	365.583585046	267.739669421	0.00137741046832	512.873350923	1	0	0	0	37					
4	1	1	0	4	440.111868891	1663.38636364	0.00699300699301	2450.81506639	1	0	0	0	37					
4	2	1	0	7	1334.65690953	9694.66601563	0.013671875	22775.1001871	1	0	0	0	37					
4	3	1	0	2	414.08035347	600.63117284	0.00308641975309	1304.72552281	1	0	0	0	37					
4	4	1	0	2	477.88031322	862.286201022	0.00340715502555	1341.5327307	1	0	0	0	37					
4	5	1	0	193	486.592890336	174086.588608	0.407172995781	135369.152406	1	0	0	0	37					
