Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	94c1c749-89a8-49c1-8f88-f6be5b8df8d8
Plate Name	P103849
Plate Name	231204_151455-V
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	GFP induced - Number of Objects	Ave GFP pos per cell	GFP Total  per well	percentage of induction	GFP induced - Intensity Cytoplasm EGFP Mean - Sum per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	3	419.973123329	1872	0.00618556701031	1845.13597359	1	0	0	0	37					
1	2	1	0	2	371.600081159	1276.1328125	0.00520833333333	1043.84813909	1	0	0	0	37					
1	3	1	0	4	443.114320179	4115.00864553	0.0115273775216	2560.73526319	1	0	0	0	37					
1	4	1	0	2	423.311355746	1757.24767225	0.00372439478585	1185.05912711	1	0	0	0	37					
1	5	1	0	9	440.353467697	3242.18262411	0.0159574468085	5738.09049403	1	0	0	0	37					
1	6	1	0	10	409.761545557	26044.745614	0.0877192982456	7381.64808849	1	0	0	0	37					
1	7	1	0	1	357.436147072	305.477011494	0.00191570881226	501.443396226	1	0	0	0	37					
1	8	1	0	9	441.512060383	4424.7859375	0.0140625	5899.82398424	1	0	0	0	37					
1	9	1	0	31	373.007995773	29589.2850575	0.0712643678161	16101.8581468	1	0	0	0	37					
1	10	1	0	29	381.659123297	24898.7097345	0.0513274336283	16081.1223042	1	0	0	0	37					
1	11	1	0	42	365.714603294	55460.5531062	0.0841683366733	21969.3031795	1	0	0	0	37					
1	12	1	0	3	366.097300349	1201.7549195	0.00536672629696	1542.3236833	1	0	0	0	37					
1	13	1	0	227	375.001114043	250933.364522	0.442495126706	119315.941302	1	0	0	0	37					
1	14	1	0	1	538.052785821	80.5457317073	0.0015243902439	754.828571429	1	0	0	0	37					
1	15	1	0	1	682.534501203	3375.17437722	0.0017793594306	957.52044422	1	0	0	0	37					
1	16	1	0	11	372.720763354	9337.09543568	0.0228215767635	5879.26042581	1	0	0	0	37					
1	17	1	0	10	422.259300757	7996.58083832	0.0199600798403	5772.92450309	1	0	0	0	37					
1	18	1	0	29	365.508733517	19070.2124031	0.0449612403101	15012.6488364	1	0	0	0	37					
1	19	1	0	9	378.033713957	5754.83435583	0.0138036809816	5125.33450416	1	0	0	0	37					
1	20	1	0	4	380.265595419	1260.49277978	0.0072202166065	2337.96751042	1	0	0	0	37					
1	21	1	0	4	363.814434208	3678.12798635	0.00682593856655	2083.56330517	1	0	0	0	37					
1	22	1	0	2	376.200933415	797.973053892	0.0059880239521	1285.08786943	1	0	0	0	37					
1	23	1	0	2	480.218288574	907.966165414	0.00375939849624	1356.26556344	1	0	0	0	37					
1	24	1	0	197	488.210790562	200416.343811	0.387033398821	147089.503265	1	0	0	0	37					
2	1	1	0	115	460.801047683	89916.4981203	0.216165413534	77751.8994442	1	0	0	0	37					
2	2	1	0	5	414.743719581	2028.82897384	0.010060362173	2908.69824409	1	0	0	0	37					
2	3	1	0	18	420.680535608	8778.91182796	0.0387096774194	11579.2331886	1	0	0	0	37					
2	4	1	0	8	381.14425108	4487.72765073	0.016632016632	4279.50482314	1	0	0	0	37					
2	5	1	0	9	414.557231329	9283.524618	0.0152801358234	5028.06466493	1	0	0	0	37					
2	6	1	0	76	361.484044456	74967.2228361	0.139963167587	39062.8049951	1	0	0	0	37					
2	7	1	0	3	409.380058204	1005.0511811	0.00590551181102	1758.42657407	1	0	0	0	37					
2	8	1	0	28	363.533234599	32588.6391586	0.0453074433657	14747.7036197	1	0	0	0	37					
2	9	1	0	12	402.312769555	9559.24390244	0.0243902439024	7077.01392617	1	0	0	0	37					
2	10	1	0	0	NaN	0	0	0	1	0	0	0	37					
2	11	1	0	141	366.243281823	123113.710963	0.234219269103	72336.1956534	1	0	0	0	37					
2	12	1	0	233	391.152127034	284802.87218	0.437969924812	127371.010616	1	0	0	0	37					
2	13	1	0	3	391.372384142	3210.54227941	0.00551470588235	1894.24529739	1	0	0	0	37					
2	14	1	0	2	361.644136842	803.949450549	0.0043956043956	1014.66709303	1	0	0	0	37					
2	15	1	0	1	396.785856247	646.362637363	0.0018315018315	556.646687697	1	0	0	0	37					
2	16	1	0	0	NaN	0	0	0	1	0	0	0	37					
2	17	1	0	9	376.262702558	5227.27238095	0.0171428571429	4795.11040337	1	0	0	0	37					
2	18	1	0	30	377.259459591	46774.4191344	0.0683371298405	15863.2390459	1	0	0	0	37					
2	19	1	0	0	NaN	0	0	0	1	0	0	0	37					
2	20	1	0	2	367.257367668	6467.93556086	0.00477326968974	1037.39959571	1	0	0	0	37					
2	21	1	0	44	360.344635746	43058.0570265	0.0896130346232	22392.2856266	1	0	0	0	37					
2	22	1	0	0	NaN	0	0	0	1	0	0	0	37					
2	23	1	0	1	443.934170922	429.99185336	0.0020366598778	622.790560472	1	0	0	0	37					
2	24	1	0	2	463.897913075	2315.95095949	0.00426439232409	1287.29575745	1	0	0	0	37					
3	1	1	0	1	370.128361227	383.073529412	0.00245098039216	519.249169435	1	0	0	0	37					
