Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	bdbf65a9-ca9a-47f1-a9ea-98f496d9f710
Plate Name	P103850
Plate Name	231204_152830-V
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	GFP induced - Number of Objects	Ave GFP pos per cell	GFP Total  per well	percentage of induction	GFP induced - Intensity Cytoplasm EGFP Mean - Sum per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	9	451.391822893	4187.02985075	0.0191897654584	6689.62864276	1	0	0	0	37					
1	2	1	0	6	388.192129808	8874.98135593	0.0101694915254	3262.78281989	1	0	0	0	37					
1	3	1	0	9	395.235643149	2499.80487805	0.0168855534709	5323.05640867	1	0	0	0	37					
1	4	1	0	7	395.900203027	4864.75517891	0.0131826741996	3935.3293532	1	0	0	0	37					
1	5	1	0	16	413.820760856	13358.1992188	0.03125	9328.33003048	1	0	0	0	37					
1	6	1	0	3	441.707818065	2028.00185529	0.00556586270872	1838.61041988	1	0	0	0	37					
1	7	1	0	5	404.874642195	2032.96118012	0.00776397515528	2838.79089492	1	0	0	0	37					
1	8	1	0	9	427.684300475	3721.56951424	0.0150753768844	5584.84882509	1	0	0	0	37					
1	9	1	0	15	379.927936127	11403.8931699	0.0262697022767	7944.44547779	1	0	0	0	37					
1	10	1	0	12	397.018347828	7811.41486068	0.0185758513932	7258.42416429	1	0	0	0	37					
1	11	1	0	2	506.277063596	591.875621891	0.00497512437811	1422.76864465	1	0	0	0	37					
1	12	1	0	2	608.689969995	131.481788079	0.00331125827815	1713.40445269	1	0	0	0	37					
1	13	1	0	159	365.324231779	157775.909091	0.294990723562	81860.4510782	1	0	0	0	37					
1	14	1	0	18	365.233180988	15880.5971564	0.0284360189573	9285.26552398	1	0	0	0	37					
1	15	1	0	13	368.858947169	20001.8198925	0.0349462365591	6874.08965642	1	0	0	0	37					
1	16	1	0	4	407.216123868	1303.10036496	0.00729927007299	2574.72673957	1	0	0	0	37					
1	17	1	0	109	362.312816083	102345.117958	0.191901408451	55383.0416023	1	0	0	0	37					
1	18	1	0	11	377.748956314	4654.74137931	0.0210727969349	6340.58272162	1	0	0	0	37					
1	19	1	0	3	463.863495225	3077.67748918	0.00649350649351	1961.93390569	1	0	0	0	37					
1	20	1	0	4	422.384106204	3109.53301887	0.00943396226415	2379.80749707	1	0	0	0	37					
1	21	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	22	1	0	1	4125.28328915	3625.31207289	0.00227790432802	5787.31636364	1	0	0	0	37					
1	23	1	0	2	617.132901597	207.147239264	0.00306748466258	1674.07071429	1	0	0	0	37					
1	24	1	0	176	462.214617823	144337.875451	0.317689530686	117087.158156	1	0	0	0	37					
2	1	1	0	113	395.814913715	143955.603687	0.260368663594	63865.0874396	1	0	0	0	37					
2	2	1	0	0	NaN	0	0	0	1	0	0	0	37					
2	3	1	0	3	368.635782985	2168.29090909	0.00545454545455	1548.0514751	1	0	0	0	37					
2	4	1	0	3	464.325045243	2661.81263158	0.00631578947368	1936.9852978	1	0	0	0	37					
2	5	1	0	5	505.642201535	5383.78884462	0.00996015936255	3188.42718941	1	0	0	0	37					
2	6	1	0	7	1167.23782313	15810.9393939	0.0111642743222	8208.91343314	1	0	0	0	37					
2	7	1	0	1	360.527341324	245.524271845	0.00161812297735	505.78	1	0	0	0	37					
2	8	1	0	4	375.655890778	1602.9344	0.0064	2135.85525686	1	0	0	0	37					
2	9	1	0	47	360.927261092	46499.2937956	0.0857664233577	23959.5138602	1	0	0	0	37					
2	10	1	0	8	368.732036696	6035.05327245	0.0121765601218	4194.76762693	1	0	0	0	37					
2	11	1	0	3	403.549230415	1080.6384	0.0048	1751.52562544	1	0	0	0	37					
2	12	1	0	20	369.990474312	11964.8747628	0.0379506641366	10992.9548382	1	0	0	0	37					
2	13	1	0	2	441.253693089	1209.92255892	0.003367003367	1299.8675535	1	0	0	0	37					
2	14	1	0	18	364.164777899	19410.4421907	0.0365111561866	9428.96328633	1	0	0	0	37					
2	15	1	0	73	365.604695613	91734.7026087	0.126956521739	37689.3556173	1	0	0	0	37					
2	16	1	0	69	365.531187145	62640.8797251	0.118556701031	35609.6255325	1	0	0	0	37					
2	17	1	0	2	369.861863553	750.597197898	0.00350262697023	1048.39919142	1	0	0	0	37					
2	18	1	0	3	473.812421123	1808.74302789	0.00597609561753	2006.33522496	1	0	0	0	37					
2	19	1	0	2	427.672700112	992.135029354	0.00391389432485	1217.45770751	1	0	0	0	37					
2	20	1	0	2	395.56504224	1611.63473054	0.00399201596806	1109.64990482	1	0	0	0	37					
2	21	1	0	7	424.430468343	5886.20582121	0.014553014553	4429.95870132	1	0	0	0	37					
2	22	1	0	1	475.084254107	683.47133758	0.00212314225053	666.49068323	1	0	0	0	37					
2	23	1	0	6	413.518827835	6033.46328671	0.0104895104895	3463.24605995	1	0	0	0	37					
2	24	1	0	1	522.127061091	1214.35371901	0.00165289256198	732.486540379	1	0	0	0	37					
3	1	1	0	6	456.310693406	7637.04514673	0.0135440180587	3875.39584425	1	0	0	0	37					
3	2	1	0	7	503.445126259	4707.27336861	0.0123456790123	4699.3662202	1	0	0	0	37					
3	3	1	0	4	396.607139829	1314.34353741	0.00680272108844	2241.93448372	1	0	0	0	37					
3	4	1	0	4	519.884867158	3123.55778415	0.00382043935053	2818.82202208	1	0	0	0	37					
3	5	1	0	9	382.417684442	7401.32291667	0.01875	4883.84680051	1	0	0	0	37					
3	6	1	0	3	430.271879967	856.508196721	0.00546448087432	2006.70912596	1	0	0	0	37					
3	7	1	0	1	751.446549145	260.6401766	0.00220750551876	1054.19642857	1	0	0	0	37					
3	8	1	0	3	391.681089424	2315.60385439	0.00642398286938	1754.17141822	1	0	0	0	37					
3	9	1	0	19	360.411745002	17173.4577007	0.0412147505423	9791.22110764	1	0	0	0	37					
3	10	1	0	100	364.903666915	117026.615385	0.197238658777	51661.0759446	1	0	0	0	37					
3	11	1	0	5	474.27643385	2186.65762712	0.00847457627119	3464.4590499	1	0	0	0	37					
3	12	1	0	20	362.373784181	26537.1303502	0.0389105058366	11166.0490049	1	0	0	0	37					
3	13	1	0															
3	14	1	0	18	370.285454035	20943.2508651	0.0311418685121	9801.97004886	1	0	0	0	37					
3	15	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	16	1	0	31	458.633361627	55587.3607748	0.0750605326877	20837.186785	1	0	0	0	37					
3	17	1	0	2	361.027907937	2837.32546374	0.00337268128162	1080.16303604	1	0	0	0	37					
3	18	1	0	2	532.189968298	356.856828194	0.00440528634361	1504.86284722	1	0	0	0	37					
3	19	1	0	1	355.959218388	2095.86295503	0.00214132762313	499.371428571	1	0	0	0	37					
3	20	1	0	94	423.884771344	76964.8924949	0.190669371197	59084.7959119	1	0	0	0	37					
3	21	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	22	1	0	29	413.382718776	17305.6220615	0.0524412296564	17234.0125905	1	0	0	0	37					
3	23	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	24	1	0	1	441.572318647	445.209445585	0.00205338809035	619.477142857	1	0	0	0	37					
4	1	1	0	7	386.904973041	3915.80535714	0.0125	3840.89217209	1	0	0	0	37					
4	2	1	0	11	479.190125588	10264.4887984	0.0224032586558	7163.86135789	1	0	0	0	37					
4	3	1	0	1	516.272327915	398.823529412	0.0016339869281	724.272997033	1	0	0	0	37					
4	4	1	0	8	465.336706727	7285.52327747	0.0148975791434	4828.6119523199995	1	0	0	0	37					
4	5	1	0	178	474.933740495	126274.677543	0.341650671785	132071.898331	1	0	0	0	37					
4	6	1	0	5	428.979933483	4682.55576923	0.00961538461538	3370.16585123	1	0	0	0	37					
4	7	1	0	1	512.852065833	127.64874552	0.00179211469534	719.474747475	1	0	0	0	37					
4	8	1	0	9	478.43248664	14080.5536062	0.0175438596491	6181.24057447	1	0	0	0	37					
4	9	1	0	11	358.755703028	16223.2869198	0.0232067510549	5557.66990633	1	0	0	0	37					
4	10	1	0	10	416.362948364	4613.77701544	0.0171526586621	5916.34456498	1	0	0	0	37					
4	11	1	0	78	456.982361635	71332.4874715	0.177676537585	54743.2407896	1	0	0	0	37					
4	12	1	0	0	NaN	0	0	0	1	0	0	0	37					
4	13	1	0	0	NaN	0	0	0	1	0	0	0	37					
4	14	1	0	4	481.396778252	2548.85586924	0.00594353640416	2775.93382581	1	0	0	0	37					
4	15	1	0	2	414.458115814	2484.14411248	0.00351493848858	1116.52162877	1	0	0	0	37					
4	16	1	0	6	389.050265175	3674.02529183	0.011673151751	3461.40024642	1	0	0	0	37					
4	17	1	0	1	388.878832064	346.402654867	0.00221238938053	545.554006969	1	0	0	0	37					
4	18	1	0	8	387.346715313	5934.43125	0.0166666666667	4927.29012977	1	0	0	0	37					
4	19	1	0	4	384.08672373	1865.81582953	0.00608828006088	2143.55442989	1	0	0	0	37					
4	20	1	0	100	402.796523923	54388.4259819	0.151057401813	57142.2957723	1	0	0	0	37					
4	21	1	0	2	412.824296987	1406.68052516	0.00437636761488	1126.6802177	1	0	0	0	37					
4	22	1	0	3	417.59315252	5558.06722689	0.0063025210084	1702.93301186	1	0	0	0	37					
4	23	1	0	0	NaN	0	0	0	1	0	0	0	37					
4	24	1	0	2	386.566750796	593.625806452	0.00430107526882	1239.36389525	1	0	0	0	37					
5	1	1	0	4	393.483843125	1510.82352941	0.00653594771242	2233.53613421	1	0	0	0	37					
5	2	1	0	1	369.316320187	258.610634648	0.00171526586621	518.109965636	1	0	0	0	37					
5	3	1	0	2	365.792820888	836.231263383	0.00428265524625	1026.20707566	1	0	0	0	37					
5	4	1	0	5	364.630204641	2961.5735568	0.00931098696462	2958.79887529	1	0	0	0	37					
5	5	1	0	224	1561.64918531	70968.4709677	0.361290322581	467194.278369	1	0	0	0	37					
5	6	1	0	4	421.405886809	3026.76267281	0.00921658986175	2253.08479032	1	0	0	0	37					
5	7	1	0	2	358.39501809	549.858156028	0.00283687943262	1004.00404122	1	0	0	0	37					
5	8	1	0	8	397.635374669	6374.90709046	0.0195599022005	4548.50031149	1	0	0	0	37					
5	9	1	0	7	362.661949141	3652.03896104	0.012987012987	3561.16772397	1	0	0	0	37					
5	10	1	0	2	429.781251866	1178.99612403	0.00387596899225	1274.91964234	1	0	0	0	37					
5	11	1	0	1	612.11742223	1361.31789474	0.00210526315789	858.733067729	1	0	0	0	37					
5	12	1	0	3	360.577752449	2712.12410072	0.00539568345324	1533.15474696	1	0	0	0	37					
5	13	1	0	2	381.271856013	592.556521739	0.00347826086957	1068.1801028	1	0	0	0	37					
5	14	1	0	1	386.652835414	2682.02083333	0.00347222222222	542.431179775	1	0	0	0	37					
5	15	1	0	12	1202.8300041	15577.3964401	0.0194174757282	27062.499848	1	0	0	0	37					
5	16	1	0	4	374.892543348	1744.81756757	0.00900900900901	2107.84029437	1	0	0	0	37					
5	17	1	0	139	455.181345459	178189.971429	0.397142857143	97973.814184	1	0	0	0	37					
5	18	1	0	6	404.879083195	3665.49714286	0.0114285714286	3765.28466083	1	0	0	0	37					
5	19	1	0	2	419.555930829	747.467391304	0.0036231884058	1366.36292745	1	0	0	0	37					
5	20	1	0	3	409.565398257	6321.49490835	0.0061099796334	1722.81144996	1	0	0	0	37					
5	21	1	0	0	NaN	0	0	0	1	0	0	0	37					
5	22	1	0	3	456.399121558	1720.39782609	0.00652173913043	2103.20230656	1	0	0	0	37					
5	23	1	0	1	361.944202167	468.389795918	0.00204081632653	507.767699115	1	0	0	0	37					
5	24	1	0	2	411.456199558	1194.34989201	0.00431965442765	1171.91621117	1	0	0	0	37					
6	1	1	0	0	NaN	0	0	0	1	0	0	0	37					
6	2	1	0	176	507.345299162	230598.39528	0.519174041298	132307.775062	1	0	0	0	37					
6	3	1	0	2	474.32402406	625.241545894	0.0048309178744	1365.74484053	1	0	0	0	37					
6	4	1	0	1	373.758961343	355.486440678	0.00169491525424	524.3425	1	0	0	0	37					
6	5	1	0	5	518.747695972	3649.27536232	0.0724637681159	3639.39844842	1	0	0	0	37					
6	6	1	0	1	392.300892496	564.89245283	0.00188679245283	550.354779412	1	0	0	0	37					
6	7	1	0	16	360.873743609	9684.73652695	0.0319361277445	8340.51061716	1	0	0	0	37					
6	8	1	0	5	425.833076353	2601.24318658	0.0104821802935	2970.10385947	1	0	0	0	37					
6	9	1	0	2	389.394496735	1304.81325301	0.00602409638554	1081.38614981	1	0	0	0	37					
