Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	028fb8ac-9bb4-4cbf-9d59-036b373cf0d7
Plate Name	P103851
Plate Name	231204_154207-V
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	GFP induced - Number of Objects	Ave GFP pos per cell	GFP Total  per well	percentage of induction	GFP induced - Intensity Cytoplasm EGFP Mean - Sum per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	2	362.333098146	2377.53283302	0.00375234521576	1013.93355273	1	0	0	0	37					
1	2	1	0	2	457.354322688	715.012915129	0.00369003690037	1281.88053253	1	0	0	0	37					
1	3	1	0	2	390.823066835	479.397283531	0.00339558573854	1331.8846282	1	0	0	0	37					
1	4	1	0	19	465.925024661	10877.4781906	0.0306946688207	12415.1885592	1	0	0	0	37					
1	5	1	0	14	445.199752778	7683.94666667	0.0266666666667	9104.6625101	1	0	0	0	37					
1	6	1	0	8	444.04993446	3697.21988528	0.0152963671128	4980.65006078	1	0	0	0	37					
1	7	1	0	14	381.172787555	9170.74319066	0.0272373540856	7881.7396809	1	0	0	0	37					
1	8	1	0	4	464.803002117	2957.76704545	0.00757575757576	2630.72776961	1	0	0	0	37					
1	9	1	0	5	391.993484633	1755.52508361	0.00836120401338	2788.13553715	1	0	0	0	37					
1	10	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	11	1	0	8	407.013983991	3834.33281734	0.0123839009288	4672.44698577	1	0	0	0	37					
1	12	1	0	4	408.821949386	1795.57385399	0.00679117147708	2511.95863323	1	0	0	0	37					
1	13	1	0	2	541.431186015	584.458083832	0.00299401197605	1522.93560663	1	0	0	0	37					
1	14	1	0	22	368.583067707	19554.6024096	0.0441767068273	11855.098759	1	0	0	0	37					
1	15	1	0	4	429.854963864	2268.87190083	0.00826446280992	2567.76594736	1	0	0	0	37					
1	16	1	0	2	366.786191136	1028.30805687	0.00315955766193	1048.43627294	1	0	0	0	37					
1	17	1	0	9	420.91771222	3804.10447761	0.0167910447761	5405.6571557	1	0	0	0	37					
1	18	1	0	8	376.064849295	2751.07636364	0.0145454545455	4585.29037639	1	0	0	0	37					
1	19	1	0	8	380.823112679	3990.95479204	0.0144665461121	4286.51360345	1	0	0	0	37					
1	20	1	0	5	397.729994949	2714.66843972	0.00886524822695	2915.16037144	1	0	0	0	37					
1	21	1	0	4	394.204954656	1996.53289474	0.00657894736842	2212.91415618	1	0	0	0	37					
1	22	1	0	3	388.589439113	2188.12435233	0.00518134715026	1681.18476929	1	0	0	0	37					
1	23	1	0	4	401.139127632	2571.45869947	0.00702987697715	2399.14124986	1	0	0	0	37					
1	24	1	0	201	471.118636398	167966.502752	0.36880733945	140348.31264	1	0	0	0	37					
2	1	1	0	112	438.432095965	79630.181982	0.201801801802	72820.8593197	1	0	0	0	37					
2	2	1	0	5	386.588041253	3996.9968652	0.0156739811912	2742.77888672	1	0	0	0	37					
2	3	1	0	21	388.688250537	8573.29287091	0.0404624277457	11947.3612403	1	0	0	0	37					
2	4	1	0	18	434.45803845	10135.9823009	0.0318584070796	11030.3198518	1	0	0	0	37					
2	5	1	0	15	386.687758392	8800.48247423	0.0309278350515	8265.09409331	1	0	0	0	37					
2	6	1	0	1	788.013270269	262.762312634	0.00214132762313	1105.4954955	1	0	0	0	37					
2	7	1	0	5	386.388513182	5519.16007905	0.0098814229249	2666.39857162	1	0	0	0	37					
2	8	1	0	20	363.413928364	12202.2415094	0.0377358490566	10362.3859034	1	0	0	0	37					
2	9	1	0	4	417.604383653	1152.74884438	0.00616332819723	2439.64643097	1	0	0	0	37					
2	10	1	0	15	392.110009588	9826.27214171	0.024154589372	8332.23647763	1	0	0	0	37					
2	11	1	0	120	361.647666557	93824.8758065	0.193548387097	61059.6869865	1	0	0	0	37					
2	12	1	0	43	361.477694058	68054.3196721	0.117486338798	22436.9271793	1	0	0	0	37					
2	13	1	0	27	359.291983109	43556.5685841	0.0597345132743	13752.9804639	1	0	0	0	37					
2	14	1	0	4	378.45100688	2710.19645733	0.00644122383253	2120.1519536	1	0	0	0	37					
2	15	1	0	26	641.880422107	13350.5	0.0448275862069	43321.5715037	1	0	0	0	37					
2	16	1	0	2	464.394007948	671.028485757	0.00299850074963	1393.54953793	1	0	0	0	37					
2	17	1	0	4	425.435159787	3077.16153846	0.00769230769231	2446.04301748	1	0	0	0	37					
