Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	34d9a39c-1d6c-4ac3-b489-e78d4b597949
Plate Name	P103852
Plate Name	231204_155533-V
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	GFP induced - Number of Objects	Ave GFP pos per cell	GFP Total  per well	percentage of induction	GFP induced - Intensity Cytoplasm EGFP Mean - Sum per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	7	387.926275537	3830.204	0.014	4133.88559566	1	0	0	0	37					
1	2	1	0	16	378.78576827	10400.9081836	0.0319361277445	8695.90273707	1	0	0	0	37					
1	3	1	0	3	615.838223954	2214.73650794	0.0047619047619	2250.97097363	1	0	0	0	37					
1	4	1	0	4	371.864719214	2818.58293839	0.00631911532385	2102.12913978	1	0	0	0	37					
1	5	1	0	6	409.549430505	2690.35122699	0.00920245398773	3660.81655315	1	0	0	0	37					
1	6	1	0	32	390.878700839	15256.2394366	0.0500782472613	17592.7323007	1	0	0	0	37					
1	7	1	0	9	395.080132602	2881.69476373	0.0114942528736	5544.47360069	1	0	0	0	37					
1	8	1	0	8	433.810345261	4094.13713405	0.0123266563945	4916.48760918	1	0	0	0	37					
1	9	1	0	6	381.56232386	2620.44923077	0.00923076923077	3218.71332848	1	0	0	0	37					
1	10	1	0	4	398.57979873	1468.25483871	0.00645161290323	2442.55332983	1	0	0	0	37					
1	11	1	0	4	373.921525072	1492.75433071	0.00629921259843	2094.62178822	1	0	0	0	37					
1	12	1	0	16	432.974469908	5986.94490818	0.0267111853088	11723.037934	1	0	0	0	37					
1	13	1	0	63	360.717904152	53219.1818182	0.0970724191063	31851.0784926	1	0	0	0	37					
1	14	1	0	2	361.989270395	634.33032491	0.00361010830325	1016.43126764	1	0	0	0	37					
1	15	1	0	6	388.520855714	3564.14169381	0.00977198697068	3719.22440979	1	0	0	0	37					
1	16	1	0	5	402.850840069	3124.30965392	0.00910746812386	2794.10739131	1	0	0	0	37					
1	17	1	0	4	377.072583277	2324.54215305	0.00518806744488	2148.26719437	1	0	0	0	37					
1	18	1	0	6	421.782240537	3128.98976608	0.00877192982456	3406.93141845	1	0	0	0	37					
1	19	1	0	6	398.777567756	2019.02702703	0.0108108108108	3937.35933938	1	0	0	0	37					
1	20	1	0	2	413.170808357	686.057377049	0.00327868852459	1289.32924387	1	0	0	0	37					
