Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	8326b858-36a4-4426-8029-f1b320e9a41d
Plate Name	P103853
Plate Name	231204_160855-V
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	GFP induced - Number of Objects	Ave GFP pos per cell	GFP Total  per well	percentage of induction	GFP induced - Intensity Cytoplasm EGFP Mean - Sum per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	5	520.625921171	3963.85860058	0.00728862973761	3106.0236148	1	0	0	0	37					
1	2	1	0	6	388.031834868	2428.70879121	0.010989010989	3303.47333325	1	0	0	0	37					
1	3	1	0	3	423.099854113	1861.3389313	0.00458015267176	1709.24257113	1	0	0	0	37					
1	4	1	0	8	382.193557998	2724.92492918	0.0113314447592	4339.63825966	1	0	0	0	37					
1	5	1	0	6	428.911945409	2094.04270987	0.00883652430044	3910.05472479	1	0	0	0	37					
1	6	1	0	2	404.354001954	817.191956124	0.0036563071298	1233.87186168	1	0	0	0	37					
1	7	1	0	16	369.170650188	6706.83946981	0.0235640648012	8579.40956329	1	0	0	0	37					
1	8	1	0	4	459.219021886	1271.00813008	0.00542005420054	2513.53459749	1	0	0	0	37					
1	9	1	0	16	372.002802887	7633.10597303	0.0308285163776	8514.14563087	1	0	0	0	37					
1	10	1	0	1	606.572604206	574.509981851	0.00181488203267	850.954301075	1	0	0	0	37					
1	11	1	0	3	423.575338127	851.556521739	0.00521739130435	1831.74824872	1	0	0	0	37					
1	12	1	0	2	599.93950309	473.50678733	0.00301659125189	2265.92426384	1	0	0	0	37					
1	13	1	0	17	365.653199049	9333.34867257	0.0300884955752	8826.03394055	1	0	0	0	37					
1	14	1	0	23	426.379773809	19957.4326466	0.0364500792393	13787.6101186	1	0	0	0	37					
1	15	1	0	2	366.445088088	469.124207858	0.00253485424588	1032.24001577	1	0	0	0	37					
1	16	1	0	2	518.183417277	909.110344828	0.00459770114943	1686.92566845	1	0	0	0	37					
1	17	1	0	2	408.178351055	368.17259552	0.00263504611331	1261.7334308	1	0	0	0	37					
1	18	1	0	1	396.451732991	362.146095718	0.00125944584383	556.17794971	1	0	0	0	37					
1	19	1	0	2	415.125249622	1838.94600432	0.00431965442765	1166.38292599	1	0	0	0	37					
1	20	1	0	4	428.909778295	1989.49361702	0.00851063829787	2547.07700324	1	0	0	0	37					
1	21	1	0	15	577.092908793	3909.50394737	0.0197368421053	15684.6169898	1	0	0	0	37					
1	22	1	0	3	404.749112418	4627.78145695	0.00662251655629	1716.57371028	1	0	0	0	37					
1	23	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	24	1	0	137	481.388104531	114117.66108	0.255121042831	101922.330627	1	0	0	0	37					
2	1	1	0	194	443.512574346	164158.773006	0.39672801636	125757.089746	1	0	0	0	37					
2	2	1	0	4	411.61776257	1958.32298137	0.00621118012422	2299.05842747	1	0	0	0	37					
2	3	1	0	4	363.377472498	1253.11489362	0.00567375886525	2049.31562233	1	0	0	0	37					
2	4	1	0	8	415.044380811	3766.87463557	0.0116618075802	4723.2397034	1	0	0	0	37					
2	5	1	0	3	483.786956419	1522.64782609	0.00434782608696	1900.08447687	1	0	0	0	37					
2	6	1	0	5	549.460362052	2336.55223881	0.0067842605156	3866.05871253	1	0	0	0	37					
2	7	1	0	16	543.721947834	29958.2184557	0.030131826742	11689.1205498	1	0	0	0	37					
2	8	1	0	0	NaN	0	0	0	1	0	0	0	37					
