Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	89d7f57c-c2fb-4362-97d4-816eaad17b6e
Plate Name	P103855
Plate Name	231204_163619-V
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	GFP induced - Number of Objects	Ave GFP pos per cell	GFP Total  per well	percentage of induction	GFP induced - Intensity Cytoplasm EGFP Mean - Sum per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	4	408.984965477	1526.45670628	0.00679117147708	2399.48441011	1	0	0	0	37					
1	2	1	0	4	490.818318974	1924.73550725	0.00724637681159	2765.91086756	1	0	0	0	37					
1	3	1	0	14	372.866086067	5859.89612676	0.0246478873239	7497.62518322	1	0	0	0	37					
1	4	1	0	5	450.587259109	1458.93282636	0.0063371356147	3958.72298895	1	0	0	0	37					
1	5	1	0	10	441.476932184	4574.86818981	0.0175746924429	6689.96089964	1	0	0	0	37					
1	6	1	0	14	368.13341105	9902.41300813	0.0227642276423	7696.09632644	1	0	0	0	37					
1	7	1	0	41	1960.33388182	134715.345291	0.0612855007474	82567.0001016	1	0	0	0	37					
1	8	1	0	2	430.334840911	456.526170799	0.00275482093664	1301.22868217	1	0	0	0	37					
1	9	1	0	4	569.089938486	2702.17628205	0.00641025641026	3012.83036798	1	0	0	0	37					
1	10	1	0	3	476.481592366	1662.86042403	0.00530035335689	2173.44714116	1	0	0	0	37					
1	11	1	0	257	368.057592541	191402.662992	0.404724409449	133511.741791	1	0	0	0	37					
1	12	1	0	15	389.005970087	8960.05381944	0.0260416666667	8140.57746527	1	0	0	0	37					
1	13	1	0	110	363.431731187	95399.5431894	0.182724252492	56391.7524873	1	0	0	0	37					
1	14	1	0	13	367.13338105	5571.81088825	0.0186246418338	7125.1431869	1	0	0	0	37					
1	15	1	0	129	367.440821624	125116.763206	0.234972677596	66599.1331578	1	0	0	0	37					
1	16	1	0	39	371.307485875	27297.4536213	0.0495552731893	20914.5170017	1	0	0	0	37					
1	17	1	0	83	365.489770788	86887.1868132	0.152014652015	43102.8587893	1	0	0	0	37					
1	18	1	0	8	379.295867316	2878.98686371	0.0131362889984	4368.15433216	1	0	0	0	37					
1	19	1	0	24	363.433358619	23306.3764045	0.0449438202247	12859.5555364	1	0	0	0	37					
1	20	1	0	5	394.788822699	1292.30516432	0.00782472613459	2949.01340957	1	0	0	0	37					
1	21	1	0	4	379.911098699	2160.77339901	0.00656814449918	2137.65724218	1	0	0	0	37					
1	22	1	0	78	362.710659898	45939.8199697	0.118003025719	39894.3697713	1	0	0	0	37					
1	23	1	0	4	387.005752521	2174.56766257	0.00702987697715	2207.52697804	1	0	0	0	37					
1	24	1	0	162	434.38593344	217731.912037	0.375	102389.906145	1	0	0	0	37					
2	1	1	0	146	460.930775881	133233.212062	0.284046692607	98109.6723961	1	0	0	0	37					
2	2	1	0	1	536.211380265	61.8124031008	0.0015503875969	752.245283019	1	0	0	0	37					
2	3	1	0	4	361.33323323	3119.52977413	0.0082135523614	2040.77770889	1	0	0	0	37					
2	4	1	0	2	690.064231634	948.554755043	0.0028818443804	1944.24865994	1	0	0	0	37					
2	5	1	0	23	420.415988434	14042.5418502	0.0337738619677	14348.9483662	1	0	0	0	37					
2	6	1	0	9	398.898326205	6306.24620061	0.0136778115502	4974.31894893	1	0	0	0	37					
2	7	1	0	1	667.50587052	306.620943953	0.00147492625369	936.436936937	1	0	0	0	37					
2	8	1	0	64	362.497095147	57461.8169014	0.112676056338	32621.8022147	1	0	0	0	37					
2	9	1	0	119	362.845524977	111665.387792	0.213644524237	60647.558476	1	0	0	0	37					
2	10	1	0	1	355.557494333	547.153846154	0.00153846153846	498.807854137	1	0	0	0	37					
2	11	1	0	58	363.611364004	42643.3955556	0.0859259259259	29692.658769	1	0	0	0	37					
2	12	1	0	15	413.888646389	11771.3596154	0.0288461538462	9042.19740253	1	0	0	0	37					
2	13	1	0	302	379.640315571	316069.797535	0.531690140845	160529.085732	1	0	0	0	37					
2	14	1	0	0	NaN	0	0	0	1	0	0	0	37					
2	15	1	0	2	369.219679064	678.262195122	0.0030487804878	1035.69056781	1	0	0	0	37					
2	16	1	0	1	454.442120008	318.256	0.0016	637.532051282	1	0	0	0	37					
2	17	1	0	6	397.60030698	8265.7014652	0.010989010989	4115.4156768	1	0	0	0	37					
2	18	1	0	4	458.985574092	1520.22781065	0.00591715976331	2780.85456829	1	0	0	0	37					
2	19	1	0	0	NaN	0	0	0	1	0	0	0	37					
2	20	1	0	5	432.498277684	5725.57539683	0.00992063492063	2968.12735316	1	0	0	0	37					
2	21	1	0	5	502.257659584	2457.40702479	0.0103305785124	3712.3313874	1	0	0	0	37					
2	22	1	0	3	450.215770261	3393.23930269	0.00475435816165	1846.52317969	1	0	0	0	37					
2	23	1	0	319	385.975724893	341221.950276	0.587476979742	173904.096469	1	0	0	0	37					
2	24	1	0	5	448.828061932	8393.25154639	0.0103092783505	2931.97126164	1	0	0	0	37					
3	1	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	2	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	3	1	0	9	392.38920027	3862.11624204	0.0143312101911	5123.88188224	1	0	0	0	37					
3	4	1	0	11	369.3644608	7551.27399381	0.0170278637771	5692.0277803	1	0	0	0	37					
3	5	1	0	3	429.618441425	2628.27245509	0.00449101796407	1727.04207289	1	0	0	0	37					
3	6	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	7	1	0	3	471.831448813	613.563037249	0.00429799426934	2304.03194826	1	0	0	0	37					
3	8	1	0	198	365.69201055	201461.720165	0.407407407407	102528.963041	1	0	0	0	37					
3	9	1	0	1	389.265322209	314.808403361	0.00168067226891	546.096209913	1	0	0	0	37					
3	10	1	0	236	377.633207751	196935.623913	0.513043478261	128045.109138	1	0	0	0	37					
3	11	1	0	141	363.49841475	103834.731066	0.217928902628	71914.3019536	1	0	0	0	37					
3	12	1	0	66	364.870630785	46799.831307	0.100303951368	34290.040291	1	0	0	0	37					
3	13	1	0	3	556.414931415	2465.28989362	0.00398936170213	2247.24704345	1	0	0	0	37					
3	14	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	15	1	0	241	374.510049123	206233.743472	0.37019969278	126886.718755	1	0	0	0	37					
3	16	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	17	1	0	3	421.562375846	2405.04864865	0.00540540540541	1973.46642935	1	0	0	0	37					
3	18	1	0	1	371.895589317	461.857923497	0.00182149362477	521.728395062	1	0	0	0	37					
3	19	1	0	1	377.939431076	259.55394525	0.00161030595813	530.207236842	1	0	0	0	37					
3	20	1	0	79	442.504064643	83716.2088889	0.175555555556	53132.8049558	1	0	0	0	37					
3	21	1	0	1	494.927468997	273.194602273	0.00142045454545	694.328519856	1	0	0	0	37					
3	22	1	0	5	401.143214732	3260.85855263	0.00822368421053	3192.99003886	1	0	0	0	37					
3	23	1	0	1	389.817909346	260.414965986	0.00170068027211	546.871428571	1	0	0	0	37					
3	24	1	0	21	632.715835166	38101.8880995	0.0373001776199	18711.0948484	1	0	0	0	37					
4	1	1	0	2	403.307892616	1114.07585139	0.0030959752322	1151.80901891	1	0	0	0	37					
4	2	1	0	2	402.739442281	785.862121212	0.0030303030303	1106.88156823	1	0	0	0	37					
4	3	1	0	2	375.241090473	995.142642643	0.003003003003	1055.37359556	1	0	0	0	37					
4	4	1	0	5	477.433084055	1371.19730185	0.00843170320405	3495.06317818	1	0	0	0	37					
4	5	1	0	201	477.77542562	190162.342342	0.452702702703	140775.171057	1	0	0	0	37					
4	6	1	0	167	360.747662426	92164.4457995	0.226287262873	84608.0667106	1	0	0	0	37					
4	7	1	0	5	439.177267497	2169.62706271	0.00825082508251	3802.62740991	1	0	0	0	37					
4	8	1	0	4	484.192741955	4011.07729469	0.00644122383253	2889.65974461	1	0	0	0	37					
4	9	1	0	0	NaN	0	0	0	1	0	0	0	37					
4	10	1	0	2	594.821820952	1817.12663755	0.00291120815138	1674.95035085	1	0	0	0	37					
4	11	1	0	265	473.223347907	372072.84375	0.637019230769	184880.042876	1	0	0	0	37					
4	12	1	0	259	374.390362743	233292.979275	0.447322970639	135474.530456	1	0	0	0	37					
4	13	1	0	2	367.24733446	1288.01851852	0.003367003367	1032.40549553	1	0	0	0	37					
4	14	1	0	2	512.325185928	442.645093946	0.00417536534447	1921.58301158	1	0	0	0	37					
4	15	1	0	8	383.255686937	3919.47770701	0.0127388535032	4486.0714392	1	0	0	0	37					
4	16	1	0	2	416.913463342	665.143533123	0.00315457413249	1178.06162312	1	0	0	0	37					
4	17	1	0	4	355.943269425	3238.45238095	0.00732600732601	2011.63768979	1	0	0	0	37					
4	18	1	0	4	358.844517008	2778.02564103	0.00732600732601	2035.08504722	1	0	0	0	37					
4	19	1	0	165	372.252255959	175947.572695	0.292553191489	86753.6269769	1	0	0	0	37					
4	20	1	0	48	361.583278242	31879.680261	0.0783034257749	24482.7097835	1	0	0	0	37					
4	21	1	0	13	420.244393544	9066.09728507	0.0294117647059	7808.4445811	1	0	0	0	37					
4	22	1	0	5	434.478353528	6952.29338104	0.00894454382826	3153.97242979	1	0	0	0	37					
4	23	1	0	1	521.418271895	208.532293987	0.0022271714922	731.4921875	1	0	0	0	37					
4	24	1	0	5	387.106050399	2098.90806754	0.0093808630394	2752.2268116	1	0	0	0	37					
5	1	1	0	1	639.541923935	1352.79750779	0.00155763239875	897.20661157	1	0	0	0	37					
5	2	1	0	1	511.246433067	128.167870036	0.00180505415162	717.222222222	1	0	0	0	37					
5	3	1	0	2	578.463651352	432.416058394	0.0029197080292	1821.93906748	1	0	0	0	37					
5	4	1	0	5	402.538053644	2113.92166667	0.00833333333333	2833.97652792	1	0	0	0	37					
5	5	1	0	0	NaN	0	0	0	1	0	0	0	37					
5	6	1	0	5	469.048998149	2933.17697842	0.00719424460432	3253.99708273	1	0	0	0	37					
5	7	1	0	4	4219.60277623	12638.9882526	0.00587371512482	38217.7186255	1	0	0	0	37					
5	8	1	0	14	381.536385231	8387.1179402	0.0232558139535	7371.2954623	1	0	0	0	37					
5	9	1	0	2	659.729417867	911.015679443	0.00348432055749	1816.73700225	1	0	0	0	37					
5	10	1	0	19	372.483950546	10590.3169985	0.0290964777948	10162.8746519	1	0	0	0	37					
5	11	1	0	63	359.154964961	53777.5960591	0.103448275862	31999.5807241	1	0	0	0	37					
5	12	1	0	32	360.750039914	36436.3797753	0.0719101123596	16373.8363954	1	0	0	0	37					
5	13	1	0	4	357.092106571	2034.49758454	0.00644122383253	2006.06754912	1	0	0	0	37					
5	14	1	0	0	NaN	0	0	0	1	0	0	0	37					
5	15	1	0	305	380.021613202	273699.134731	0.456586826347	162437.412694	1	0	0	0	37					
5	16	1	0	3	532.337247116	2016.22295806	0.00662251655629	2173.28270478	1	0	0	0	37					
5	17	1	0	202	436.996778962	284897.113111	0.519280205656	133060.832403	1	0	0	0	37					
5	18	1	0	0	NaN	0	0	0	1	0	0	0	37					
5	19	1	0	0	NaN	0	0	0	1	0	0	0	37					
5	20	1	0	1	2735.94063266	308.428571429	0.00178571428571	3838.22222222	1	0	0	0	37					
5	21	1	0	2	374.061821759	763.6692607	0.00389105058366	1051.46947013	1	0	0	0	37					
5	22	1	0	2	376.874599336	650.256704981	0.00383141762452	1057.36096661	1	0	0	0	37					
5	23	1	0	1	390.15061785	270.229802513	0.00179533213645	547.338181818	1	0	0	0	37					
5	24	1	0	1	363.738813437	478.941031941	0.002457002457	510.285340314	1	0	0	0	37					
6	1	1	0	3	483.50671163	2369.17509025	0.00541516245487	2077.66340565	1	0	0	0	37					
6	2	1	0	141	468.579716316	170682.796407	0.422155688623	96115.9542152	1	0	0	0	37					
6	3	1	0	8	654.185145786	10570.4679335	0.0190023752969	6735.89375498	1	0	0	0	37					
6	4	1	0	3	406.874151481	725.204188482	0.00523560209424	2087.726153	1	0	0	0	37					
6	5	1	0	4	396.153503985	1171.97017544	0.00701754385965	2267.9700679	1	0	0	0	37					
6	6	1	0	3	436.104244579	973.687615527	0.00554528650647	2023.17911314	1	0	0	0	37					
6	7	1	0	4	394.16540877	1153.11748252	0.00559440559441	2535.84194657	1	0	0	0	37					
6	8	1	0	5	387.929074586	2994.4122807	0.0109649122807	2890.15120273	1	0	0	0	37					
6	9	1	0	2	387.945599188	730.059701493	0.00373134328358	1124.20282971	1	0	0	0	37					
6	10	1	0	5	397.353822141	3088.75266904	0.00889679715302	2891.5200945	1	0	0	0	37					
6	11	1	0	233	365.815385758	207162.355752	0.412389380531	119829.168968	1	0	0	0	37					
6	12	1	0	235	394.143449635	207961.24633	0.383360522023	130541.811988	1	0	0	0	37					
6	13	1	0	240	371.033046481	225047.797891	0.421792618629	126616.853069	1	0	0	0	37					
6	14	1	0	316	384.287431586	231224.968944	0.490683229814	181218.529769	1	0	0	0	37					
6	15	1	0	1	386.204266222	277.444444444	0.00161030595813	541.801886792	1	0	0	0	37					
6	16	1	0	2	365.360223949	615.829944547	0.00369685767098	1027.64141472	1	0	0	0	37					
6	17	1	0	0	NaN	0	0	0	1	0	0	0	37					
6	18	1	0	3	395.730875727	1894.09803922	0.00588235294118	1746.02112692	1	0	0	0	37					
6	19	1	0	0	NaN	0	0	0	1	0	0	0	37					
6	20	1	0	3	392.920614851	1128.02061856	0.00515463917526	1803.46336184	1	0	0	0	37					
6	21	1	0	8	1252.56765392	22346.3345588	0.0147058823529	12730.3252593	1	0	0	0	37					
6	22	1	0	62	361.249560111	69499.3167331	0.123505976096	31750.6438244	1	0	0	0	37					
