Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	2d4bb395-979f-4d51-88f6-0bb6d8b20295
Plate Name	P103856
Plate Name	231204_164944-V
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	GFP induced - Number of Objects	Ave GFP pos per cell	GFP Total  per well	percentage of induction	GFP induced - Intensity Cytoplasm EGFP Mean - Sum per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	2	369.961477607	610.966535433	0.00393700787402	1229.57236062	1	0	0	0	37					
1	2	1	0	4	555.035696405	1977.09183673	0.00680272108844	3400.54589744	1	0	0	0	37					
1	3	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	4	1	0	6	410.390462692	2188.10674157	0.00842696629213	3585.95895336	1	0	0	0	37					
1	5	1	0	3	367.744880434	3094.5177305	0.00531914893617	1557.79931235	1	0	0	0	37					
1	6	1	0	8	387.14181115	3008.88756388	0.0136286201022	4435.32985279	1	0	0	0	37					
1	7	1	0	13	358.084791688	7915.4829932	0.0221088435374	6544.72991657	1	0	0	0	37					
1	8	1	0	15	366.484072565	10562.3508772	0.0239234449761	7844.27597723	1	0	0	0	37					
1	9	1	0	5	374.875996378	2104.50328947	0.00822368421053	2698.56913964	1	0	0	0	37					
1	10	1	0	68	364.489274234	61155.4863884	0.123411978221	35600.2316922	1	0	0	0	37					
1	11	1	0	4	395.217392854	2450.08796296	0.00925925925926	2419.96281907	1	0	0	0	37					
1	12	1	0	3	408.892430222	909.265957447	0.00531914893617	1747.03188479	1	0	0	0	37					
1	13	1	0	2	441.098662099	927.068773234	0.00371747211896	1346.02740718	1	0	0	0	37					
1	14	1	0	3	430.175043071	2578.22200772	0.00579150579151	1985.05782993	1	0	0	0	37					
1	15	1	0	57	365.356388831	78226.8879493	0.120507399577	29445.8579063	1	0	0	0	37					
1	16	1	0	6	387.435273879	5458.79757785	0.0103806228374	3224.3469462	1	0	0	0	37					
1	17	1	0	115	378.198649392	149752.679856	0.206834532374	61211.8305639	1	0	0	0	37					
1	18	1	0	13	535.87708211	7851.73308958	0.0237659963437	9908.12025159	1	0	0	0	37					
1	19	1	0	6	391.893917719	4104.99696049	0.00911854103343	3165.59491376	1	0	0	0	37					
1	20	1	0	23	365.135931496	9486.17250324	0.029831387808	11844.6764554	1	0	0	0	37					
1	21	1	0	25	416.228924115	12906.976912	0.036075036075	15207.3220706	1	0	0	0	37					
1	22	1	0	2	419.960847647	1292	0.00281690140845	1183.4378601	1	0	0	0	37					
1	23	1	0	2	557.253525387	1261.70086957	0.00347826086957	1528.90668733	1	0	0	0	37					
1	24	1	0	215	466.125639474	173331.785714	0.365646258503	145660.482855	1	0	0	0	37					
2	1	1	0	150	450.032521578	124075.94971	0.290135396518	99707.6373828	1	0	0	0	37					
2	2	1	0	2	379.635394832	676.010291595	0.00343053173242	1065.55733504	1	0	0	0	37					
2	3	1	0	1	568.404290593	389.52685422	0.00255754475703	797.408376963	1	0	0	0	37					
2	4	1	0	0	NaN	0	0	0	1	0	0	0	37					
2	5	1	0	7	381.031937835	6894.32068311	0.0132827324478	3875.70935841	1	0	0	0	37					
2	6	1	0	6	406.778991515	5045.47413793	0.0103448275862	3453.67095021	1	0	0	0	37					
2	7	1	0	1	354.811926403	284.3216	0.0016	497.761904762	1	0	0	0	37					
2	8	1	0	1	376.105812941	614.657986111	0.00173611111111	527.634873323	1	0	0	0	37					
2	9	1	0	10	381.572576235	5832.93684211	0.0175438596491	5413.15077334	1	0	0	0	37					
2	10	1	0	4	370.109296668	1707.23432836	0.00597014925373	2070.67205549	1	0	0	0	37					
2	11	1	0	4	378.980368112	3309.67069486	0.00604229607251	2250.22234706	1	0	0	0	37					
2	12	1	0	196	381.588329384	247320.721839	0.450574712644	104474.350114	1	0	0	0	37					
2	13	1	0	3	403.265081119	1918.67532468	0.00556586270872	1710.21271353	1	0	0	0	37					
2	14	1	0	2	1048.54489815	632.103833866	0.00319488817891	2790.40149114	1	0	0	0	37					
2	15	1	0	68	366.663436794	51043.3124108	0.0970042796006	35320.6798815	1	0	0	0	37					
2	16	1	0	1	375.052080902	537.308285164	0.0019267822736	526.156603774	1	0	0	0	37					
2	17	1	0	2	403.033792758	571.336826347	0.00299401197605	1127.5579687	1	0	0	0	37					
2	18	1	0	98	367.936261129	74879.7910686	0.15629984051	50583.8929474	1	0	0	0	37					
2	19	1	0	2	483.810039403	948.656765677	0.003300330033	1383.02680741	1	0	0	0	37					
2	20	1	0	77	364.730215094	61177.1444921	0.110157367668	39516.9099619	1	0	0	0	37					
2	21	1	0	2	354.881613824	1496.88704319	0.00332225913621	994.955236273	1	0	0	0	37					
2	22	1	0	1	408.018396454	364.77703827	0.00166389351082	572.404699739	1	0	0	0	37					
2	23	1	0	1	468.439830373	289.291161179	0.00173310225303	657.169291339	1	0	0	0	37					
2	24	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	1	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	2	1	0	1	369.072562108	342.439153439	0.00176366843034	517.768	1	0	0	0	37					
3	3	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	4	1	0	6	388.955439405	2692.512	0.0096	3266.74318043	1	0	0	0	37					
