Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	75a837fc-89c2-4c04-a4e5-eba9f3eee178
Plate Name	P103857
Plate Name	231204_170317-V
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	GFP induced - Number of Objects	Ave GFP pos per cell	GFP Total  per well	percentage of induction	GFP induced - Intensity Cytoplasm EGFP Mean - Sum per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	6	380.274290327	2270.25553663	0.0102214650767	3328.66107212	1	0	0	0	37					
1	2	1	0	5	406.900528386	1762.00385356	0.00963391136802	3043.09269609	1	0	0	0	37					
1	3	1	0	5	372.776293673	2483.27160494	0.00771604938272	2912.98097547	1	0	0	0	37					
1	4	1	0	17	381.466536087	10613.1084991	0.0307414104882	9161.25307561	1	0	0	0	37					
1	5	1	0	57	372.850548231	35424.5693161	0.105360443623	29979.8770841	1	0	0	0	37					
1	6	1	0	87	367.140052319	50077.5779221	0.141233766234	44921.5672391	1	0	0	0	37					
1	7	1	0	12	589.352863464	6882.34364821	0.0195439739414	9458.03847814	1	0	0	0	37					
1	8	1	0	13	379.128113539	6205.49273021	0.0210016155089	7164.23566012	1	0	0	0	37					
1	9	1	0	169	364.533211613	127388.306306	0.304504504505	86844.084054	1	0	0	0	37					
1	10	1	0	8	393.726938147	5074.7027027	0.0144144144144	4447.8411967	1	0	0	0	37					
1	11	1	0	5	360.577665543	1899.78617363	0.008038585209	2538.86110667	1	0	0	0	37					
1	12	1	0	73	359.619001077	86587.3085339	0.159737417943	37085.0548874	1	0	0	0	37					
1	13	1	0	2	552.609477167	296.746411483	0.00318979266348	1555.1	1	0	0	0	37					
1	14	1	0	43	363.624677587	40283.0750916	0.0787545787546	22345.7299667	1	0	0	0	37					
1	15	1	0	61	366.481602631	44225.2034483	0.105172413793	32023.905654	1	0	0	0	37					
1	16	1	0	5	395.325495375	3064.98013245	0.00827814569536	2894.55438504	1	0	0	0	37					
1	17	1	0	3	457.362568734	1026.82482993	0.00510204081633	1939.15927863	1	0	0	0	37					
1	18	1	0	95	746.620370198	642755.525424	0.805084745763	113343.460758	1	0	0	0	37					
1	19	1	0	148	489.630645803	112957.011628	0.24584717608	167948.407572	1	0	0	0	37					
