Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	318c4a1f-4cb3-4c2b-9fc2-0e8fbba3a458
Plate Name	P103858
Plate Name	231204_171638-V
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	GFP induced - Number of Objects	Ave GFP pos per cell	GFP Total  per well	percentage of induction	GFP induced - Intensity Cytoplasm EGFP Mean - Sum per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	8	427.834566897	3049.62711864	0.015065913371	5031.52925504	1	0	0	0	37					
1	2	1	0	7	369.895385392	3460.72661871	0.0125899280576	3624.60794154	1	0	0	0	37					
1	3	1	0	29	377.740635449	17492.5973783	0.0543071161049	16009.2137309	1	0	0	0	37					
1	4	1	0	7	408.113992629	3150.09198423	0.00919842312746	3961.67949737	1	0	0	0	37					
1	5	1	0	4	415.294050056	2015.05460218	0.00624024960998	2281.9847512	1	0	0	0	37					
1	6	1	0	8	434.427973115	2955.69602763	0.013816925734	4922.86428386	1	0	0	0	37					
1	7	1	0	20	391.411529471	7464.04574132	0.0315457413249	11587.9786983	1	0	0	0	37					
1	8	1	0	6	393.982513992	2782.34711965	0.00886262924668	3484.04362939	1	0	0	0	37					
1	9	1	0	21	391.640587813	11208.7011494	0.0344827586207	11968.7655769	1	0	0	0	37					
1	10	1	0	7	382.746165569	4022.78137652	0.0141700404858	4124.54016292	1	0	0	0	37					
1	11	1	0	77	364.719561352	71641.5126214	0.149514563107	39979.6243222	1	0	0	0	37					
1	12	1	0	81	366.034971204	52952.329771	0.123664122137	42525.404386	1	0	0	0	37					
1	13	1	0	275	380.340458802	280727.238754	0.475778546713	146753.096391	1	0	0	0	37					
1	14	1	0	1	428.262535523	436.499176277	0.00164744645799	600.804988662	1	0	0	0	37					
1	15	1	0	79	365.774533071	59548.1961078	0.118263473054	40795.8541785	1	0	0	0	37					
1	16	1	0	1	485.601966985	562.543939394	0.00151515151515	681.24587156	1	0	0	0	37					
1	17	1	0	126	366.503192186	120117.932231	0.20826446281	65005.2721156	1	0	0	0	37					
1	18	1	0	67	362.951986271	63724.6944444	0.103395061728	34262.4364803	1	0	0	0	37					
