Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	54145cf4-4114-4d15-8c03-e9ee2f6ff03c
Plate Name	P103859
Plate Name	231204_172959-V
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	GFP induced - Number of Objects	Ave GFP pos per cell	GFP Total  per well	percentage of induction	GFP induced - Intensity Cytoplasm EGFP Mean - Sum per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	5	375.415311115	4225.78014184	0.0118203309693	2626.87673603	1	0	0	0	37					
1	2	1	0	2	430.019786116	844.91160221	0.00276243093923	1184.13213878	1	0	0	0	37					
1	3	1	0	16	381.525493353	8221.1914242	0.0245022970904	8442.6674768	1	0	0	0	37					
1	4	1	0	3	397.176849421	1281.45867099	0.00486223662885	1939.04037421	1	0	0	0	37					
1	5	1	0	4	392.732355483	974.357963875	0.00656814449918	2321.41209811	1	0	0	0	37					
1	6	1	0	21	378.090093795	7264.61898212	0.0288858321871	11792.308113	1	0	0	0	37					
1	7	1	0	6	391.636490857	1967.88807069	0.00883652430044	3417.6468463	1	0	0	0	37					
1	8	1	0	1	396.43070774	376.720670391	0.00139664804469	556.148453608	1	0	0	0	37					
1	9	1	0	69	365.557975913	46231.1282468	0.112012987013	35711.8409425	1	0	0	0	37					
1	10	1	0	9	382.20180751	4889.00460123	0.0138036809816	5164.3345592	1	0	0	0	37					
1	11	1	0	110	365.447956811	96380.864818	0.190641247834	56578.1930962	1	0	0	0	37					
1	12	1	0	138	369.494360117	97580.6118936	0.215962441315	72786.9585842	1	0	0	0	37					
1	13	1	0	5	358.375453014	2207.77717391	0.00679347826087	2522.97048504	1	0	0	0	37					
1	14	1	0	113	366.268448904	115877.182657	0.208487084871	58310.7646514	1	0	0	0	37					
1	15	1	0	3	412.588876893	1122.01367521	0.00512820512821	1893.67499873	1	0	0	0	37					
1	16	1	0	20	363.034473199	9491.58082976	0.0286123032904	10463.6593621	1	0	0	0	37					
1	17	1	0	2	413.129015271	593.140442133	0.00260078023407	1216.42264205	1	0	0	0	37					
1	18	1	0	24	376.66651088	14680.0147059	0.0352941176471	13383.317882	1	0	0	0	37					
1	19	1	0	2	425.745615849	434.623511905	0.00297619047619	1269.83005378	1	0	0	0	37					
1	20	1	0	5	403.611090051	4167.96779661	0.00847457627119	2790.570178	1	0	0	0	37					
1	21	1	0	4	396.016662871	1832.46229508	0.00655737704918	2188.50775851	1	0	0	0	37					
