Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	5dcb4714-e9e6-4f5a-9712-a2eaa3e27326
Plate Name	P103860
Plate Name	231204_174325-V
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	GFP induced - Number of Objects	Ave GFP pos per cell	GFP Total  per well	percentage of induction	GFP induced - Intensity Cytoplasm EGFP Mean - Sum per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	6	398.264308021	2918.83448276	0.0103448275862	3455.92594082	1	0	0	0	37					
1	2	1	0	1	414.063024017	3094.99011858	0.00197628458498	580.884643917	1	0	0	0	37					
1	3	1	0	11	372.066455962	8181.85	0.0183333333333	5816.39340102	1	0	0	0	37					
1	4	1	0	9	437.673493573	2209.8037225	0.0152284263959	5985.19036414	1	0	0	0	37					
1	5	1	0	9	455.021980247	3329.74831081	0.0152027027027	5831.59631951	1	0	0	0	37					
1	6	1	0	6	453.352341122	1731.85714286	0.00874635568513	3858.84603317	1	0	0	0	37					
1	7	1	0	3	382.93133195	1553.85714286	0.00481540930979	1623.05451905	1	0	0	0	37					
1	8	1	0	307	371.216502622	190080.386544	0.405013192612	159548.752333	1	0	0	0	37					
1	9	1	0	7	364.706978348	1911.62621359	0.0113268608414	4122.77792299	1	0	0	0	37					
1	10	1	0	12	394.676529225	7237.55963303	0.0220183486239	6733.65101372	1	0	0	0	37					
1	11	1	0	5	442.313680789	1616.12313433	0.00932835820896	3293.24393759	1	0	0	0	37					
1	12	1	0	281	366.585776246	226801.345219	0.455429497569	144143.152971	1	0	0	0	37					
1	13	1	0	26	365.020472365	25502.2528548	0.0424143556281	13641.1862767	1	0	0	0	37					
1	14	1	0	7	409.090048933	2755.40196078	0.00980392156863	4307.02937649	1	0	0	0	37					
1	15	1	0	73	360.947997948	53022.9486448	0.104136947218	37312.4783133	1	0	0	0	37					
1	16	1	0	157	366.007709897	163929.422101	0.284420289855	80823.6998987	1	0	0	0	37					
1	17	1	0	98	367.000627689	90646.2469352	0.171628721541	50900.2647672	1	0	0	0	37					
1	18	1	0	27	364.461425693	18382.0889894	0.0407239819005	14057.7898203	1	0	0	0	37					
1	19	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	20	1	0	1	373.207204019	341.906060606	0.00151515151515	523.568445476	1	0	0	0	37					
1	21	1	0	5	358.053645762	4115.57534247	0.0076103500761	2519.49565375	1	0	0	0	37					
1	22	1	0	69	360.650051422	38131.658466	0.0998552821997	34960.334858	1	0	0	0	37					
1	23	1	0	56	360.37224155	68374.7191781	0.0958904109589	28340.500237	1	0	0	0	37					
1	24	1	0	188	442.421085884	144611.536946	0.308702791461	125646.468292	1	0	0	0	37					
2	1	1	0	114	456.314892627	97201.5433715	0.186579378069	79232.2321449	1	0	0	0	37					
2	2	1	0	3	384.926600984	1014.91897233	0.00592885375494	1751.29847086	1	0	0	0	37					
2	3	1	0	2	390.270653773	688.915562914	0.00331125827815	1090.13040939	1	0	0	0	37					
2	4	1	0	2	418.974092508	801.407692308	0.00384615384615	1347.35134096	1	0	0	0	37					
2	5	1	0	2	560.891179506	722.907372401	0.00378071833648	1577.25878746	1	0	0	0	37					
2	6	1	0	7	460.392184078	6557.15059222	0.0118443316413	4338.55064916	1	0	0	0	37					
2	7	1	0	32	363.973360003	23488.2616279	0.046511627907	16337.6315478	1	0	0	0	37					
2	8	1	0	3	429.492185419	1575.77844311	0.00449101796407	1783.70376164	1	0	0	0	37					
2	9	1	0	9	366.56826187	3538.35833333	0.0125	4709.87871081	1	0	0	0	37					
2	10	1	0	4	375.328017288	2453.76252723	0.00871459694989	2237.30902902	1	0	0	0	37					
2	11	1	0	0	NaN	0	0	0	1	0	0	0	37					
2	12	1	0	1	366.735810552	1786.91570881	0.00191570881226	514.489795918	1	0	0	0	37					
2	13	1	0	5	371.651835804	5471.08166667	0.00833333333333	3060.4208211	1	0	0	0	37					
2	14	1	0	5	370.697152295	1974.42966361	0.00764525993884	2884.69249229	1	0	0	0	37					
2	15	1	0	6	417.096780267	2550.11229135	0.00910470409712	3628.67017512	1	0	0	0	37					
2	16	1	0	1	358.118919175	586.745985401	0.0014598540146	502.40125	1	0	0	0	37					
2	17	1	0	0	NaN	0	0	0	1	0	0	0	37					
2	18	1	0	1	366.439641445	803.448387097	0.00161290322581	514.074303406	1	0	0	0	37					
2	19	1	0	3	449.304575647	2983.94070513	0.00480769230769	2047.60501761	1	0	0	0	37					
2	20	1	0	3	423.690398802	2247.26126126	0.0045045045045	1944.6905072	1	0	0	0	37					
2	21	1	0	1	381.957377628	628.569051581	0.00166389351082	535.843971631	1	0	0	0	37					
2	22	1	0	3	365.093704434	3708.87777778	0.0047619047619	1543.52401279	1	0	0	0	37					
2	23	1	0	2	402.294369159	616.180806676	0.00278164116829	1122.18863562	1	0	0	0	37					
2	24	1	0	4	382.500241803	1533.8101983	0.0056657223796	2202.37621621	1	0	0	0	37					
3	1	1	0	2	391.40231753	615.491362764	0.00383877159309	1098.51548205	1	0	0	0	37					
3	2	1	0	3	416.931643573	931.383757962	0.00477707006369	1975.84215507	1	0	0	0	37					
3	3	1	0	3	519.469900177	1281.36740331	0.00414364640884	2330.15580895	1	0	0	0	37					
3	4	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	5	1	0	1	380.242413428	292.331125828	0.00165562913907	533.438066465	1	0	0	0	37					
3	6	1	0	3	402.02275543	1726.70216306	0.00499168053245	1714.16953965	1	0	0	0	37					
3	7	1	0	9	501.627798912	3117.14993647	0.0114358322745	6150.68649498	1	0	0	0	37					
3	8	1	0	4	482.90623707	846.02992126	0.00629921259843	2896.49310983	1	0	0	0	37					
3	9	1	0	12	371.338169135	4651.69072165	0.0176730486009	6585.98157617	1	0	0	0	37					
3	10	1	0	106	360.291123681	99791.4297521	0.17520661157	54222.1271554	1	0	0	0	37					
3	11	1	0	103	365.662759571	84403.8325581	0.159689922481	53250.0234173	1	0	0	0	37					
3	12	1	0	1	373.419445767	1081.58481422	0.0016155088853	523.866197183	1	0	0	0	37					
3	13	1	0	2	682.123750223	334.786786787	0.003003003003	1912.44002358	1	0	0	0	37					
3	14	1	0	2	371.216287586	1424.5426009	0.00298953662182	1562.28758003	1	0	0	0	37					
3	15	1	0	2	549.576120183	397.442253521	0.00281690140845	1552.84471789	1	0	0	0	37					
3	16	1	0	6	356.279357722	4815.61111111	0.010101010101	3007.06782929	1	0	0	0	37					
3	17	1	0	18	391.508778289	37237.9823009	0.0398230088496	10094.6417659	1	0	0	0	37					
3	18	1	0	3	432.35776082	1729.615625	0.0046875	1903.95710309	1	0	0	0	37					
3	19	1	0	2	391.819598726	426.527322404	0.00273224043716	1309.76659905	1	0	0	0	37					
3	20	1	0	71	424.311602777	72276.950096	0.136276391555	45007.4621794	1	0	0	0	37					
3	21	1	0	7	536.089643381	6139.47655068	0.0105900151286	5362.05329191	1	0	0	0	37					
3	22	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	23	1	0	4	397.754211558	2252.25523013	0.00557880055788	2393.25424612	1	0	0	0	37					
3	24	1	0	3	414.445878404	1066.2326284	0.00453172205438	1746.22409028	1	0	0	0	37					
4	1	1	0	2	398.989545368	533.660565724	0.00332778702163	1138.58173434	1	0	0	0	37					
4	2	1	0	1	551.876083822	403.467349552	0.00128040973111	774.221130221	1	0	0	0	37					
4	3	1	0	1	511.367741871	171.220543807	0.00151057401813	717.392405063	1	0	0	0	37					
4	4	1	0	1	431.684296673	280.727647868	0.00137551581843	605.605341246	1	0	0	0	37					
4	5	1	0	196	437.854134164	167281.01766	0.432671081678	122529.257842	1	0	0	0	37					
4	6	1	0	15	407.755566733	6946.53785489	0.0236593059937	8337.45985799	1	0	0	0	37					
4	7	1	0	9	366.38750369	4750.37825421	0.0137825421133	4875.70794321	1	0	0	0	37					
4	8	1	0	5	446.360543012	1643.76054217	0.00753012048193	3138.22305221	1	0	0	0	37					
4	9	1	0	61	360.331346013	45256.4876033	0.100826446281	30873.2273395	1	0	0	0	37					
4	10	1	0	5	390.728279645	9401.07831325	0.0301204819277	3045.97780827	1	0	0	0	37					
4	11	1	0	289	475.340015324	343038.36	0.68	196651.029555	1	0	0	0	37					
4	12	1	0	0	NaN	0	0	0	1	0	0	0	37					
4	13	1	0	0	NaN	0	0	0	1	0	0	0	37					
