Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	82179f06-369b-47e3-b8a3-48757ad9333c
Plate Name	P103801
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	GFP induced - Number of Objects	Ave GFP pos per cell	GFP Total  per well	percentage of induction	GFP induced - Intensity Cytoplasm EGFP Mean - Sum per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	4	702.014504692	3813.27495292	0.0075329566855	3042.7035777	1	0	0	-1	37					
1	2	1	0	1	354.986515323	389.012455516	0.0017793594306	498.006833713	1	0	0	-1	37					
1	3	1	0	2	404.203038185	660.603473227	0.00289435600579	1122.28512283	1	0	0	-1	37					
1	4	1	0	4	626.183373446	2196.80819912	0.00585651537335	5957.87040079	1	0	0	-1	37					
1	5	1	0	3	393.811278659	918.876854599	0.00445103857567	2055.68354106	1	0	0	-1	37					
1	6	1	0	3	394.328097419	1185.27148438	0.005859375	1673.4345025	1	0	0	-1	37					
1	7	1	0	0	NaN	0	0	0	1	0	0	-1	37					
1	8	1	0	7	399.05476166	3001.44690265	0.0103244837758	3912.67832624	1	0	0	-1	37					
1	9	1	0	1	850.610924873	411.885483871	0.00161290322581	1193.31308411	1	0	0	-1	37					
1	10	1	0	2	395.247573221	878.405755396	0.00287769784173	1092.53578085	1	0	0	-1	37					
1	11	1	0	3	379.431949564	1416.78114478	0.00505050505051	1601.33393405	1	0	0	-1	37					
1	12	1	0	9	425.176034591	2855.31508876	0.0133136094675	6444.98343945	1	0	0	-1	37					
1	13	1	0	3	375.4685019	2105.38138138	0.0045045045045	1580.79219403	1	0	0	-1	37					
1	14	1	0	3	509.789569533	1105.86569873	0.005444646098	2191.60344203	1	0	0	-1	37					
1	15	1	0	2	371.511768655	570.724517906	0.00275482093664	1046.05521595	1	0	0	-1	37					
1	16	1	0	4	501.146764716	1544.62251656	0.00662251655629	3788.36679671	1	0	0	-1	37					
1	17	1	0	5	377.084897743	1614.90359897	0.00642673521851	2647.397236	1	0	0	-1	37					
1	18	1	0	4	364.630481276	1016.12228261	0.0054347826087	2258.58626358	1	0	0	-1	37					
1	19	1	0	6	379.344359732	2634.85168196	0.00917431192661	3368.49010893	1	0	0	0	37					
1	20	1	0	3	379.268986457	1715.97938144	0.00515463917526	1609.03665037	1	0	0	0	37					
1	21	1	0	6	387.877459635	2147.80189959	0.00814111261872	3689.71293898	1	0	0	0	37					
1	22	1	0	2	478.944444299	438.333843798	0.00306278713629	1386.15138361	1	0	0	0	37					
1	23	1	0	3	475.577796055	1264.81069959	0.00411522633745	2107.36495059	1	0	0	0	37					
1	24	1	0	210	488.686119067	131690.831547	0.321592649311	157781.562707	1	0	0	0	37					
2	1	1	0	131	476.673004868	104807.969008	0.270661157025	95227.5983457	1	0	0	-1	37					
2	2	1	0	2	356.287907776	451.346647646	0.00285306704708	1000.13192192	1	0	0	-1	37					
2	3	1	0	2	376.495810005	817.881818182	0.0030303030303	1061.2321136	1	0	0	-1	37					
2	4	1	0	4	390.509012829	2336.1954023	0.00656814449918	2447.01054338	1	0	0	-1	37					
2	5	1	0	1	527.435243434	121.52189781	0.00182481751825	739.933333333	1	0	0	-1	37					
2	6	1	0	2	448.291610691	623.141361257	0.00261780104712	1360.99025924	1	0	0	-1	37					
2	7	1	0	5	505.514637733	1883.66214178	0.00754147812971	3881.43788219	1	0	0	-1	37					
2	8	1	0	2	382.276237391	755.774718398	0.00250312891114	1096.06532574	1	0	0	-1	37					
2	9	1	0	7	387.014824625	3914.64332248	0.0114006514658	3912.32078998	1	0	0	-1	37					
2	10	1	0	1	362.540700106	287.154704944	0.00159489633174	508.604519774	1	0	0	-1	37					
2	11	1	0	0	NaN	0	0	0	1	0	0	-1	37					
2	12	1	0	0	NaN	0	0	0	1	0	0	-1	37					
2	13	1	0	1	417.039465705	1653.55986509	0.00168634064081	585.06026253	1	0	0	-1	37					
2	14	1	0	2	448.507874861	1822.47138965	0.00272479564033	1318.10398133	1	0	0	-1	37					
2	15	1	0	0	NaN	0	0	0	1	0	0	-1	37					
2	16	1	0	0	NaN	0	0	0	1	0	0	-1	37					
2	17	1	0	2	360.399716825	667.955752212	0.00252844500632	1011.91988199	1	0	0	-1	37					
2	18	1	0	3	403.550885364	819.773700306	0.0045871559633	1792.39074051	1	0	0	-1	37					
2	19	1	0	1	626.353382068	62.4604200323	0.0016155088853	878.704545455	1	0	0	0	37					
2	20	1	0	4	608.07850913	1079.27955272	0.00638977635783	3582.74707592	1	0	0	0	37					
2	21	1	0	1	827.331283448	142.443939394	0.00151515151515	1160.65432099	1	0	0	0	37					
2	22	1	0	3	377.621583222	994.71143617	0.00398936170213	1590.93789762	1	0	0	0	37					
2	23	1	0	3	364.315237824	1279.86811352	0.00500834724541	1543.94442447	1	0	0	0	37					
2	24	1	0	1	432.989874845	309.916797488	0.00156985871272	607.436923077	1	0	0	0	37					
3	1	1	0	3	401.430446584	598.617862372	0.00439238653001	1884.91977115	1	0	0	-1	37					
3	2	1	0	4	368.872865679	1750.4857997	0.00597907324365	2074.20715916	1	0	0	-1	37					
3	3	1	0	3	515.791016374	1320.36776213	0.00469483568075	2170.81719908	1	0	0	-1	37					
3	4	1	0	1	474.306277027	252.648122392	0.00139082058414	665.399267399	1	0	0	-1	37					
3	5	1	0	2	394.996502439	562.82875817	0.00261437908497	1155.7633892	1	0	0	-1	37					
3	6	1	0	3	402.873728244	1134.02096774	0.00483870967742	1769.07326364	1	0	0	-1	37					
3	7	1	0	2	376.302399709	461.423173804	0.00251889168766	1055.32306695	1	0	0	-1	37					
3	8	1	0	3	393.152552215	1045.87067669	0.00451127819549	1710.04578399	1	0	0	-1	37					
3	9	1	0	1	354.589528778	351.806149733	0.00133689839572	497.449905482	1	0	0	-1	37					
3	10	1	0	4	380.806061329	1299.28641571	0.00654664484452	2231.47564161	1	0	0	-1	37					
3	11	1	0	4	380.234028067	1482.55724138	0.00551724137931	2142.89035756	1	0	0	-1	37					
3	12	1	0	0	NaN	0	0	0	1	0	0	-1	37					
3	13	1	0	1	566.881399995	142.773228346	0.00157480314961	795.271929825	1	0	0	-1	37					
3	14	1	0	4	437.886462802	1360.12356322	0.00574712643678	2618.25106421	1	0	0	-1	37					
3	15	1	0	1	353.057344379	755.650641026	0.00160256410256	495.300420168	1	0	0	-1	37					
3	16	1	0	1	439.096481305	240.885074627	0.00149253731343	616.003816794	1	0	0	-1	37					
3	17	1	0	0	NaN	0	0	0	1	0	0	-1	37					
3	18	1	0	6	509.138867871	3238.92952612	0.00729040097205	4240.31988321	1	0	0	-1	37					
3	19	1	0	1	560.985048088	53.6307448494	0.00158478605388	787	1	0	0	0	37					
3	20	1	0	68	420.049663333	43949.1614173	0.133858267717	41088.6397863	1	0	0	0	37					
3	21	1	0	1	364.479953156	224.704761905	0.00136054421769	511.325077399	1	0	0	0	37					
3	22	1	0	1	449.029724068	375.260726073	0.0016501650165	629.939058172	1	0	0	0	37					
3	23	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	24	1	0	0	NaN	0	0	0	1	0	0	0	37					
4	1	1	0	2	382.934259475	964.28057554	0.00239808153477	1076.43437769	1	0	0	-1	37					
4	2	1	0	2	393.259979526	688.68707483	0.00340136054422	1095.87698326	1	0	0	-1	37					
4	3	1	0	0	NaN	0	0	0	1	0	0	-1	37					
4	4	1	0	0	NaN	0	0	0	1	0	0	-1	37					
4	5	1	0	175	485.021248664	178356.189448	0.419664268585	124331.674393	1	0	0	-1	37					
4	6	1	0	1	557.353088256	20.3469640644	0.00123915737299	781.904761905	1	0	0	-1	37					
4	7	1	0	3	378.135589417	752.729426434	0.00374064837905	1609.68714915	1	0	0	-1	37					
4	8	1	0	2	414.433692746	585.489461358	0.00234192037471	1269.23410853	1	0	0	-1	37					
4	9	1	0	3	442.255169692	991.770149254	0.0044776119403	1828.06791329	1	0	0	-1	37					
4	10	1	0	2	530.13764792	636.664624809	0.00306278713629	1628.05702678	1	0	0	-1	37					
4	11	1	0	152	508.809457669	176589.286932	0.431818181818	112962.720981	1	0	0	-1	37					
4	12	1	0	3	439.865173678	724.826719577	0.00396825396825	1905.78788338	1	0	0	-1	37					
4	13	1	0	2	405.185020999	641.445378151	0.00240096038415	1136.94022872	1	0	0	-1	37					
4	14	1	0	2	388.468447894	832.533965245	0.00315955766193	1090.84537031	1	0	0	-1	37					
4	15	1	0	4	371.032006988	1424.24590164	0.00596125186289	2083.01133771	1	0	0	-1	37					
4	16	1	0	1	389.676157477	263.991452991	0.0014245014245	546.672566372	1	0	0	-1	37					
4	17	1	0	1	451.276949262	268.923893805	0.00176991150442	633.091666667	1	0	0	-1	37					
4	18	1	0	3	376.19395735	796.8665786	0.00396301188904	1584.72998882	1	0	0	-1	37					
4	19	1	0	3	515.315836575	1223.78540305	0.00326797385621	2098.98204832	1	0	0	0	37					
4	20	1	0	5	426.8062739	2511.90322581	0.00806451612903	3142.48720049	1	0	0	0	37					
4	21	1	0	1	387.524557575	214.233468286	0.00134952766532	543.654109589	1	0	0	0	37					
4	22	1	0	1	389.128953104	283.576347305	0.00149700598802	545.904899135	1	0	0	0	37					
4	23	1	0	0	NaN	0	0	0	1	0	0	0	37					
4	24	1	0	3	379.549685705	1083.38767651	0.00385109114249	1813.61149717	1	0	0	0	37					
5	1	1	0	0	NaN	0	0	0	1	0	0	-1	37					
5	2	1	0	1	399.48313991	278.571847507	0.00146627565982	560.430678466	1	0	0	-1	37					
5	3	1	0	0	NaN	0	0	0	1	0	0	-1	37					
5	4	1	0	3	537.58988066	1149.22539683	0.0047619047619	2235.44558359	1	0	0	-1	37					
5	5	1	0	0	NaN	0	0	0	1	0	0	-1	37					
5	6	1	0	1	363.445494414	239.810419682	0.00144717800289	509.873846154	1	0	0	-1	37					
5	7	1	0	4	517.946923293	1492.15195369	0.00578871201158	2819.13411475	1	0	0	-1	37					
5	8	1	0	0	NaN	0	0	0	1	0	0	-1	37					
5	9	1	0	1	362.332906366	520.298196949	0.00138696255201	508.31300813	1	0	0	-1	37					
5	10	1	0	3	431.378809438	1167.84949833	0.00501672240803	1797.39214296	1	0	0	-1	37					
5	11	1	0	1	356.174031758	475.085714286	0.0015873015873	499.67278798	1	0	0	-1	37					
5	12	1	0	0	NaN	0	0	0	1	0	0	-1	37					
5	13	1	0	1	565.078640198	491.805022157	0.00147710487445	792.742857143	1	0	0	-1	37					
5	14	1	0	0	NaN	0	0	0	1	0	0	-1	37					
5	15	1	0	2	359.303693916	792.936877076	0.00332225913621	1007.29443803	1	0	0	-1	37					
5	16	1	0	0	NaN	0	0	0	1	0	0	-1	37					
5	17	1	0	160	494.895344801	165898.141026	0.410256410256	119844.908233	1	0	0	-1	37					
5	18	1	0	2	507.276063545	680.350582147	0.0025873221216	1422.33868864	1	0	0	-1	37					
5	19	1	0	3	636.333359879	1630.20685279	0.00380710659898	2326.81727064	1	0	0	0	37					
5	20	1	0	0	NaN	0	0	0	1	0	0	0	37					
5	21	1	0	0	NaN	0	0	0	1	0	0	0	37					
5	22	1	0	4	480.986186334	2217.24137931	0.00574712643678	5390.52192617	1	0	0	0	37					
5	23	1	0	1	377.469067267	233.443155452	0.00116009280742	529.547368421	1	0	0	0	37					
5	24	1	0	0	NaN	0	0	0	1	0	0	0	37					
6	1	1	0	3	397.268085748	1024.29019074	0.00408719346049	1663.04570065	1	0	0	-1	37					
6	2	1	0	180	567.294516743	216105.719481	0.467532467532	148478.108341	1	0	0	-1	37					
6	3	1	0	2	403.755559321	560.978021978	0.00274725274725	1133.68719701	1	0	0	-1	37					
6	4	1	0	0	NaN	0	0	0	1	0	0	-1	37					
6	5	1	0	1	451.03866576	613.082089552	0.00124378109453	632.757381258	1	0	0	-1	37					
6	6	1	0	3	435.676145977	2460.05718475	0.00439882697947	1820.31409327	1	0	0	-1	37					
6	7	1	0	2	591.068546082	661.957627119	0.00338983050847	1724.35741487	1	0	0	-1	37					
6	8	1	0	3	367.397027038	1475.82732733	0.0045045045045	1545.94172224	1	0	0	-1	37					
6	9	1	0	2	436.865482837	332.885416667	0.00297619047619	1391.2003988	1	0	0	-1	37					
6	10	1	0	1	356.425134202	290.743046358	0.00132450331126	500.025056948	1	0	0	-1	37					
6	11	1	0	3	364.263111739	2372.75770925	0.00440528634361	1529.21542905	1	0	0	-1	37					
6	12	1	0	2	392.93650412	936.062300319	0.00319488817891	1087.1390583	1	0	0	-1	37					
6	13	1	0	0	NaN	0	0	0	1	0	0	-1	37					
6	14	1	0	3	393.945246093	917.921507064	0.00470957613815	1659.84818964	1	0	0	-1	37					
6	15	1	0	1	357.29283115	246.164158687	0.00136798905609	501.242339833	1	0	0	-1	37					
