Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	71dcad2e-6e03-42ac-b41a-578b7769a87f
Plate Name	P103827
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	GFP induced - Number of Objects	Ave GFP pos per cell	GFP Total  per well	percentage of induction	GFP induced - Intensity Cytoplasm EGFP Mean - Sum per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	6	378.531354102	3616.4335443	0.00949367088608	3212.85343381	1	0	0	0	37					
1	2	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	3	1	0	2	460.606326921	609.651072125	0.00389863547758	1376.88305009	1	0	0	0	37					
1	4	1	0	2	381.673862432	729.820547945	0.0027397260274	1067.86291106	1	0	0	0	37					
1	5	1	0	2	406.336646203	761.140151515	0.00378787878788	1137.61087535	1	0	0	0	37					
1	6	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	7	1	0	1	570.356183326	100.352842809	0.00167224080268	800.146666667	1	0	0	0	37					
1	8	1	0	2	520.011954876	407.734195402	0.00287356321839	1534.22740062	1	0	0	0	37					
1	9	1	0	2	366.605142651	841.742765273	0.0032154340836	1021.8574962	1	0	0	0	37					
1	10	1	0	2	610.396615057	1040.91467066	0.00299401197605	1635.36181211	1	0	0	0	37					
1	11	1	0	1	626.765251649	119.966292135	0.0016051364366	879.282352941	1	0	0	0	37					
1	12	1	0	4	428.707456923	1507.59435364	0.00594353640416	2444.85490227	1	0	0	0	37					
1	13	1	0	1	365.540925875	306.701923077	0.00192307692308	512.813504823	1	0	0	0	37					
1	14	1	0	2	360.134841829	1028.22070313	0.00390625	1013.28670741	1	0	0	0	37					
1	15	1	0	5	411.851564165	1672.05304212	0.00780031201248	2916.42246827	1	0	0	0	37					
1	16	1	0	2	373.896514543	1380.31168831	0.00324675324675	1033.94998581	1	0	0	0	37					
1	17	1	0	4	391.264142968	1345.2557377	0.00655737704918	2187.48648877	1	0	0	0	37					
1	18	1	0	1	882.3891162	2069.28547855	0.0016501650165	1237.89437315	1	0	0	0	37					
1	19	1	0	1	409.822568884	1651.90208668	0.0016051364366	574.93575419	1	0	0	0	37					
1	20	1	0	2	418.434201806	570.34529148	0.00298953662182	1170.74725129	1	0	0	0	37					
1	21	1	0	1	353.087916775	419.307004471	0.00149031296572	495.343309859	1	0	0	0	37					
1	22	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	23	1	0	4	417.017083593	3931.82441472	0.0066889632107	2379.06022451	1	0	0	0	37					
1	24	1	0	179	547.956005319	189447.846449	0.343570057582	142698.368991	1	0	0	0	37					
