Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	0c052479-a80e-4e40-b7ae-252749ee1ddc
Plate Name	P103830
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	GFP induced - Number of Objects	Ave GFP pos per cell	GFP Total  per well	percentage of induction	GFP induced - Intensity Cytoplasm EGFP Mean - Sum per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	3	579.614813634	2410.01606426	0.00602409638554	2377.00590613	1	0	0	0	37					
1	2	1	0	1	625.94189367	402.475	0.00833333333333	878.127272727	1	0	0	0	37					
1	3	1	0	3	450.288319883	1012.36229205	0.00554528650647	1906.65375468	1	0	0	0	37					
1	4	1	0	3	388.770305581	726.40497076	0.00438596491228	1637.56404496	1	0	0	0	37					
1	5	1	0	2	419.650606413	541.033519553	0.00279329608939	1177.17545643	1	0	0	0	37					
1	6	1	0	2	512.997170481	810.492537313	0.00271370420624	1414.1892148	1	0	0	0	37					
1	7	1	0	1	352.957834431	296.576182137	0.00175131348511	495.160818713	1	0	0	0	37					
1	8	1	0	6	406.325755561	1819.67751938	0.0093023255814	3809.58989481	1	0	0	0	37					
1	9	1	0	2	377.0681834	1130.56058394	0.0029197080292	1055.16680573	1	0	0	0	37					
1	10	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	11	1	0	2	362.336698428	619.949019608	0.00261437908497	1019.84326234	1	0	0	0	37					
1	12	1	0	1	465.473578656	258.933649289	0.00157977883096	653.007968127	1	0	0	0	37					
1	13	1	0	1	379.133705258	439.795522388	0.00149253731343	531.88267148	1	0	0	0	37					
1	14	1	0	1	508.553941423	235.296520424	0.00151285930408	713.444954128	1	0	0	0	37					
1	15	1	0	3	371.916823984	1290.31392045	0.00426136363636	1814.88590688	1	0	0	0	37					
1	16	1	0	3	406.78807899	943.749253731	0.0044776119403	1726.07214321	1	0	0	0	37					
1	17	1	0	4	432.788020823	1283.18627451	0.00560224089636	2412.40633541	1	0	0	0	37					
1	18	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	19	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	20	1	0	3	402.995659489	1390.25521669	0.00481540930979	1906.13760739	1	0	0	0	37					
1	21	1	0	4	638.360821312	1811.08368201	0.00557880055788	6573.07483233	1	0	0	0	37					
1	22	1	0	1	536.18275733	86.7928994083	0.00147928994083	752.205128205	1	0	0	0	37					
1	23	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	24	1	0	144	479.038949363	121270.980519	0.311688311688	105028.123846	1	0	0	0	37					
2	1	1	0	190	461.202970769	92778.0759878	0.288753799392	131377.533665	1	0	0	0	37					
2	2	1	0	19	388.181069875	9205.37029289	0.0397489539749	10878.8634508	1	0	0	0	37					
2	3	1	0	1	435.419112796	332.601809955	0.00150829562594	610.844875346	1	0	0	0	37					
2	4	1	0	1	365.090469439	224.707107843	0.00122549019608	512.181564246	1	0	0	0	37					
2	5	1	0	1	354.385164324	220.743083004	0.00131752305665	497.163204748	1	0	0	0	37					
2	6	1	0	3	396.623790239	951.16519174	0.00442477876106	1675.34880921	1	0	0	0	37					
2	7	1	0	5	403.477515247	1454.17263427	0.00639386189258	2936.79419739	1	0	0	0	37					
2	8	1	0	4	464.805139734	891.347509113	0.0048602673147	3539.58292688	1	0	0	0	37					
2	9	1	0	2	407.314953484	630.3453125	0.003125	1219.97266478	1	0	0	0	37					
2	10	1	0	0	NaN	0	0	0	1	0	0	0	37					
2	11	1	0	0	NaN	0	0	0	1	0	0	0	37					
2	12	1	0	4	383.764862026	2423.2173913	0.00756143667297	2096.73465871	1	0	0	0	37					
2	13	1	0	3	455.236018932	801.728571429	0.00535714285714	2086.55258716	1	0	0	0	37					
2	14	1	0	3	401.507623354	1254.94680851	0.00455927051672	2072.33374539	1	0	0	0	37					
