Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	eb0f1b51-7928-4f8f-8d13-2a81b0c6d3d6
Plate Name	P103832
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	GFP induced - Number of Objects	Ave GFP pos per cell	GFP Total  per well	percentage of induction	GFP induced - Intensity Cytoplasm EGFP Mean - Sum per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	3	418.621358365	1047.62536023	0.00432276657061	1791.02258988	1	0	0	0	37					
1	2	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	3	1	0	1	356.250172671	235.190402477	0.0015479876161	499.779605263	1	0	0	0	37					
1	4	1	0	1	380.313598346	209.372124493	0.00135317997294	533.537931034	1	0	0	0	37					
1	5	1	0	1	515.523320346	19.1441176471	0.00147058823529	723.222222222	1	0	0	0	37					
1	6	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	7	1	0	5	391.316753536	1871.56842105	0.00657894736842	2847.70769858	1	0	0	0	37					
1	8	1	0	1	394.243378279	241.442119944	0.00139470013947	553.079872204	1	0	0	0	37					
1	9	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	10	1	0	3	391.176094081	787.772538141	0.00416088765603	1661.63958103	1	0	0	0	37					
1	11	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	12	1	0	1	473.387211139	469.153409091	0.00189393939394	664.109919571	1	0	0	0	37					
1	13	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	14	1	0	1	439.774374117	550.287545788	0.0018315018315	616.954825462	1	0	0	0	37					
1	15	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	16	1	0	5	498.232186136	2355.4	0.00793650793651	3521.06555017	1	0	0	0	37					
1	17	1	0	3	455.350934506	611.499236641	0.00458015267176	2040.45740148	1	0	0	0	37					
1	18	1	0	5	476.522526376	1036.85323383	0.00621890547264	3604.37857427	1	0	0	0	37					
1	19	1	0	2	443.814098551	564.833832335	0.00299401197605	1255.75910639	1	0	0	0	37					
1	20	1	0	1	512.872667713	133.566395664	0.00135501355014	719.503649635	1	0	0	0	37					
1	21	1	0															
1	22	1	0	1	357.667749567	2062.9270073	0.00182481751825	501.768308921	1	0	0	0	37					
1	23	1	0	1	498.46292382	227.453857791	0.00151285930408	699.288372093	1	0	0	0	37					
1	24	1	0	178	490.125703088	137128.093846	0.273846153846	132488.948368	1	0	0	0	37					
2	1	1	0	125	497.971288128	116014.342437	0.262605042017	96295.6506492	1	0	0	0	37					
2	2	1	0	3	416.881133203	1018.9643436	0.00486223662885	1743.96636043	1	0	0	0	37					
2	3	1	0	7	466.662251999	3459.42493298	0.00938337801609	4369.0955349	1	0	0	0	37					
2	4	1	0	1	377.223834052	622.592156863	0.00196078431373	529.203333333	1	0	0	0	37					
2	5	1	0	0	NaN	0	0	0	1	0	0	0	37					
2	6	1	0	6	410.230181259	1924.08507463	0.0089552238806	3396.51981632	1	0	0	0	37					
2	7	1	0	2	371.689291165	801.510121457	0.00269905533063	1073.41402939	1	0	0	0	37					
2	8	1	0	0	NaN	0	0	0	1	0	0	0	37					
2	9	1	0	4	425.18200639	992.258108108	0.00540540540541	2390.2066449	1	0	0	0	37					
2	10	1	0	1	461.888796904	264.937192118	0.0012315270936	647.978915663	1	0	0	0	37					
