Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	2eea61d0-88e6-4aec-ad8c-27d692e7a247
Plate Name	P103833
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	GFP induced - Number of Objects	Ave GFP pos per cell	GFP Total  per well	percentage of induction	GFP induced - Intensity Cytoplasm EGFP Mean - Sum per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	3	401.043079415	708.247524752	0.004243281471	1821.3317221	1	0	0	0	37					
1	2	1	0	3	517.391312981	968.870535714	0.00446428571429	2198.3857963	1	0	0	0	37					
1	3	1	0	3	424.034730865	1259.50488599	0.00488599348534	1941.82794835	1	0	0	0	37					
1	4	1	0	1	483.693855511	615.811175337	0.0019267822736	678.569002123	1	0	0	0	37					
1	5	1	0	2	363.402609013	500.345714286	0.00285714285714	1021.013991	1	0	0	0	37					
1	6	1	0	1	538.128994565	64.4710743802	0.00137741046832	754.935483871	1	0	0	0	37					
1	7	1	0	4	563.09596813	1466.65978129	0.0048602673147	3782.14286591	1	0	0	0	37					
1	8	1	0	2	416.965567587	470.081395349	0.00258397932817	1168.40015511	1	0	0	0	37					
1	9	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	10	1	0	3	399.023400061	852.299734748	0.00397877984085	1667.1502271	1	0	0	0	37					
1	11	1	0	1	664.598493884	89.24	0.00142857142857	932.358208955	1	0	0	0	37					
1	12	1	0	3	406.834876406	916.022900763	0.00572519083969	1790.73869787	1	0	0	0	37					
1	13	1	0	1	371.373941749	466.029051988	0.00152905198777	520.996581197	1	0	0	0	37					
1	14	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	15	1	0	2	578.620497517	325.513422819	0.00335570469799	1622.45966811	1	0	0	0	37					
1	16	1	0	1	363.377777032	221.211404729	0.00139082058414	509.778846154	1	0	0	0	37					
1	17	1	0	2	422.063299613	636.829305136	0.00302114803625	1192.67708554	1	0	0	0	37					
1	18	1	0	1	483.545667774	342.030812325	0.00140056022409	678.361111111	1	0	0	0	37					
1	19	1	0	1	359.06583651	304.783244681	0.00132978723404	503.72967033	1	0	0	0	37					
1	20	1	0	6	404.498030252	5236.26783311	0.00807537012113	3435.1322837	1	0	0	0	37					
1	21	1	0	2	378.857362288	454.174816626	0.00244498777506	1063.73106061	1	0	0	0	37					
1	22	1	0	1	754.797286666	267.398268398	0.001443001443	1058.89714286	1	0	0	0	37					
1	23	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	24	1	0	146	512.378477139	149486.362348	0.295546558704	115325.192078	1	0	0	0	37					
2	1	1	0	107	504.599499695	73404.3614931	0.21021611002	76498.9387366	1	0	0	0	37					
2	2	1	0	1	462.928681895	438.415966387	0.00140056022409	649.437759336	1	0	0	0	37					
2	3	1	0	0	NaN	0	0	0	1	0	0	0	37					
2	4	1	0	1	432.279652351	241.89958159	0.00139470013947	606.440559441	1	0	0	0	37					
2	5	1	0	3	406.712176181	1289.42203742	0.00623700623701	1834.72673359	1	0	0	0	37					
2	6	1	0	1	367.639355521	434.062977099	0.00190839694656	515.757369615	1	0	0	0	37					
2	7	1	0	1	410.484376803	281.842900302	0.00151057401813	575.864197531	1	0	0	0	37					
2	8	1	0	3	429.974905119	773.548172757	0.00498338870432	1944.79243603	1	0	0	0	37					
2	9	1	0	0	NaN	0	0	0	1	0	0	0	37					
2	10	1	0	9	412.585394254	4627.34782609	0.0163043478261	5665.4005338	1	0	0	0	37					
2	11	1	0	0	NaN	0	0	0	1	0	0	0	37					
2	12	1	0	1	365.539005544	362.099236641	0.00190839694656	512.810810811	1	0	0	0	37					
2	13	1	0	0	NaN	0	0	0	1	0	0	0	37					
2	14	1	0	2	373.818908218	1225.14601019	0.00339558573854	1046.24575922	1	0	0	0	37					
2	15	1	0	1	478.920969495	462.194630872	0.00167785234899	671.873170732	1	0	0	0	37					
2	16	1	0	2	372.333176771	606.144859813	0.00311526479751	1041.91243181	1	0	0	0	37					
2	17	1	0	1	423.410467177	459.441132638	0.00149031296572	593.998073218	1	0	0	0	37					
2	18	1	0	1	428.68666826	293.980446927	0.00139664804469	601.4	1	0	0	0	37					
2	19	1	0	3	464.205915922	720.207165109	0.00467289719626	2099.9720689	1	0	0	0	37					
2	20	1	0	0	NaN	0	0	0	1	0	0	0	37					
2	21	1	0	0	NaN	0	0	0	1	0	0	0	37					
2	22	1	0	2	443.447325179	513.648026316	0.00328947368421	1259.07797871	1	0	0	0	37					
2	23	1	0	2	376.569870664	1496.81003584	0.00358422939068	1053.41686161	1	0	0	0	37					
2	24	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	1	1	0	1	365.176900096	289.060927152	0.00132450331126	512.302816901	1	0	0	0	37					
3	2	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	3	1	0	2	366.856610995	857.277382646	0.00284495021337	1027.88171056	1	0	0	0	37					
3	4	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	5	1	0	1	387.863420211	428.521246459	0.0014164305949	544.129496403	1	0	0	0	37					
3	6	1	0	1	814.984631488	104.082758621	0.00137931034483	1143.33333333	1	0	0	0	37					
3	7	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	8	1	0	1	364.25716577	262.074550129	0.0012853470437	511.012531328	1	0	0	0	37					
3	9	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	10	1	0	2	461.758049238	544.358592693	0.00270635994587	1301.55125313	1	0	0	0	37					
3	11	1	0	1	398.576048265	340.192411924	0.00135501355014	559.158129176	1	0	0	0	37					
3	12	1	0	2	373.891774415	893.116642959	0.00284495021337	1043.8917357	1	0	0	0	37					
3	13	1	0	3	435.759118276	1073.30067114	0.00402684563758	1831.73686941	1	0	0	0	37					
3	14	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	15	1	0	1	413.16198674	272.197513812	0.00138121546961	579.620588235	1	0	0	0	37					
3	16	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	17	1	0	2	503.679373023	675.534201954	0.00325732899023	1401.47062807	1	0	0	0	37					
3	18	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	19	1	0	2	410.543563235	815.506849315	0.00249066002491	1142.10568764	1	0	0	0	37					
3	20	1	0	52	433.939267158	34653.3268206	0.0923623445826	33786.2981397	1	0	0	0	37					
3	21	1	0	3	422.025643817	927.553333333	0.005	1786.16434922	1	0	0	0	37					
3	22	1	0	6	460.501161419	2268.42081448	0.00904977375566	4006.36301373	1	0	0	0	37					
3	23	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	24	1	0	0	NaN	0	0	0	1	0	0	0	37					
4	1	1	0	1	386.168347649	269.664679583	0.00149031296572	541.751497006	1	0	0	0	37					
4	2	1	0	2	558.714224605	361.442687747	0.00263504611331	1543.05011483	1	0	0	0	37					
4	3	1	0	1	444.542679527	424.469895288	0.00130890052356	623.644230769	1	0	0	0	37					
4	4	1	0	0	NaN	0	0	0	1	0	0	0	37					
4	5	1	0	176	477.921273605	135153.99637	0.31941923775	121807.338939	1	0	0	0	37					
4	6	1	0	0	NaN	0	0	0	1	0	0	0	37					
4	7	1	0	1	712.271449694	94.3808095952	0.00149925037481	999.238095238	1	0	0	0	37					
4	8	1	0	6	434.727043188	2381.1037234	0.00797872340426	3791.6806027	1	0	0	0	37					
4	9	1	0	2	460.996607612	844.033898305	0.00308166409861	1300.30219768	1	0	0	0	37					
4	10	1	0	0	NaN	0	0	0	1	0	0	0	37					
4	11	1	0	173	490.234619195	157927.406593	0.38021978022	121644.351216	1	0	0	0	37					
4	12	1	0	3	545.801567993	1208.93120805	0.00503355704698	2298.58933797	1	0	0	0	37					
4	13	1	0	0	NaN	0	0	0	1	0	0	0	37					
4	14	1	0	6	473.062912783	12149.8132251	0.00696055684455	3759.93221244	1	0	0	0	37					
4	15	1	0	1	361.231708935	673.063763608	0.00155520995334	506.768149883	1	0	0	0	37					
4	16	1	0	1	365.029033006	262.885756677	0.00148367952522	512.095375723	1	0	0	0	37					
4	17	1	0	2	377.949501277	676.489326765	0.00328407224959	1060.26507693	1	0	0	0	37					
4	18	1	0	0	NaN	0	0	0	1	0	0	0	37					
4	19	1	0	8	538.443333139	3168.98412698	0.0126984126984	6630.84667311	1	0	0	0	37					
4	20	1	0	0	NaN	0	0	0	1	0	0	0	37					
4	21	1	0	1	610.299300578	735.860946746	0.00147928994083	856.182444062	1	0	0	0	37					
4	22	1	0	1	386.72881045	235.978975033	0.00131406044678	542.53776435	1	0	0	0	37					
4	23	1	0	1	434.930590855	272.241319444	0.00173611111111	610.159533074	1	0	0	0	37					
4	24	1	0	1	378.048546213	342.543001686	0.00168634064081	530.360313316	1	0	0	0	37					
5	1	1	0	1	422.98020551	174.81243629	0.00101936799185	593.394463668	1	0	0	0	37					
5	2	1	0	2	574.068386723	701.902439024	0.00325203252033	1615.31371479	1	0	0	0	37					
5	3	1	0	0	NaN	0	0	0	1	0	0	0	37					
5	4	1	0	0	NaN	0	0	0	1	0	0	0	37					
5	5	1	0	1	584.521462576	203.715408805	0.00157232704403	820.018987342	1	0	0	0	37					
5	6	1	0	4	404.937249904	2783.22147651	0.0089485458613	2339.79505069	1	0	0	0	37					
5	7	1	0	0	NaN	0	0	0	1	0	0	0	37					
5	8	1	0	2	560.771672681	526.77753304	0.00220264317181	1543.83209938	1	0	0	0	37					
5	9	1	0	0	NaN	0	0	0	1	0	0	0	37					
5	10	1	0	2	559.413734271	315.299120235	0.0058651026393	1723.49057681	1	0	0	0	37					
5	11	1	0	2	441.208614732	541.109433962	0.00251572327044	1308.96356519	1	0	0	0	37					
5	12	1	0	2	605.205485711	1133.82288401	0.00313479623824	1587.03124428	1	0	0	0	37					
5	13	1	0	1	364.414556651	246.179775281	0.0016051364366	511.233333333	1	0	0	0	37					
5	14	1	0	1	368.79151864	736.320289855	0.00144927536232	517.373727088	1	0	0	0	37					
5	15	1	0	1	378.580601841	463.374493927	0.00202429149798	531.106728538	1	0	0	0	37					
5	16	1	0	0	NaN	0	0	0	1	0	0	0	37					
5	17	1	0	131	499.131525872	118383.07947	0.289183222958	99408.5616848	1	0	0	0	37					
