Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	7ca4fde8-f711-43d4-878b-dd702fbb870c
Plate Name	P103834
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	GFP induced - Number of Objects	Ave GFP pos per cell	GFP Total  per well	percentage of induction	GFP induced - Intensity Cytoplasm EGFP Mean - Sum per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	6	368.988582848	4779.82427536	0.0108695652174	3094.98138873	1	0	0	0	37					
1	2	1	0	3	426.002697916	671.100828729	0.00414364640884	1918.46345708	1	0	0	0	37					
1	3	1	0	9	383.971660937	2267.13138686	0.0131386861314	5151.45600675	1	0	0	0	37					
1	4	1	0	78	395.145193204	34698.8603774	0.147169811321	45929.7496172	1	0	0	0	37					
1	5	1	0	7	373.492874396	3081.41761827	0.0114192495922	3832.94979332	1	0	0	0	37					
1	6	1	0	11	362.837770431	4381.54294976	0.0178282009724	5607.77960322	1	0	0	0	37					
1	7	1	0	9	387.295828616	2694.55868545	0.0140845070423	5180.81825716	1	0	0	0	37					
1	8	1	0	6	387.879921062	1886.94135338	0.00902255639098	3301.44343971	1	0	0	0	37					
1	9	1	0	12	374.300434989	3989.80600462	0.013856812933	6765.67709389	1	0	0	0	37					
1	10	1	0	5	398.199623969	1359.44075145	0.00722543352601	2918.19401219	1	0	0	0	37					
1	11	1	0	1	499.663086069	177.473833098	0.001414427157	700.972067039	1	0	0	0	37					
1	12	1	0	6	446.369331743	7009.72121212	0.0121212121212	3799.87824061	1	0	0	0	37					
1	13	1	0	7	376.693986526	3824.89971347	0.0100286532951	3769.70590383	1	0	0	0	37					
1	14	1	0	5	434.236104786	1736.46261682	0.00778816199377	3388.60789038	1	0	0	0	37					
1	15	1	0	2	466.139589489	560.802098951	0.00299850074963	1368.06472194	1	0	0	0	37					
1	16	1	0	2	367.414338857	781.09772423	0.00267737617135	1031.62318404	1	0	0	0	37					
1	17	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	18	1	0	1	589.916932622	52.5616438356	0.00124533001245	827.588235294	1	0	0	0	37					
1	19	1	0	11	359.183856161	9783.1882716	0.016975308642	5528.47037614	1	0	0	0	37					
1	20	1	0	6	363.768893414	4333.72214182	0.00868306801737	3045.8336381	1	0	0	0	37					
1	21	1	0	2	641.701473231	197.461139896	0.00345423143351	1639.64057971	1	0	0	0	37					
1	22	1	0	2	425.965206155	305.24523507	0.00254129606099	1649.30614035	1	0	0	0	37					
1	23	1	0	7	365.38248115	4462.85533708	0.00983146067416	4532.31131157	1	0	0	0	37					
1	24	1	0	190	490.294622649	225040.859122	0.438799076212	158261.266175	1	0	0	0	37					
2	1	1	0	189	460.266984811	91687.3484043	0.251329787234	132872.133581	1	0	0	0	37					
2	2	1	0	3	392.963309971	803.457429048	0.00500834724541	1667.61358212	1	0	0	0	37					
2	3	1	0	2	438.923466824	549.095459837	0.0023282887078	1240.03568992	1	0	0	0	37					
2	4	1	0	3	378.356242803	854.367867868	0.0045045045045	1591.7488334	1	0	0	0	37					
2	5	1	0	2	366.744738032	611.725517241	0.00275862068966	1026.23299031	1	0	0	0	37					
2	6	1	0	6	363.198986325	2280.01735016	0.00946372239748	3050.9502144	1	0	0	0	37					
2	7	1	0	2	402.59738117	941.030497592	0.00321027287319	1124.39320336	1	0	0	0	37					
2	8	1	0	6	404.195156759	1717.78143361	0.00705052878966	3706.00448817	1	0	0	0	37					
2	9	1	0	4	553.822473298	2301.01192053	0.00529801324503	2825.26575754	1	0	0	0	37					
2	10	1	0	1	406.233399561	646.97146402	0.00124069478908	569.900546448	1	0	0	0	37					
2	11	1	0	8	433.74490507	5882.71060172	0.0229226361032	4899.41162551	1	0	0	0	37					
2	12	1	0	3	374.064402377	770.588839941	0.00440528634361	1720.69435538	1	0	0	0	37					
2	13	1	0	9	368.808548346	4273.76010782	0.0121293800539	4695.29091373	1	0	0	0	37					
2	14	1	0	3	380.046008908	1455.98039216	0.00534759358289	1626.28141681	1	0	0	0	37					
2	15	1	0	1	364.065407624	215.605839416	0.00121654501217	510.74351585	1	0	0	0	37					
2	16	1	0	11	651.976607479	66092.3365385	0.105769230769	9383.54256186	1	0	0	0	37					
2	17	1	0	3	528.86779256	2198.65605096	0.00477707006369	2286.71424973	1	0	0	0	37					
2	18	1	0	5	361.841232917	4088.18005952	0.00744047619048	2578.44417634	1	0	0	0	37					
2	19	1	0	5	649.148303051	3968.74704142	0.00739644970414	5147.20835723	1	0	0	0	37					
2	20	1	0	3	363.717741894	1007.73637703	0.00441826215022	1538.30431922	1	0	0	0	37					
2	21	1	0	1	367.152885791	466.186440678	0.00169491525424	515.074906367	1	0	0	0	37					
2	22	1	0	2	547.054670731	2788.68118812	0.0039603960396	1531.86975954	1	0	0	0	37					
2	23	1	0	4	390.198198875	1824.68310912	0.00597907324365	2286.99950831	1	0	0	0	37					
2	24	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	1	1	0	4	596.085602592	16337.3170732	0.0243902439024	3463.80528059	1	0	0	0	37					
3	2	1	0	4	390.555827081	987.95149786	0.00570613409415	2344.14408094	1	0	0	0	37					
3	3	1	0	3	573.155799583	674.895081967	0.00491803278689	2365.3154491	1	0	0	0	37					
3	4	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	5	1	0	1	486.656167985	1510.21340629	0.00136798905609	682.724799011	1	0	0	0	37					
