Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	7573d770-59a3-4170-b750-828e4034b5b7
Plate Name	P103835
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	GFP induced - Number of Objects	Ave GFP pos per cell	GFP Total  per well	percentage of induction	GFP induced - Intensity Cytoplasm EGFP Mean - Sum per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	1	496.810253359	667.387096774	0.00169779286927	696.969858156	1	0	0	0	37					
1	2	1	0	15	379.811298588	7072.2919708	0.021897810219	8813.56813009	1	0	0	0	37					
1	3	1	0	1	357.163415735	372.508746356	0.00145772594752	501.060784314	1	0	0	0	37					
1	4	1	0	2	369.721845803	529.873381295	0.00287769784173	1039.68197115	1	0	0	0	37					
1	5	1	0	2	482.025653795	398.412153236	0.00264200792602	1364.86779675	1	0	0	0	37					
1	6	1	0	9	359.12598172	4532.73459716	0.0142180094787	4581.42426168	1	0	0	0	37					
1	7	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	8	1	0	16	395.586788414	8577.5006993	0.0223776223776	8968.28803167	1	0	0	0	37					
1	9	1	0	7	399.411635274	2443.10040161	0.00937081659973	3977.44969066	1	0	0	0	37					
1	10	1	0	3	414.208373318	912.013559322	0.00508474576271	1737.64037208	1	0	0	0	37					
1	11	1	0	6	373.790609998	3326.4432133	0.00831024930748	3260.60088849	1	0	0	0	37					
1	12	1	0	8	397.411116655	5157.89827255	0.0153550863724	5218.28375821	1	0	0	0	37					
1	13	1	0	18	367.49777304	10538.7024793	0.0297520661157	9738.98355313	1	0	0	0	37					
1	14	1	0	96	825.680760932	105368.542609	0.166956521739	124441.468481	1	0	0	0	37					
1	15	1	0	6	377.818295214	3632.07375643	0.0102915951973	3172.9746433	1	0	0	0	37					
1	16	1	0	2	364.279094288	784.372771475	0.0032414910859	1022.92164597	1	0	0	0	37					
1	17	1	0	5	472.403691259	1702.67760342	0.00713266761769	4160.79157033	1	0	0	0	37					
1	18	1	0	4	430.878063837	1137.4516129	0.00614439324117	2733.80564242	1	0	0	0	37					
1	19	1	0	7	410.690443628	9984.98695652	0.0304347826087	4163.40721277	1	0	0	0	37					
1	20	1	0	1	568.498629473	519.930678466	0.00147492625369	797.540723982	1	0	0	0	37					
1	21	1	0	2	373.184727034	640.451559934	0.00328407224959	1046.18623339	1	0	0	0	37					
1	22	1	0	3	373.424458478	1187.33386838	0.00481540930979	1571.02784845	1	0	0	0	37					
1	23	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	24	1	0	76	487.572735082	73865.3021033	0.145315487572	58632.1383448	1	0	0	0	37					
2	1	1	0	202	447.073476396	122678.45677	0.329526916803	135165.559654	1	0	0	0	37					
2	2	1	0	6	386.488845406	2323.874	0.012	3250.63828706	1	0	0	0	37					
2	3	1	0	1	362.840424528	241.315555556	0.00148148148148	509.025	1	0	0	0	37					
2	4	1	0	1	361.1758634	435.791044776	0.00186567164179	506.689804772	1	0	0	0	37					
2	5	1	0	91	1217.91045788	178883.154696	0.502762430939	162572.732411	1	0	0	0	37					
2	6	1	0	2	376.666766329	862.608346709	0.00321027287319	1056.8245559	1	0	0	0	37					
2	7	1	0	1	403.942219767	378.409165303	0.00163666121113	566.68627451	1	0	0	0	37					
2	8	1	0	1	578.50840569	71.9276218612	0.00147710487445	811.583333333	1	0	0	0	37					
2	9	1	0	4	371.365340844	913.211428571	0.00571428571429	2096.14907618	1	0	0	0	37					
2	10	1	0	32	366.150747516	68094.6449275	0.115942028986	17120.3176143	1	0	0	0	37					
2	11	1	0	5	378.488642689	1814.62309645	0.00634517766497	2630.67387293	1	0	0	0	37					
2	12	1	0	1	372.343769892	265.927272727	0.00165289256198	522.357142857	1	0	0	0	37					
2	13	1	0	2	419.506526877	989.481300813	0.00325203252033	1179.66334591	1	0	0	0	37					
