Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	751de8c9-eed2-49a5-9022-7a8969942f04
Plate Name	P103836
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	GFP induced - Number of Objects	Ave GFP pos per cell	GFP Total  per well	percentage of induction	GFP induced - Intensity Cytoplasm EGFP Mean - Sum per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	6	436.249133285	1984.64555053	0.00904977375566	3740.17155228	1	0	0	0	37					
1	2	1	0	7	384.280055887	4181.71698113	0.0146750524109	4144.19213482	1	0	0	0	37					
1	3	1	0	46	454.690761847	15268.3690722	0.0948453608247	33926.8151965	1	0	0	0	37					
1	4	1	0	6	404.002406655	2863.50523169	0.00896860986547	3425.10761056	1	0	0	0	37					
1	5	1	0	6	384.459194113	3402.15678776	0.0114722753346	3342.134764	1	0	0	0	37					
1	6	1	0	16	363.661095778	6987.67801858	0.0247678018576	8155.9852798	1	0	0	0	37					
1	7	1	0	16	373.026194568	5723.57754011	0.0213903743316	8536.45378564	1	0	0	0	37					
1	8	1	0	3	419.091260676	1194.70818505	0.00533807829181	1936.04693258	1	0	0	0	37					
1	9	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	10	1	0	8	379.54543857	4035.68696884	0.0113314447592	4314.32799336	1	0	0	0	37					
1	11	1	0	5	418.916754157	1179.17935484	0.00645161290323	3124.367188	1	0	0	0	37					
1	12	1	0	14	383.923801765	11023.8300133	0.0185922974768	8828.28660981	1	0	0	0	37					
1	13	1	0	6	390.285745981	2086.10035842	0.010752688172	3317.54845462	1	0	0	0	37					
1	14	1	0	5	383.919095096	2520.75035063	0.0070126227209	2847.42770722	1	0	0	0	37					
1	15	1	0	7	416.248753261	3006.59072306	0.00954979536153	4144.99462734	1	0	0	0	37					
1	16	1	0	4	392.182493881	1853.22957198	0.00518806744488	2302.19412954	1	0	0	0	37					
1	17	1	0	7	391.802738106	2219.05700124	0.0086741016109	3931.04120197	1	0	0	0	37					
1	18	1	0	3	364.702672375	1570.77094017	0.00512820512821	1599.73039234	1	0	0	0	37					
1	19	1	0	6	367.982798664	3024.3748056	0.00933125972006	3319.78191638	1	0	0	0	37					
1	20	1	0	1	510.887801029	96.3564954683	0.00151057401813	716.719101124	1	0	0	0	37					
1	21	1	0	5	401.062546815	1447.56334232	0.00673854447439	3096.02666651	1	0	0	0	37					
1	22	1	0	0	NaN	0	0	0	1	0	0	0	37					
1	23	1	0	4	404.027910399	2254.16589862	0.00614439324117	2458.44308413	1	0	0	0	37					
1	24	1	0	101	496.385960128	111282.085714	0.20612244898	74222.1676126	1	0	0	0	37					
2	1	1	0	201	460.733698367	156577.787402	0.395669291339	137870.841168	1	0	0	0	37					
2	2	1	0	1	382.873168285	694.377503852	0.00154083204931	537.128724672	1	0	0	0	37					
2	3	1	0	2	370.178881859	777.688225539	0.00331674958541	1033.39231356	1	0	0	0	37					
2	4	1	0	13	447.280588653	11447.4769737	0.0427631578947	8545.36806038	1	0	0	0	37					
2	5	1	0	4	405.426673028	1062.1496063	0.00524934383202	2500.41812617	1	0	0	0	37					
2	6	1	0	27	370.647334504	15202.0574887	0.0408472012103	14170.4168371	1	0	0	0	37					
2	7	1	0	6	427.218044004	1656.07017544	0.00877192982456	3695.83655328	1	0	0	0	37					
2	8	1	0	2	394.370292305	664.510869565	0.0036231884058	1227.1708632	1	0	0	0	37					
2	9	1	0	5	402.60159406	1580.05873261	0.00772797527048	3734.05226371	1	0	0	0	37					
2	10	1	0	89	363.425505161	67843.0834553	0.130307467057	45726.6586137	1	0	0	0	37					
2	11	1	0	0	NaN	0	0	0	1	0	0	0	37					
2	12	1	0	65	364.881512143	60788.2864494	0.111492281304	33732.6900805	1	0	0	0	37					
2	13	1	0	6	386.789841327	3451.70560191	0.00715137067938	3337.1379151	1	0	0	0	37					
2	14	1	0	3	397.954750323	1107.68312102	0.00477707006369	1686.56931018	1	0	0	0	37					
2	15	1	0	97	363.038920735	87999.2776119	0.144776119403	49521.6429134	1	0	0	0	37					
2	16	1	0	108	365.769261116	70802.2574627	0.134328358209	55368.5578636	1	0	0	0	37					
2	17	1	0	30	382.785211362	27382.8484349	0.0494233937397	17025.273599	1	0	0	0	37					
2	18	1	0	1	502.084732589	580.007418398	0.00148367952522	704.369369369	1	0	0	0	37					
2	19	1	0	1	384.480811809	569.629906542	0.0018691588785	539.384070796	1	0	0	0	37					
