Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	e41346a2-8184-452d-bd66-1b82034da46e
Plate Name	P103854
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	GFP induced - Number of Objects	Ave GFP pos per cell	GFP Total  per well	percentage of induction	GFP induced - Intensity Cytoplasm EGFP Mean - Sum per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	4	372.924668437	2007.18608414	0.00647249190939	2188.21277593	1	0	0	0	37					
1	2	1	0	5	433.394874341	3324.78734177	0.0126582278481	3284.08938661	1	0	0	0	37					
1	3	1	0	7	382.529784665	3410.09760274	0.0119863013699	3951.37392416	1	0	0	0	37					
1	4	1	0	37	372.731333181	15518.526475	0.0559757942511	20134.8026263	1	0	0	0	37					
1	5	1	0	2	407.063280268	414.25256975	0.00293685756241	1244.57996894	1	0	0	0	37					
1	6	1	0	4	360.014521206	1146.25606469	0.00539083557951	2020.81603878	1	0	0	0	37					
1	7	1	0	16	462.680516626	7461.59789157	0.0240963855422	11971.1710242	1	0	0	0	37					
1	8	1	0	4	387.569932108	1096.86416185	0.00578034682081	2321.02292781	1	0	0	0	37					
1	9	1	0	5	431.966160556	998.793190416	0.0063051702396	3253.30316326	1	0	0	0	37					
1	10	1	0	83	369.913427912	64614.1803279	0.151183970856	42869.8374376	1	0	0	0	37					
1	11	1	0	24	370.14882088	14788.1683333	0.04	13159.9120076	1	0	0	0	37					
1	12	1	0	290	381.641729492	217432.356808	0.453834115806	154869.035559	1	0	0	0	37					
1	13	1	0	150	366.647155452	114595.517493	0.218658892128	77317.3377226	1	0	0	0	37					
1	14	1	0	5	384.297535252	1587.30404463	0.00697350069735	2952.4039903	1	0	0	0	37					
1	15	1	0	263	388.847079937	266679.10609	0.516699410609	143433.520607	1	0	0	0	37					
1	16	1	0	137	365.236862918	97400.166185	0.197976878613	70845.0717231	1	0	0	0	37					
1	17	1	0	7	387.976335213	3008.81694402	0.0105900151286	4049.57333859	1	0	0	0	37					
1	18	1	0	52	364.670535311	50374.6787659	0.0943738656987	27240.2190126	1	0	0	0	37					
1	19	1	0	5	406.094214042	1410.88087248	0.00838926174497	2981.32377625	1	0	0	0	37					
1	20	1	0	5	367.895788774	2911.23774955	0.00907441016334	2899.78433931	1	0	0	0	37					
1	21	1	0	10	398.159198676	6476.79081633	0.0170068027211	9782.35554311	1	0	0	0	37					
1	22	1	0	5	431.695101706	2629.75774648	0.00704225352113	2888.94824557	1	0	0	0	37					
1	23	1	0	3	459.699568644	744.286885246	0.00491803278689	2031.96032609	1	0	0	0	37					
1	24	1	0	155	455.061635596	135635.787356	0.2969348659	106797.744537	1	0	0	0	37					
2	1	1	0	245	465.099733444	215427.294991	0.454545454545	160600.169549	1	0	0	0	37					
2	2	1	0	9	673.409055196	5398.39115646	0.015306122449	12759.8122894	1	0	0	0	37					
2	3	1	0	2	363.700646354	622.860740741	0.00296296296296	1027.26804604	1	0	0	0	37					
2	4	1	0	1	366.690871639	363.806306306	0.00225225225225	514.426751592	1	0	0	0	37					
2	5	1	0	7	411.992585046	2153.52332362	0.0102040816327	4189.369358	1	0	0	0	37					
2	6	1	0	144	361.678612513	79680.2623907	0.209912536443	73633.4249231	1	0	0	0	37					
2	7	1	0	6	384.947585773	2735.9644588	0.00969305331179	3475.44028416	1	0	0	0	37					
2	8	1	0	18	366.668590866	8074.40416048	0.0267459138187	9448.5080882	1	0	0	0	37					
2	9	1	0	13	361.665501099	9604.79740681	0.0210696920583	6919.08987926	1	0	0	0	37					
2	10	1	0	7	378.329126577	3411.41691843	0.0105740181269	3715.08429971	1	0	0	0	37					
2	11	1	0	20	415.490469363	16814.0536131	0.04662004662	12025.4756064	1	0	0	0	37					
2	12	1	0	3	372.785440365	1737.53474903	0.00579150579151	1588.55134833	1	0	0	0	37					
2	13	1	0	1	365.380795361	401.758835759	0.002079002079	512.588859416	1	0	0	0	37					
2	14	1	0	6	524.663334397	8154.57056146	0.00910470409712	5378.36640184	1	0	0	0	37					
2	15	1	0	3	396.571681493	3864.13248639	0.005444646098	1655.250295	1	0	0	0	37					
2	16	1	0	1	426.49591323	666.399700599	0.00149700598802	598.326612903	1	0	0	0	37					
2	17	1	0	6	466.032418071	3723.7311522	0.00853485064011	4034.20983882	1	0	0	0	37					
2	18	1	0	3	371.003875636	1046.20461095	0.00432276657061	1543.67540446	1	0	0	0	37					
2	19	1	0	3	393.973621395	886.58109834	0.00383141762452	1653.58938715	1	0	0	0	37					
2	20	1	0	2	361.939483252	1593.91935484	0.00403225806452	1023.97927904	1	0	0	0	37					
2	21	1	0	2	526.464876965	696.982524272	0.00388349514563	1613.41079671	1	0	0	0	37					
2	22	1	0	11	1863.9302413999999	14014.9210084	0.018487394958	42140.1562477	1	0	0	0	37					
2	23	1	0	3	371.126218482	1401.90872483	0.00402684563758	1561.98261961	1	0	0	0	37					
2	24	1	0	2	516.534580982	747.2859375	0.003125	2247.32938808	1	0	0	0	37					
3	1	1	0	6	404.68477685	3336.55696203	0.0108499095841	3689.61882724	1	0	0	0	37					
3	2	1	0	3	630.950537421	565.918032787	0.00447093889717	2544.0878156	1	0	0	0	37					
3	3	1	0	17	373.528123685	10951.99	0.0283333333333	9054.09875729	1	0	0	0	37					
3	4	1	0	3	444.420104193	2172.5904908	0.00460122699387	1841.45518506	1	0	0	0	37					
3	5	1	0	5	406.615927122	3513.77019749	0.00897666068223	3097.96322343	1	0	0	0	37					
3	6	1	0	11	363.73636295	6043.91908397	0.0167938931298	5568.11869807	1	0	0	0	37					
3	7	1	0	263	366.491395693	146994.803408	0.344692005242	135229.894432	1	0	0	0	37					
3	8	1	0	165	361.768795836	78527.8588235	0.21568627451	83947.5431866	1	0	0	0	37					
3	9	1	0	6	455.346446347	3586.24966262	0.0080971659919	3844.26846822	1	0	0	0	37					
3	10	1	0	10	382.519925147	3189.43684211	0.0131578947368	6417.41464389	1	0	0	0	37					
3	11	1	0	1	501.130671994	115.387478849	0.00169204737733	703.030927835	1	0	0	0	37					
3	12	1	0	91	374.213562371	67915.4012251	0.139356814701	47821.8602333	1	0	0	0	37					
3	13	1	0	1	374.818897816	332.581890812	0.00133155792277	525.829473684	1	0	0	0	37					
3	14	1	0	32	361.837681462	33137.6309524	0.0544217687075	16622.0669057	1	0	0	0	37					
3	15	1	0	2	392.422080931	1059.0381558	0.00317965023847	1089.69306436	1	0	0	0	37					
3	16	1	0	45	374.443520325	27734.8349381	0.0618982118294	24187.9698982	1	0	0	0	37					
3	17	1	0	151	370.062279393	135770.383412	0.236306729264	78859.2322944	1	0	0	0	37					
3	18	1	0	4	406.524512932	2023.02820874	0.00564174894217	2572.40054996	1	0	0	0	37					
3	19	1	0	1	517.721165197	44.241962775	0.00169204737733	726.305555556	1	0	0	0	37					
3	20	1	0	36	418.919029049	33541.3891129	0.0725806451613	21957.7755125	1	0	0	0	37					
3	21	1	0	2	538.105204068	760.629742033	0.00303490136571	1519.1050986	1	0	0	0	37					
3	22	1	0	2	385.129154678	541.201680672	0.00336134453782	1309.90698431	1	0	0	0	37					
3	23	1	0	0	NaN	0	0	0	1	0	0	0	37					
3	24	1	0	5	370.870079394	4888.53796446	0.00807754442649	2624.71756308	1	0	0	0	37					
4	1	1	0	3	392.051358942	1307.99439776	0.00420168067227	1679.09158061	1	0	0	0	37					
4	2	1	0	7	584.434529042	10005.0107527	0.010752688172	5370.51282817	1	0	0	0	37					
4	3	1	0	7	439.689335207	6654.44273504	0.0119658119658	4473.85113667	1	0	0	0	37					
4	4	1	0	1	366.238577563	491.827137546	0.00185873605948	513.79223301	1	0	0	0	37					
