Well	Plane	Timepoint	Cell Selected - Number of Objects	Cell Selected - Total Spot Area - Mean per Well	Cell Selected - Number of Spots - Mean per Well	Cell Selected - Relative Spot Intensity - Mean per Well	Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cell Selected - Intensity Cytoplasm Mean - Mean per Well	Spots Selected - Number of Objects	Spots Selected - Relative Spot  Intensity - Mean per Well	Spots Selected - Corrected Spot  Intensity - Mean per Well	Spots Selected - Spot Area [px²] - Mean per Well	Spots Selected - Intensity Spot Mean - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
A01	1	0	1860	44.8333333333	1.61666666667	0.013081993821	0.00213986646925	1294.85028084	3310	0.1261505104	309.240643908	27.8220543807	2266.22247108	4	0	0					
A02	1	0	1848	5.06655844156	0.114718614719	0.00172063800224	0.000134866741954	895.093616652	236	0.135912758653	305.797798308	44.9110169492	2016.92223924	4	0	0					
A03	1	0	2267	8.23731804146	0.318923687693	0.00275848905211	0.000415447272478	1061.33816675	769	0.125541215641	309.923067818	26.0351105332	2129.01791501	4	0	0					
A04	1	0	2111	7.24017053529	0.255802936997	0.00287664602464	0.000327110202278	993.43764929	593	0.131942573271	316.793541861	28.5311973019	2061.41295343	4	0	0					
A05	1	0	2213	9.19385449616	0.291911432445	0.00346309570198	0.000358460968023	1050.94345861	708	0.133902149199	378.077119288	31.8559322034	2349.03023081	4	0	0					
A06	1	0	2279	7.02501096972	0.241772707328	0.00245538450772	0.000308569304457	1078.06495291	604	0.126253565419	322.665589397	30.0099337748	2179.6228804	4	0	0					
A07	1	0	2244	8.80793226381	0.249554367201	0.00358364289808	0.000326299707502	1032.24642146	618	0.13073443277	372.199483387	35.7330097087	2410.65502327	4	0	0					
A08	1	0	2180	7.20321100917	0.217431192661	0.0030411073083	0.000286563086845	1080.14804375	517	0.134173114318	393.929352377	33.6518375242	2436.11751784	4	0	0					
A09	1	0	2114	10.0075685904	0.280037842952	0.00389686576451	0.000366308097664	1091.18183712	656	0.12977717126	386.561326484	36.8307926829	2400.13594447	4	0	0					
A10	1	0	2125	69.7228235294	2.89129411765	0.0224434921289	0.0037092416421	1450.76191401	6638	0.128782549254	354.31536676	24.387616752	2590.39598823	4	0	0					
A11	1	0	1875	11.736	0.256	0.00306959773474	0.000285460365765	1120.14087525	519	0.126175094781	320.949004547	46.6030828516	2168.34852572	4	0	0					
A12	1	0	2080	8.58365384615	0.241346153846	0.00267272547466	0.000299433656451	1002.32171827	540	0.125434547121	271.105081446	35.8074074074	1930.92636895	4	0	0					
A13	1	0	2042	8.81537708129	0.241429970617	0.00327273437702	0.000306682986335	1065.84402498	536	0.133005627813	376.918182531	36.1604477612	2406.5788046	4	0	0					
A14	1	0	2213	6.68278355174	0.184365115228	0.0022233253246	0.00027286083984	1209.8307128	433	0.121764714613	294.581541446	36.6697459584	2156.19311273	4	0	0					
A15	1	0	2284	8.84325744308	0.232486865149	0.00264839675519	0.000300318048625	1105.02376159	561	0.123271327999	325.579694781	38.5650623886	2319.09636906	4	0	0					
A16	1	0	1813	149.413678985	5.88472145615	0.0801498697802	0.00807954260388	3156.1754468	11717	0.162631629404	1096.95793678	25.7787829649	6316.13565406	4	0	0					
A17	1	0	2485	8.79959758551	0.235412474849	0.00341682333074	0.000315198883727	1047.76263993	631	0.129407916006	357.778736124	38.2709984152	2219.27044534	4	0	0					
A18	1	0	2495	9.67695390782	0.302204408818	0.00342377660116	0.00038861193868	1034.59439655	825	0.124288920938	326.793069106	32.2533333333	2213.27804822	4	0	0					
A19	1	0	2626	9.36557501904	0.283701447068	0.00307755852152	0.000370206917756	965.099442422	799	0.120110440878	254.883940886	33.266583229	1804.51455113	4	0	0					
A20	1	0	2453	10.0558499796	0.27721157766	0.00325967428456	0.000348025251971	983.992601082	730	0.12881715204	307.897525422	36.3178082192	1999.36322001	4	0	0					
A21	1	0	929	6.38428417653	0.110871905274	0.00350307040298	0.000169590393083	982.843008485	113	0.156606845894	471.415534695	58.7699115044	2326.62696536	4	0	0					
A22	1	0	1835	9.11825613079	0.203269754768	0.00420226312115	0.000328009838317	1021.58787573	412	0.133656711481	467.655966358	44.4150485437	2660.39303285	4	0	0					
A23	1	0	2000	100.0445	3.954	0.0410402310467	0.00579797861859	1625.40438107	8753	0.144697138403	430.133595622	25.4467039872	2779.36781023	4	0	0					
A24	1	0	2160	11.3986111111	0.323611111111	0.004162896302	0.000395772703336	1059.05238186	746	0.132998973697	386.205359603	35.5831099196	2487.78676892	4	0	0					
B01	1	0	2192	54.5378649635	2.16605839416	0.0165453873877	0.00290571398734	1212.94382812	5058	0.129190698077	282.765986088	25.3485567418	2035.42613422	4	0	0					
B02	1	0	2363	7.66864155734	0.216673719848	0.0031747736945	0.000290225088896	1013.48743979	571	0.128247795785	366.646344471	35.3870402802	2229.54715377	4	0	0					
B03	1	0	2248	10.3816725979	0.318950177936	0.003791902285	0.000419266356441	1046.95517835	781	0.126243259085	356.294646804	32.3790012804	2361.10007167	4	0	0					
B04	1	0	2341	8.649295173	0.284920973943	0.00319365637069	0.000374599771971	1025.38143365	717	0.127456711346	349.453201334	30.6513249651	2342.62593287	4	0	0					
B05	1	0	2370	9.0358649789	0.257383966245	0.00318119920652	0.000345964312901	1053.61926057	655	0.125536380493	320.162125843	35.5435114504	2129.46259596	4	0	0					
B06	1	0	2426	7.87798845837	0.206100577082	0.00318789182671	0.000281191007865	992.413831173	547	0.133813506266	368.451079784	38.886654479	2251.72328477	4	0	0					
B07	1	0	2366	7.92899408284	0.242603550296	0.00289070372858	0.000326823113376	1008.53664349	626	0.12712018948	328.822992504	33.4552715655	2183.53641921	4	0	0					
B08	1	0	2252	9.43694493783	0.282859680284	0.0033168965538	0.000359131586774	1052.81087973	698	0.124689983419	356.690678989	34.0873925501	2350.92996951	4	0	0					
B09	1	0	2402	7.44629475437	0.189009159034	0.00254268605114	0.000266945545602	1069.24539834	491	0.124760463428	326.341871753	39.5682281059	2188.32990943	4	0	0					
B10	1	0	2397	7.80058406341	0.221109720484	0.00268272502242	0.000299987736441	1105.26561117	578	0.124473333887	348.325839411	35.5242214533	2258.18480229	4	0	0					
B11	1	0	2434	8.56573541495	0.216105176664	0.00296773775869	0.000310416249499	1086.17348889	567	0.121903041737	292.706394847	40.0088183422	2070.72752822	4	0	0					
B12	1	0	2332	8.02572898799	0.250428816467	0.00317526475176	0.000334786617856	1100.58929046	629	0.128538273495	376.690981245	32.3020667727	2373.45655076	4	0	0					
B13	1	0	2452	9.06076672104	0.265089722675	0.003139776321	0.000336832066308	1068.62728743	706	0.126724174725	319.002456465	34.4050991501	2127.44099388	4	0	0					
B14	1	0	2454	6.37734311328	0.172779136104	0.00214683273776	0.000231406218153	998.287702175	455	0.128776068291	318.334243925	37.1582417582	2032.23400538	4	0	0					
B15	1	0	2488	8.1036977492	0.244372990354	0.00274540010098	0.000324206397238	1083.5162327	651	0.124151957246	338.523952001	33.4224270353	2285.45940242	4	0	0					
B16	1	0	2404	8.92179700499	0.257487520799	0.00302533892155	0.000336346252795	1045.08982372	675	0.123465389047	302.707242328	34.7837037037	2142.37301875	4	0	0					
B17	1	0	2261	8.96063688633	0.254312251216	0.00298225049585	0.000332420870622	1070.99989521	635	0.123457247033	312.370069311	35.9527559055	2154.36545612	4	0	0					
B18	1	0	2350	7.31914893617	0.19829787234	0.00284730172842	0.000261373087179	1116.42229765	510	0.128167797297	439.638348183	37.4117647059	2756.05036255	4	0	0					
B19	1	0	2303	8.23968736431	0.24967433782	0.00287741999176	0.000307865410288	1013.07641207	621	0.125833850886	323.923568211	33.4911433172	2070.95608709	4	0	0					
