Well,Plane,Timepoint,Cell Selected - Number of Objects,Cell Selected - Total Spot Area - Mean per Well,Cell Selected - Number of Spots - Mean per Well,Cell Selected - Relative Spot Intensity - Mean per Well,Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well,Cell Selected - Intensity Cytoplasm Mean - Mean per Well,Spots Selected - Number of Objects,Spots Selected - Relative Spot  Intensity - Mean per Well,Spots Selected - Corrected Spot  Intensity - Mean per Well,Spots Selected - Spot Area [px²] - Mean per Well,Spots Selected - Intensity Spot Mean - Mean per Well,Number of Analyzed Fields,Height [µm],Time [s],Compound,Concentration,Cell Type,Cell Count,
A01,1,0,2177,106.800183739,4.17409278824,0.0461232588705,0.00634646196426,2202.51444666,9812,0.14546404064,578.149587756,25.7704851203,3703.28643454,4,0,0,,,,,
A02,1,0,2135,9.55081967213,0.269789227166,0.0035234364896,0.000355417083204,1255.70399936,628,0.131183635143,432.203667298,35.5159235669,2693.91528049,4,0,0,,,,,
A03,1,0,2349,9.55598126862,0.236696466582,0.00303473377492,0.000320717112504,1102.41457667,613,0.121119954038,306.949831255,41.3572593801,2145.90262208,4,0,0,,,,,
A04,1,0,2255,8.20310421286,0.191130820399,0.00261003160984,0.00024747178562,1042.85496515,464,0.122089298975,322.023721628,42.7650862069,2150.52962202,4,0,0,,,,,
A05,1,0,2179,7.4199173933,0.197338228545,0.00221108531906,0.000235293935219,1051.73063908,463,0.121120320686,282.853542094,37.898488121,2008.85416114,4,0,0,,,,,
A06,1,0,2130,10.5342723005,0.266197183099,0.00316875345367,0.000318051270043,1123.12022156,619,0.123294229518,328.540466909,40.1308562197,2293.85551522,4,0,0,,,,,
A07,1,0,2171,9.74251497006,0.269921695071,0.00304555963679,0.000313708786802,1158.12846782,634,0.127862609619,370.207076248,35.9889589905,2439.90993651,4,0,0,,,,,
A08,1,0,2120,8.68301886792,0.210377358491,0.0029804547031,0.000277106450236,1465.32703172,480,0.129819637691,377.174601335,41.2604166667,2456.40938913,4,0,0,,,,,
A09,1,0,2233,7.37707120466,0.193013882669,0.00299568276605,0.000258919677834,1208.64451527,474,0.130937101388,494.243533913,39.7067510549,3010.75228261,4,0,0,,,,,
A10,1,0,2154,17.4507892293,0.532497678737,0.005432132487,0.000676912318306,1199.07961583,1231,0.123621120072,313.242540811,32.8781478473,2227.91740445,4,0,0,,,,,
A11,1,0,2127,8.91020216267,0.24776680771,0.00356535413437,0.000309894506085,1164.19472533,581,0.13437086389,468.803937286,36.7263339071,2845.3389793,4,0,0,,,,,
A12,1,0,2202,8.25249772934,0.242506811989,0.00281967320051,0.000313685416574,1070.97565311,585,0.12407516411,344.628776597,34.1760683761,2313.1311737,4,0,0,,,,,
A13,1,0,2271,8.12197269925,0.224570673712,0.00293092861645,0.000291761161328,1076.82125107,562,0.13198207641,413.834790044,37.8131672598,2464.09530083,4,0,0,,,,,
