Well	Plane	Timepoint	Cell Selected - Number of Objects	Cell Selected - Total Spot Area - Mean per Well	Cell Selected - Number of Spots - Mean per Well	Cell Selected - Relative Spot Intensity - Mean per Well	Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cell Selected - Intensity Cytoplasm Mean - Mean per Well	Spots Selected - Number of Objects	Spots Selected - Relative Spot  Intensity - Mean per Well	Spots Selected - Corrected Spot  Intensity - Mean per Well	Spots Selected - Spot Area [px²] - Mean per Well	Spots Selected - Intensity Spot Mean - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
A01	1	0	1918	123.681438999	4.37747653806	0.0504592678964	0.00622986071627	2249.54549431	9128	0.147239022448	619.543859603	28.5817265557	3933.42424004	4	0	0					
A02	1	0	2237	10.5051408136	0.256593652213	0.00414229687701	0.000322176225671	973.931176539	612	0.127929538317	499.629419254	41.1437908497	2857.26212863	4	0	0					
A03	1	0	2275	7.95120879121	0.213186813187	0.0024432683401	0.000282750148701	1035.36555552	508	0.120540238147	267.37744951	37.2559055118	1966.3348298	4	0	0					
A04	1	0	2315	8.14125269978	0.237149028078	0.00248273275656	0.000306260338347	1052.6595095	595	0.124023033766	278.842800333	34.8369747899	1921.50191503	4	0	0					
A05	1	0	2272	8.51144366197	0.244278169014	0.00253316284894	0.000322806984024	990.472517148	600	0.120666190547	253.888268365	35.1166666667	1886.08282028	4	0	0					
A06	1	0	2432	6.91447368421	0.192023026316	0.00244337948245	0.000245715294652	1074.05510871	525	0.126891380138	339.180270938	35.9314285714	2209.17598696	4	0	0					
A07	1	0	2244	13.7856506239	0.401515151515	0.00467435010467	0.000502867043281	1081.79391417	958	0.124259224782	347.82899571	34.74217119	2305.66929232	4	0	0					
A08	1	0	2093	13.2441471572	0.372193024367	0.00368711596543	0.000406412836916	1021.67428363	850	0.125725724607	321.551151247	36.3835294118	2156.48532732	4	0	0					
A09	1	0	2361	11.4531977975	0.329944938585	0.00374921824132	0.000416407039672	1171.49457864	833	0.126986966573	354.001463569	35.2004801921	2459.0722066	4	0	0					
A10	1	0	2215	8.91286681716	0.244243792325	0.00320952332477	0.000306292838873	1086.05684927	583	0.131560980959	382.51833357	36.8765008576	2362.164869	4	0	0					
A11	1	0	2236	9.14355992844	0.268783542039	0.00338019655057	0.000352844812073	1065.89688966	652	0.131834450473	373.690368211	34.2208588957	2317.30484665	4	0	0					
