plate	well	Raw_data	Type
1	A01	327200	Data
1	A02	304400	Data
1	A03	331200	Data
1	A04	313600	Data
1	A05	321600	Data
1	A06	328400	Data
1	A07	327600	Data
1	A08	331200	Data
1	A09	317200	Data
1	A10	317200	Data
1	A11	321200	Data
1	A12	324800	Data
1	A13	318800	Data
1	A14	327600	Data
1	A15	332800	Data
1	A16	313600	Data
1	A17	314000	Data
1	A18	320800	Data
1	A19	346000	Data
1	A20	328800	Data
1	A21	344400	Data
1	A22	318400	Data
1	A23	339200	Neg
1	A24	16000	Pos
1	B01	327200	Data
1	B02	337200	Data
1	B03	320800	Data
1	B04	342800	Data
1	B05	324000	Data
1	B06	334800	Data
1	B07	335200	Data
1	B08	350400	Data
1	B09	327600	Data
1	B10	334800	Data
1	B11	348400	Data
1	B12	332000	Data
1	B13	342800	Data
1	B14	330000	Data
1	B15	336400	Data
1	B16	343200	Data
1	B17	357200	Data
1	B18	361600	Data
1	B19	332000	Data
1	B20	327600	Data
1	B21	334000	Data
1	B22	334800	Data
1	B23	356400	Neg
1	B24	20800	Pos
1	C01	352800	Data
1	C02	333200	Data
1	C03	330800	Data
1	C04	328800	Data
1	C05	343200	Data
1	C06	321600	Data
1	C07	335600	Data
1	C08	323200	Data
1	C09	334400	Data
1	C10	322400	Data
1	C11	330400	Data
1	C12	320800	Data
1	C13	343600	Data
1	C14	313200	Data
1	C15	320400	Data
1	C16	320000	Data
1	C17	334400	Data
1	C18	325600	Data
1	C19	314800	Data
1	C20	326400	Data
1	C21	305200	Data
1	C22	320000	Data
1	C23	350800	Neg
1	C24	22000	Pos
1	D01	349600	Data
1	D02	347200	Data
1	D03	321600	Data
1	D04	325600	Data
1	D05	340000	Data
1	D06	323200	Data
1	D07	334800	Data
1	D08	337200	Data
1	D09	344400	Data
1	D10	343600	Data
1	D11	316800	Data
1	D12	352800	Data
1	D13	341200	Data
1	D14	328400	Data
1	D15	331200	Data
1	D16	334400	Data
1	D17	347200	Data
1	D18	325200	Data
1	D19	333200	Data
1	D20	351200	Data
1	D21	241200	Data
1	D22	336800	Data
1	D23	337600	Neg
1	D24	22400	Pos
1	E01	278000	Data
