plate	well	raw_data	type
1	A01	668	Data
1	A02	8047	Data
1	A03	7680	Data
1	A04	8562	Data
1	A05	7680	Data
1	A06	8653	Data
1	A07	8862	Data
1	A08	7829	Data
1	A09	7226	Data
1	A10	6462	Data
1	A11	9783	Data
1	A12	10734	Data
1	A13	1138	Data
1	A14	7900	Data
1	A15	7931	Data
1	A16	9677	Data
1	A17	9148	Data
1	A18	8915	Data
1	A19	10427	Data
1	A20	7503	Data
1	A21	9285	Data
1	A22	10243	Data
1	A23	13146	Pos
1	A24	1231	Neg
1	B01	4643	Data
1	B02	8679	Data
1	B03	6206	Data
1	B04	7562	Data
1	B05	6619	Data
1	B06	7005	Data
1	B07	7005	Data
1	B08	7628	Data
1	B09	7652	Data
1	B10	7113	Data
1	B11	6137	Data
1	B12	7401	Data
1	B13	8134	Data
1	B14	7964	Data
1	B15	6686	Data
1	B16	7453	Data
1	B17	12418	Data
1	B18	7665	Data
1	B19	7630	Data
1	B20	7064	Data
1	B21	5240	Data
1	B22	9235	Data
1	B23	8809	Pos
1	B24	6779	Neg
1	C01	193	Data
1	C02	7885	Data
1	C03	7275	Data
1	C04	7561	Data
1	C05	8158	Data
1	C06	14645	Data
1	C07	8740	Data
1	C08	7418	Data
1	C09	6722	Data
1	C10	5970	Data
1	C11	8745	Data
1	C12	9059	Data
1	C13	-63	Data
1	C14	8902	Data
1	C15	7265	Data
1	C16	13334	Data
1	C17	8965	Data
1	C18	8544	Data
1	C19	8154	Data
1	C20	10358	Data
1	C21	7486	Data
1	C22	8794	Data
1	C23	11000	Pos
1	C24	163	Neg
1	D01	5437	Data
1	D02	5742	Data
1	D03	6376	Data
1	D04	5502	Data
1	D05	7171	Data
1	D06	6819	Data
1	D07	7752	Data
1	D08	7053	Data
1	D09	6438	Data
1	D10	6385	Data
1	D11	7251	Data
1	D12	8933	Data
1	D13	5990	Data
1	D14	6886	Data
1	D15	6162	Data
1	D16	5723	Data
1	D17	8658	Data
1	D18	7783	Data
1	D19	6672	Data
1	D20	6444	Data
1	D21	7353	Data
1	D22	6902	Data
1	D23	8195	Pos
1	D24	8628	Neg
1	E01	607	Data
1	E02	8710	Data
1	E03	6795	Data
1	E04	6924	Data
1	E05	6716	Data
1	E06	8257	Data
1	E07	9047	Data
1	E08	7795	Data
1	E09	7642	Data
1	E10	5735	Data
1	E11	8584	Data
1	E12	9341	Data
1	E13	483	Data
1	E14	7294	Data
1	E15	7688	Data
1	E16	1863	Data
1	E17	7919	Data
1	E18	7595	Data
1	E19	7603	Data
1	E20	6819	Data
1	E21	9088	Data
1	E22	7376	Data
1	E23	7797	Pos
1	E24	756	Neg
1	F01	5263	Data
1	F02	9653	Data
1	F03	6475	Data
