plate	well	raw_data	type
P102534	A01	668	Pos
P102534	A02	8047	Data
P102534	A03	7680	Data
P102534	A05	7680	Data
P102534	A08	7829	Data
P102534	A09	7226	Data
P102534	A12	10734	Data
P102534	A13	1138	Pos
P102534	A14	7900	Data
P102534	A16	9677	Data
P102534	A17	9148	Data
P102534	A19	10427	Data
P102534	A20	7503	Data
P102534	A21	9285	Data
P102534	A23	13146	Data
P102534	A24	1231	Pos
P102534	B01	4643	Neg
P102534	B02	8679	Data
P102534	B03	6206	Data
P102534	B04	7562	Data
P102534	B05	6619	Data
P102534	B06	7005	Data
P102534	B07	7005	Data
P102534	B08	7628	Data
P102534	B09	7652	Data
P102534	B10	7113	Data
P102534	B11	6137	Data
P102534	B12	7401	Data
P102534	B13	8134	Neg
P102534	B14	7964	Data
P102534	B15	6686	Data
P102534	B16	7453	Data
P102534	B17	12418	Data
P102534	B18	7665	Data
P102534	B21	5240	Data
P102534	B22	9235	Data
P102534	B24	6779	Neg
P102534	C02	7885	Data
P102534	C04	7561	Data
P102534	C05	8158	Data
P102534	C06	14645	Data
P102534	C07	8740	Data
P102534	C08	7418	Data
P102534	C09	6722	Data
P102534	C10	5970	Data
P102534	C11	8745	Data
P102534	C12	9059	Data
P102534	C14	8902	Data
P102534	C15	7265	Data
P102534	C16	13334	Data
P102534	C17	8965	Data
P102534	C18	8544	Data
P102534	C19	8154	Data
P102534	C20	10358	Data
P102534	C21	7486	Data
P102534	C22	8794	Data
P102534	C23	11000	Data
P102534	D01	5437	Neg
P102534	D03	6376	Data
P102534	D04	5502	Data
P102534	D05	7171	Data
P102534	D06	6819	Data
P102534	D07	7752	Data
P102534	D08	7053	Data
P102534	D09	6438	Data
P102534	D10	6385	Data
P102534	D11	7251	Data
P102534	D12	8933	Data
P102534	D13	5990	Neg
P102534	D14	6886	Data
P102534	D15	6162	Data
P102534	D16	5723	Data
P102534	D17	8658	Data
P102534	D19	6672	Data
P102534	D20	6444	Data
P102534	D21	7353	Data
P102534	D22	6902	Data
P102534	D23	8195	Data
P102534	D24	8628	Neg
P102534	E01	607	Pos
P102534	E02	8710	Data
P102534	E06	8257	Data
P102534	E07	9047	Data
P102534	E08	7795	Data
P102534	E09	7642	Data
P102534	E10	5735	Data
P102534	E11	8584	Data
P102534	E12	9341	Data
P102534	E13	483	Pos
P102534	E14	7294	Data
P102534	E15	7688	Data
P102534	E16	1863	Data
P102534	E17	7919	Data
P102534	E18	7595	Data
P102534	E19	7603	Data
P102534	E20	6819	Data
P102534	E21	9088	Data
P102534	E22	7376	Data
P102534	E23	7797	Data
P102534	E24	756	Pos
P102534	F01	5263	Neg
P102534	F02	9653	Data
P102534	F03	6475	Data
P102534	F04	6039	Data
P102534	F05	10090	Data
P102534	F06	6857	Data
P102534	F07	6934	Data
P102534	F08	7576	Data
P102534	F09	6372	Data
P102534	F11	7719	Data
P102534	F12	6934	Data
P102534	F13	7013	Neg
P102534	F14	6652	Data
P102534	F15	6989	Data
P102534	F16	6340	Data
P102534	F17	6671	Data
P102534	F18	10236	Data
P102534	F19	7221	Data
P102534	F20	6758	Data
P102534	F21	6889	Data
P102534	F23	7731	Data
P102534	F24	8641	Neg
P102534	G02	6468	Data
P102534	G03	8047	Data
P102534	G04	6911	Data
P102534	G05	4156	Data
P102534	G06	6791	Data
P102534	G07	7536	Data
P102534	G08	8407	Data
P102534	G09	5658	Data
P102534	G10	5827	Data
P102534	G12	8656	Data
P102534	G14	8300	Data
P102534	G15	7739	Data
P102534	G16	12483	Data
P102534	G17	7578	Data
P102534	G18	8586	Data
P102534	G19	7964	Data
P102534	G20	7416	Data
P102534	G21	11373	Data
P102534	G22	8253	Data
P102534	G23	7523	Data
P102534	H01	5590	Neg
P102534	H02	5782	Data
P102534	H03	6401	Data
P102534	H04	7212	Data
P102534	H05	6133	Data
