User: USER	Path: C:\Program Files (x86)\BMG\SMART Control\User\Data	Test run no.: 121
Test name: TbMCA2_CBCS0551	Date: 2023-10-11	Time: 13:02:33

ID1: P102534	
Fluorescence (FI)

Well	Slope of range 2 based on Raw Data (355-15/460-20)	
A01	668,24	
A02	8047,69	
A03	7680,24	
A04	8562,04	
A05	7680,09	
A06	8653,18	
A07	8862,35	
A08	7829,93	
A09	7226,49	
A10	6462,33	
A11	9783,35	
A12	10734,67	
A13	1138,20	
A14	7900,31	
A15	7931,15	
A16	9677,11	
A17	9148,49	
A18	8915,71	
A19	10427,27	
A20	7503,84	
A21	9285,47	
A22	10243,60	
A23	13146,56	
A24	1231,98	
B01	4643,80	
B02	8679,56	
B03	6206,75	
B04	7562,53	
B05	6619,20	
B06	7005,60	
B07	7005,15	
B08	7628,27	
B09	7652,64	
B10	7113,84	
B11	6137,15	
B12	7401,98	
B13	8134,31	
B14	7964,60	
B15	6686,11	
B16	7453,69	
B17	12418,44	
B18	7665,00	
B19	7630,00	
B20	7064,69	
B21	5240,93	
B22	9235,22	
B23	8809,60	
B24	6779,05	
C01	193,96	
C02	7885,78	
C03	7275,24	
C04	7561,42	
C05	8158,27	
C06	14645,20	
C07	8740,75	
C08	7418,29	
C09	6722,98	
C10	5970,49	
C11	8745,65	
C12	9059,04	
C13	-63,05	
C14	8902,15	
C15	7265,16	
C16	13334,93	
C17	8965,13	
C18	8544,22	
C19	8154,07	
C20	10358,11	
C21	7486,98	
C22	8794,44	
C23	11000,67	
C24	163,98	
D01	5437,45	
D02	5742,13	
D03	6376,87	
D04	5502,96	
D05	7171,85	
D06	6819,42	
D07	7752,05	
D08	7053,25	
D09	6438,33	
D10	6385,29	
D11	7251,91	
D12	8933,89	
D13	5990,82	
D14	6886,13	
D15	6162,13	
D16	5723,22	
D17	8658,78	
D18	7783,64	
D19	6672,67	
D20	6444,33	
D21	7353,29	
D22	6902,04	
D23	8195,60	
D24	8628,56	
E01	607,55	
E02	8710,13	
E03	6795,51	
E04	6924,64	
E05	6716,89	
E06	8257,64	
E07	9047,24	
E08	7795,31	
E09	7642,31	
E10	5735,00	
E11	8584,69	
E12	9341,53	
E13	483,33	
E14	7294,60	
E15	7688,07	
E16	1863,22	
E17	7919,22	
E18	7595,60	
E19	7603,98	
E20	6819,16	
E21	9088,71	
E22	7376,29	
E23	7797,22	
E24	756,84	
F01	5263,31	
F02	9653,55	
F03	6475,40	
F04	6039,75	
F05	10090,16	
F06	6857,20	
F07	6934,56	
F08	7576,04	
F09	6372,64	
F10	6586,60	
F11	7719,24	
F12	6934,02	
F13	7013,35	
F14	6652,98	
F15	6989,11	
F16	6340,47	
F17	6671,27	
F18	10236,42	
F19	7221,73	
F20	6758,55	
F21	6889,89	
F22	7718,56	
F23	7731,84	
F24	8641,07	
G01	155,87	
G02	6468,24	
G03	8047,67	
G04	6911,31	
G05	4156,60	
G06	6791,53	
G07	7536,00	
G08	8407,02	
G09	5658,53	
G10	5827,11	
G11	8222,60	
G12	8656,64	
G13	10,16	
G14	8300,67	
